IRI	Label	Issue
http://purl.obolibrary.org/obo/ERO_0000021	has_contact	not an RO property
http://purl.obolibrary.org/obo/ERO_0000022	has_pi	not an RO property
http://purl.obolibrary.org/obo/ERO_0000023	funds	not an RO property
http://purl.obolibrary.org/obo/ERO_0000024	is_member_of	not an RO property
http://purl.obolibrary.org/obo/ERO_0000027	occurs_in	not an RO property
http://purl.obolibrary.org/obo/ERO_0000029	provides_access_to	not an RO property
http://purl.obolibrary.org/obo/ERO_0000031	uses	not an RO property
http://purl.obolibrary.org/obo/ERO_0000033	has_expertise	not an RO property
http://purl.obolibrary.org/obo/ERO_0000034	has_manufacturer	not an RO property
http://purl.obolibrary.org/obo/ERO_0000037	provides_service	not an RO property
http://purl.obolibrary.org/obo/ERO_0000038	specifies_the_use_of	not an RO property
http://purl.obolibrary.org/obo/ERO_0000066	has_affiliation	not an RO property
http://purl.obolibrary.org/obo/ERO_0000070	used_by	not an RO property
http://purl.obolibrary.org/obo/ERO_0000076	has_input_type	not an RO property
http://purl.obolibrary.org/obo/ERO_0000077	has_output_type	not an RO property
http://purl.obolibrary.org/obo/ERO_0000078	achieves_objective	not an RO property
http://purl.obolibrary.org/obo/ERO_0000232	has_author	not an RO property
http://purl.obolibrary.org/obo/ERO_0000233	model_of	not an RO property
http://purl.obolibrary.org/obo/ERO_0000234	has_topic	not an RO property
http://purl.obolibrary.org/obo/ERO_0000321	has_biosafety_level	not an RO property
http://purl.obolibrary.org/obo/ERO_0000390	service_provided_by	not an RO property
http://purl.obolibrary.org/obo/ERO_0000397	performs	not an RO property
http://purl.obolibrary.org/obo/ERO_0000398	is_performed_by	not an RO property
http://purl.obolibrary.org/obo/ERO_0000460	has_documentation	not an RO property
http://purl.obolibrary.org/obo/ERO_0000481	realizes_protocol	not an RO property
http://purl.obolibrary.org/obo/ERO_0000542	expresses_construct	not an RO property
http://purl.obolibrary.org/obo/ERO_0000543	related_technique	not an RO property
http://purl.obolibrary.org/obo/ERO_0000552	recognizes_species	not an RO property
http://purl.obolibrary.org/obo/ERO_0000557	has_immunogenic_material	not an RO property
http://purl.obolibrary.org/obo/ERO_0000572	used_to_study	not an RO property
http://purl.obolibrary.org/obo/ERO_0000573	has_sequence_alteration	not an RO property
http://purl.obolibrary.org/obo/ERO_0000596	has_director	not an RO property
http://purl.obolibrary.org/obo/ERO_0000597	funded_by	not an RO property
http://purl.obolibrary.org/obo/ERO_0000618	expressed_in_organism	not an RO property
http://purl.obolibrary.org/obo/ERO_0000775	has_residency_requirement	not an RO property
http://purl.obolibrary.org/obo/ERO_0000916	related_viral_construct	not an RO property
http://purl.obolibrary.org/obo/ERO_0000917	related_virus	not an RO property
http://purl.obolibrary.org/obo/ERO_0000918	related_research_project	not an RO property
http://purl.obolibrary.org/obo/ERO_0000919	related_biological_specimen	not an RO property
http://purl.obolibrary.org/obo/ERO_0000920	infects_target_organism	not an RO property
http://purl.obolibrary.org/obo/ERO_0001047	is_contact_for	not an RO property
http://purl.obolibrary.org/obo/ERO_0001055	used_to_generate_organism	not an RO property
http://purl.obolibrary.org/obo/ERO_0001056	organism_generated_from_construct	not an RO property
http://purl.obolibrary.org/obo/ERO_0001057	has_preparation_technique	not an RO property
http://purl.obolibrary.org/obo/ERO_0001062	matching_specimen	not an RO property
http://purl.obolibrary.org/obo/ERO_0001063	is_matching_specimen	not an RO property
http://purl.obolibrary.org/obo/ERO_0001064	has_derived_specimen	not an RO property
http://purl.obolibrary.org/obo/ERO_0001065	derives_from_specimen	not an RO property
http://purl.obolibrary.org/obo/ERO_0001401	related_cell_line	not an RO property
http://purl.obolibrary.org/obo/ERO_0001516	derives_from_material_anatomical_entity	not an RO property
http://purl.obolibrary.org/obo/ERO_0001517	derives_from_organism	not an RO property
http://purl.obolibrary.org/obo/ERO_0001518	has_phase	not an RO property
http://purl.obolibrary.org/obo/ERO_0001520	performs_human_study	not an RO property
http://purl.obolibrary.org/obo/ERO_0001521	human_study_performed_by	not an RO property
