IRI	Label	Issue
http://purl.obolibrary.org/obo/pr#lacks_part>	lacks_part	not an RO property
http://purl.obolibrary.org/obo/pr#has_gene_template>	has_gene_template	not an RO property
http://purl.obolibrary.org/obo/RO_0002160>	only_in_taxon	not an RO property
http://purl.obolibrary.org/obo/RO_0002215>	capable_of	not an RO property
http://purl.obolibrary.org/obo/RO_0000087>	has_role	not an RO property
http://purl.obolibrary.org/obo/RO_0001000>	derives_from	not an RO property
http://purl.obolibrary.org/obo/BFO_0000051>	has_part	not an RO property
http://purl.obolibrary.org/obo/RO_0002353>	output_of	not an RO property
http://purl.obolibrary.org/obo/pr#non-covalently_bound_to>	non-covalently_bound_to	not an RO property
http://purl.obolibrary.org/obo/pr#1to1_ortholog_of>	1to1_ortholog_of	not an RO property
http://purl.obolibrary.org/obo/RO_0000056>	participates_in	not an RO property
http://purl.obolibrary.org/obo/RO_0002206>	expressed_in	not an RO property
http://purl.obolibrary.org/obo/pr#obsolete_has_modification>	obsolete has_modification	not an RO property
http://purl.obolibrary.org/obo/RO_0002180>	has_component	not an RO property
http://purl.obolibrary.org/obo/pr#has_canonical_sequence>	has_canonical_sequence	not an RO property
http://purl.obolibrary.org/obo/RO_0001025>	located_in	not an RO property
http://purl.obolibrary.org/obo/RO_0000086>	has_quality	not an RO property
http://purl.obolibrary.org/obo/RO_0002331>	involved_in	not an RO property
http://purl.obolibrary.org/obo/pr#obsolete_lacks_modification>	obsolete lacks_modification	not an RO property
http://purl.obolibrary.org/obo/BFO_0000050>	part_of	not an RO property
