IRI	Label	Issue
http://purl.obolibrary.org/obo/RO_0002488>	existence starts during	shares label with http://purl.obolibrary.org/obo/RO_0002488
http://purl.obolibrary.org/obo/RO_0002496>	existence starts during or after	shares label with http://purl.obolibrary.org/obo/RO_0002496
http://purl.obolibrary.org/obo/RO_0002494>	transformation of	shares label with http://purl.obolibrary.org/obo/RO_0002494
http://purl.obolibrary.org/obo/uberon/core#synapsed_by>	synapsed by	shares label with http://purl.obolibrary.org/obo/RO_0002103
http://purl.obolibrary.org/obo/RO_0002388>	has potential to directly develop into	shares label with http://purl.obolibrary.org/obo/RO_0002388
http://purl.obolibrary.org/obo/RO_0002007>	bounding layer of	shares label with http://purl.obolibrary.org/obo/RO_0002007
http://purl.obolibrary.org/obo/RO_0002229>	ends	shares label with http://purl.obolibrary.org/obo/RO_0002229
http://purl.obolibrary.org/obo/RO_0002571>	lumen of	shares label with http://purl.obolibrary.org/obo/RO_0002571
http://purl.obolibrary.org/obo/RO_0002230>	ends with	shares label with http://purl.obolibrary.org/obo/RO_0002230
http://purl.obolibrary.org/obo/RO_0002493>	existence ends with	shares label with http://purl.obolibrary.org/obo/RO_0002493
http://purl.obolibrary.org/obo/RO_0002224>	starts with	shares label with http://purl.obolibrary.org/obo/RO_0002224
http://purl.obolibrary.org/obo/RO_0002572>	luminal space of	shares label with http://purl.obolibrary.org/obo/RO_0002572
http://purl.obolibrary.org/obo/RO_0002497>	existence ends during or before	shares label with http://purl.obolibrary.org/obo/RO_0002497
http://purl.obolibrary.org/obo/RO_0002495>	immediate transformation of	shares label with http://purl.obolibrary.org/obo/RO_0002495
http://purl.obolibrary.org/obo/RO_0000053>	bearer of	shares label with http://purl.obolibrary.org/obo/RO_0000053
http://purl.obolibrary.org/obo/RO_0002433>	contributes to morphology of	shares label with http://purl.obolibrary.org/obo/RO_0002433
http://purl.obolibrary.org/obo/RO_0002328>	functionally related to	shares label with http://purl.obolibrary.org/obo/RO_0002328
http://purl.obolibrary.org/obo/BFO_0000051>	has part	shares label with http://purl.obolibrary.org/obo/BFO_0000051
http://purl.obolibrary.org/obo/uberon/core#existence_starts_and_ends_during>	existence starts and ends during	shares label with http://purl.obolibrary.org/obo/RO_0002491
http://purl.obolibrary.org/obo/RO_0002134>	innervates	shares label with http://purl.obolibrary.org/obo/RO_0002134
http://purl.obolibrary.org/obo/RO_0002569>	has branching part	shares label with http://purl.obolibrary.org/obo/RO_0002569
http://purl.obolibrary.org/obo/RO_0002216>	capable of part of	shares label with http://purl.obolibrary.org/obo/RO_0002216
http://purl.obolibrary.org/obo/uberon/core#conduit_for>	conduit for	shares label with http://purl.obolibrary.org/obo/RO_0002570
http://purl.obolibrary.org/obo/RO_0002180>	has component	shares label with http://purl.obolibrary.org/obo/RO_0002180
http://purl.obolibrary.org/obo/RO_0002385>	has potential to developmentally contribute to	shares label with http://purl.obolibrary.org/obo/RO_0002385
http://purl.obolibrary.org/obo/RO_0002576>	skeleton of	shares label with http://purl.obolibrary.org/obo/RO_0002576
http://purl.obolibrary.org/obo/RO_0002477>	child nucleus of in hermaphrodite	shares label with http://purl.obolibrary.org/obo/RO_0002477
http://purl.obolibrary.org/obo/RO_0002551>	has skeleton	shares label with http://purl.obolibrary.org/obo/RO_0002551
http://purl.obolibrary.org/obo/BFO_0000050>	part of	shares label with http://purl.obolibrary.org/obo/BFO_0000050
http://purl.obolibrary.org/obo/RO_0002131>	overlaps	shares label with http://purl.obolibrary.org/obo/RO_0002131
http://purl.obolibrary.org/obo/RO_0001019>	contains	shares label with http://purl.obolibrary.org/obo/RO_0001019
http://purl.obolibrary.org/obo/RO_0002476>	child nucleus of	shares label with http://purl.obolibrary.org/obo/RO_0002476
http://purl.obolibrary.org/obo/RO_0002350>	member of	shares label with http://purl.obolibrary.org/obo/RO_0002350
http://purl.obolibrary.org/obo/RO_0002489>	existence starts with	shares label with http://purl.obolibrary.org/obo/RO_0002489
