Level	Rule Name	Subject	Property	Value
ERROR	multiple_equivalent_classes	reduced peripheral circulation diagnosis [AERO:0000279]	owl:equivalentClass	blank node <aa3ccd607b205eda303757d14ad469ae>	
ERROR	multiple_equivalent_classes	reduced peripheral circulation diagnosis [AERO:0000279]	owl:equivalentClass	minor cardiovascular criterion for anaphylaxis according to Brighton [AERO:0000304]	
ERROR	missing_label	AERO:0000352	label [rdfs:label]		
ERROR	missing_ontology_description	aero.owl	dc11:description		
ERROR	missing_ontology_license	aero.owl	dc:license		
ERROR	missing_ontology_title	aero.owl	dc11:title		
ERROR	label_whitespace	Brighton diagnosis of generalized convulsive seizure as an adverse event following immunization  [AERO:0000004]	label [rdfs:label]	Brighton diagnosis of generalized convulsive seizure as an adverse event following immunization 	
WARN	annotation_whitespace	found to exhibit [AERO:0000088]	IAO_0000115 [IAO:0000115]	if something is 'found to exhibit' a clinical finding, then there is a clinical finding 'that 'is clinical finding about' that something. @en	
WARN	annotation_whitespace	found to exhibit [AERO:0000088]	IAO_0000116 [IAO:0000116]	A funny kind of relation, as there is a sense in which this is really a made up relation so we can speak from a patient centric point of view. Really, the relation is established in the inverse direction - a process in which a patient or information about the patient is assessed leads to a finding about the patient. @en	
WARN	annotation_whitespace	involves [AERO:0000354]	IAO_0000115 [IAO:0000115]	A relation between a clinical finding and the anatomical system or entity in which it takes place, at least partly. @en	
WARN	equivalent_pair	reduced peripheral circulation diagnosis [AERO:0000279]	owl:equivalentClass	minor cardiovascular criterion for anaphylaxis according to Brighton [AERO:0000304]	
WARN	missing_definition	disorder resulting from an AEFI process [AERO:0000002]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Brighton diagnosis of generalized convulsive seizure as an adverse event following immunization  [AERO:0000004]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	disorder resulting from an adverse event process [AERO:0000005]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	_manifestations [AERO:0000011]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	adverse event following immunization process [AERO:0000016]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	generalized atonic motor manifestation finding [AERO:0000026]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	generalized clonic motor manifestation finding [AERO:0000029]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	generalized tonic motor manifestation finding [AERO:0000030]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	generalized tonic-clonic motor manifestation finding [AERO:0000031]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	loss of consciousness finding [AERO:0000045]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	witnessed sudden loss of consciousness finding [AERO:0000048]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bilateral site [AERO:0000050]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	performing a diagnosis according to a Brighton case definition [AERO:0000207]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	token [AERO:0000223]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	respiratory-distress-token [AERO:0000224]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	uncompensated-shock-token [AERO:0000230]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Brighton case definition of anaphylaxis as an adverse event following immunization [AERO:0000242]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	performing a diagnosis of anaphylaxis according to Brighton guidelines [AERO:0000243]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	major dermatological criterion for anaphylaxis according to Brighton [AERO:0000244]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	generalized urticaria or generalized erythema finding [AERO:0000245]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	angioedema finding [AERO:0000246]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	generalized pruritus with skin rash finding [AERO:0000247]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	major cardiovascular criterion for anaphylaxis according to Brighton [AERO:0000249]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	major respiratory criterion for anaphylaxis according to Brighton [AERO:0000250]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	measured hypotension finding [AERO:0000251]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	uncompensated shock sign finding [AERO:0000252]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	tachycardia finding [AERO:0000253]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	capillary refill time > 3s finding [AERO:0000254]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	reduced central pulse volume finding [AERO:0000255]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	decreased level of consciousness or loss of consciousness finding [AERO:0000256]	IAO_0000115 [IAO:0000115]		
