Level	Rule Name	Subject	Property	Value
ERROR	multiple_equivalent_classes	percent of experiment area damaged [AGRO:00000348]	owl:equivalentClass	blank node <610e79f557b49861725ae044ea8b0a56>	
ERROR	multiple_equivalent_classes	percent of experiment area damaged [AGRO:00000348]	owl:equivalentClass	blank node <eceb2eed6d856d921d6b6cc99781fb3b>	
ERROR	missing_ontology_description	agro-edit.owl	description [dc11:description]		
ERROR	multiple_definitions	experiment manager [AGRO:00000381]	IAO_0000115 [IAO:0000115]	A person that has a role of managing the experiment.@en	
ERROR	multiple_definitions	experiment manager [AGRO:00000381]	IAO_0000115 [IAO:0000115]	Need a better definiton that highlights the differences with the principal investigator.@en	
ERROR	multiple_definitions	soil mulch coverage [AGRO:00000439]	IAO_0000115 [IAO:0000115]	Area of soil covered with mulch.@en	
ERROR	multiple_definitions	soil mulch coverage [AGRO:00000439]	IAO_0000115 [IAO:0000115]	mulch coverage@en	
ERROR	missing_ontology_license	agro-edit.owl	dc:license		
WARN	annotation_whitespace	irrigation process [AGRO:00000006]	IAO_0000115 [IAO:0000115]	A planned process in which water is artificially supplied to plant or soil to sustain plants. @en	
WARN	missing_definition	subsurface textile irrigation process [AGRO:00000059]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mechanical pest removal process [AGRO:00000110]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	horse [AGRO:00000117]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	donkey [AGRO:00000118]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bull [AGRO:00000119]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	camel [AGRO:00000120]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mule [AGRO:00000121]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	buffalo [AGRO:00000122]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	elephant [AGRO:00000123]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has method [AGRO:00000148]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	crop residue [AGRO:00000154]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	measurement method of [AGRO:00000253]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	weight loss on ignition method [AGRO:00000276]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has model [AGRO:00000411]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has brand [AGRO:00000414]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has notes [AGRO:00000415]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	agricultural implement [AGRO:00000416]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has start date [AGRO:00000417]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has end date [AGRO:00000418]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	soil profile altitude [AGRO:00000424]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	limbing process [AGRO:00000460]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	haymaking process [AGRO:00000462]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	windrowing [AGRO:00000463]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	baling process [AGRO:00000464]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	trussing process [AGRO:00000465]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	storage process [AGRO:00000466]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cutting process [AGRO:00000467]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	crop yield experiment [AGRO:01000019]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	agricultural experimental multiplot [AGRO:01000021]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	preferred fieldbook label [AGRO:01000022]	IAO_0000115 [IAO:0000115]		
INFO	lowercase_definition	single-axle tractor [AGRO:00000125]	IAO_0000600 [IAO:0000600]	two-wheel tractor@en	
INFO	lowercase_definition	row [AGRO:00000155]	IAO_0000115 [IAO:0000115]	two or more crop plants planted in a line.@en	
INFO	lowercase_definition	moisture concentration measurement protocol [AGRO:00000251]	IAO_0000115 [IAO:0000115]	1.Weight a sample of the material. 2.Dry this sample. 3.Weight the dry sample. Moisture concentration = ((Ww-Wd)/Ww) x 100 in which : WW = wet weight of the sample, and Wd = weight of the sample after drying.@en	
