Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	normal distribution [APOLLO:SV:00000036]	IAO_0000600 [IAO:0000600]	A continuous probability distribution in which the parameter μ is the mean or expectation of the distribution and the parameter σ is its standard deviation@en	
ERROR	duplicate_definition	beta distribution [APOLLO:SV:00000078]	IAO_0000600 [IAO:0000600]	A continuous probability distribution in which the parameter μ is the mean or expectation of the distribution and the parameter σ is its standard deviation@en	
ERROR	multiple_equivalent_classes	intimate agonism [APOLLO:SV:00000341]	owl:equivalentClass	blank node <024ae654d41f17d68d5b9ada72cf0b56>	
ERROR	multiple_equivalent_classes	intimate agonism [APOLLO:SV:00000341]	owl:equivalentClass	blank node <e473d9992540f8756ab19cdade5614d7>	
ERROR	label_formatting	obsolete_asymptomatic infection fraction
 [APOLLO:SV:00000045]	label [rdfs:label]	obsolete_asymptomatic infection fraction    @en	
ERROR	missing_ontology_description	apollo:sv.owl	dc11:description		
ERROR	missing_ontology_license	apollo:sv.owl	dc:license		
ERROR	multiple_labels	simulation of population [APOLLO:SV:00000031]	label [rdfs:label]	simulated population@en	
ERROR	multiple_labels	simulation of population [APOLLO:SV:00000031]	label [rdfs:label]	simulation of population@en	
ERROR	multiple_labels	A software that has as part an objective specification that is achieved by only a metagenomics analysis. [APOLLO:SV:00000592]	label [rdfs:label]	A software that has as part an objective specification that is achieved by only a metagenomics analysis.@en	
ERROR	multiple_labels	A software that has as part an objective specification that is achieved by only a metagenomics analysis. [APOLLO:SV:00000592]	label [rdfs:label]	metagenomics analysis software@en	
ERROR	multiple_labels	atmospheric data set [APOLLO:SV:00000594]	label [rdfs:label]	atmospheric data set@en	
ERROR	multiple_labels	atmospheric data set [APOLLO:SV:00000594]	label [rdfs:label]	data set about Earth's atmosphere or some part of it@en	
ERROR	multiple_labels	creating a copyright license [APOLLO:SV:00000797]	label [rdfs:label]	Note: for less than 24 hours, this class was a bit more specific to software licenses, but it did not have the equivalent class axiom during that time.@en	
ERROR	multiple_labels	creating a copyright license [APOLLO:SV:00000797]	label [rdfs:label]	creating a copyright license@en	
WARN	annotation_whitespace	count of simulated population [APOLLO:SV:00000022]	IAO_0000600 [IAO:0000600]	The number of simulated organisms in a simulated population.  The number does not have to be an integer.  @en	
WARN	annotation_whitespace	vaccination dose schedule [APOLLO:SV:00000023]	IAO_0000600 [IAO:0000600]	A vaccination schedule specifies the intended timing of initial and subsequent booster doses of vaccine for an individual organism. @en	
WARN	annotation_whitespace	infectious disease control strategy execution [APOLLO:SV:00000029]	IAO_0000115 [IAO:0000115]	A process that is applied to a population with the goal of preventing, or mitigating the severity of an infectious disease.  @en	
WARN	annotation_whitespace	infectious disease control strategy execution [APOLLO:SV:00000029]	IAO_0000600 [IAO:0000600]	A process that is applied to a population with the goal of preventing, or mitigating the severity of an infectious disease.  @en	
WARN	annotation_whitespace	simulation of recovered organism [APOLLO:SV:00000041]	IAO_0000115 [IAO:0000115]	A simulated organism in a simulated population that is not susceptible. @en	
WARN	annotation_whitespace	reproduction number [APOLLO:SV:00000043]	IAO_0000115 [IAO:0000115]	The average value of transmissions of the infectious agent from one infected organism to another, resulting in an infection. @en	
WARN	annotation_whitespace	antiviral efficacy delay [APOLLO:SV:00000049]	IAO_0000115 [IAO:0000115]	The value of the time interval between an organism's taking antivirals against a specific infectious agent and the organism’s losing its infectious agent host role. @en	
WARN	annotation_whitespace	antiviral efficacy delay [APOLLO:SV:00000049]	IAO_0000600 [IAO:0000600]	The duration of time (expressed in time steps) between initiation of a particular antiviral treatment to an organism and when the organism becomes non infectious or, if the antiviral is being administered prophylactically, protected from infection. @en	
WARN	annotation_whitespace	antiviral compliance [APOLLO:SV:00000050]	IAO_0000600 [IAO:0000600]	The fraction of individuals in a simulated population that will accept antiviral treatment if offered. @en	
WARN	annotation_whitespace	antiviral supply schedule [APOLLO:SV:00000051]	IAO_0000115 [IAO:0000115]	An action specification giving the number of doses of an antiviral to be made available during a specific time interval. @en	
WARN	annotation_whitespace	instantiates [APOLLO:SV:00000057]	IAO_0000115 [IAO:0000115]	A relation between to particulars such that aRb where b can be any kind of entity while the second is a universal. b instantiates a at some times. @en	
WARN	annotation_whitespace	simulation of antiviral control measure [APOLLO:SV:00000060]	IAO_0000115 [IAO:0000115]	The simulation of an antiviral control measure. 	
WARN	annotation_whitespace	control strategy dose schedule [APOLLO:SV:00000084]	IAO_0000600 [IAO:0000600]	A control strategy dose schedule specifies the intended timing of initial and subsequent doses of for example a vaccine or an antiviral for an individual organism. @en	
WARN	annotation_whitespace	ecosystem [APOLLO:SV:00000097]	IAO_0000115 [IAO:0000115]	The sum of all biotic and abiotic entities in a geographical region. @en	
WARN	annotation_whitespace	ecosystem [APOLLO:SV:00000097]	IAO_0000600 [IAO:0000600]	The sum of all biotic and abiotic entities in a geographical region. @en	
WARN	annotation_whitespace	vaccine valence [APOLLO:SV:00000137]	IAO_0000600 [IAO:0000600]	the number of distinct antigenic strains in a vaccine product @en	
WARN	annotation_whitespace	scenario date [APOLLO:SV:00000185]	IAO_0000115 [IAO:0000115]	An information content entity that refers to a real date corresponding to simulator time zero. @en	
WARN	annotation_whitespace	probability distribution [APOLLO:SV:00000215]	IAO_0000115 [IAO:0000115]	An information content entity that assigns a probability to each measurable subset of the possible outcomes of a random experiment, survey, or procedure of statistical inference. @en	
