Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	SLB-1 [ARO:3003556]	IAO_0000115 [IAO:0000115]	This enzyme breaks the beta-lactam antibiotic ring open and deactivates the molecule's antibacterial properties.	
ERROR	duplicate_definition	SFB-1 [ARO:3003557]	IAO_0000115 [IAO:0000115]	This enzyme breaks the beta-lactam antibiotic ring open and deactivates the molecule's antibacterial properties.	
ERROR	duplicate_definition	Cfr Group [ARO:3004607]	IAO_0000115 [IAO:0000115]	The cfr groups were determined by Candela et al (2017) by determining the phylogenetic relationship using the neighbour-joining method to compare the cfr-like proteins to cfr.	
ERROR	duplicate_definition	cfr(B) Group [ARO:3004609]	IAO_0000115 [IAO:0000115]	The cfr groups were determined by Candela et al (2017) by determining the phylogenetic relationship using the neighbour-joining method to compare the cfr-like proteins to cfr.	
ERROR	duplicate_definition	cfr(C) Group [ARO:3004610]	IAO_0000115 [IAO:0000115]	The cfr groups were determined by Candela et al (2017) by determining the phylogenetic relationship using the neighbour-joining method to compare the cfr-like proteins to cfr.	
ERROR	duplicate_definition	soxS [ARO:3000837]	IAO_0000115 [IAO:0000115]	SoxS is a global regulator that up-regulates the expression of AcrAB efflux genes. It also reduces OmpF expression to decrease cell membrane permeability.	
ERROR	duplicate_definition	Salmonella serovars soxS with mutation conferring antibiotic resistance [ARO:3003383]	IAO_0000115 [IAO:0000115]	SoxS is a global regulator that up-regulates the expression of AcrAB efflux genes. It also reduces OmpF expression to decrease cell membrane permeability.	
ERROR	duplicate_definition	Escherichia coli soxS with mutation conferring antibiotic resistance [ARO:3003511]	IAO_0000115 [IAO:0000115]	SoxS is a global regulator that up-regulates the expression of AcrAB efflux genes. It also reduces OmpF expression to decrease cell membrane permeability.	
ERROR	duplicate_definition	Escherichia coli soxR with mutation conferring antibiotic resistance [ARO:3003381]	IAO_0000115 [IAO:0000115]	SoxR is a sensory protein that upregulates soxS expression in the presence of redox-cycling drugs. This stress response leads to the expression many multidrug efflux pumps.	
ERROR	duplicate_definition	Salmonella enterica soxR with mutation conferring antibiotic resistance [ARO:3003382]	IAO_0000115 [IAO:0000115]	SoxR is a sensory protein that upregulates soxS expression in the presence of redox-cycling drugs. This stress response leads to the expression many multidrug efflux pumps.	
ERROR	duplicate_definition	Antibiotic sensitive Mycobacteroides abscessus 16S rRNA [ARO:3003263]	IAO_0000115 [IAO:0000115]	Sensitive form of 16s susceptible to antibiotics	
ERROR	duplicate_definition	Aminoglycosides sensitive Mycobacteroides abscessus 16S rRNA [ARO:3003264]	IAO_0000115 [IAO:0000115]	Sensitive form of 16s susceptible to antibiotics	
ERROR	duplicate_definition	Amikacin sensitive Mycobacteroides abscessus 16S rRNA mutation [ARO:3003265]	IAO_0000115 [IAO:0000115]	Sensitive form of 16s susceptible to antibiotics	
ERROR	duplicate_definition	Antibiotic sensitive Escherichia coli 16S rRNA [ARO:3003262]	IAO_0000115 [IAO:0000115]	Sensitive form of 16s susceptable to antibiotics	
ERROR	duplicate_definition	Antibiotic sensitive Borreliella burgdorferi 16S rRNA [ARO:3003520]	IAO_0000115 [IAO:0000115]	Sensitive form of 16s susceptable to antibiotics	
ERROR	duplicate_definition	Antibiotic sensitive Chlamydophila psittaci 16S rRNA [ARO:3003521]	IAO_0000115 [IAO:0000115]	Sensitive form of 16s susceptable to antibiotics	
ERROR	duplicate_definition	Antibiotic sensitive Helicobacter pylori 16S rRNA [ARO:3003522]	IAO_0000115 [IAO:0000115]	Sensitive form of 16s susceptable to antibiotics	
ERROR	duplicate_definition	Antibiotic sensitive Mycobacteroides chelonae 16S rRNA [ARO:3003523]	IAO_0000115 [IAO:0000115]	Sensitive form of 16s susceptable to antibiotics	
ERROR	duplicate_definition	Antibiotic sensitive Mycolicibacterium smegmatis 16S rRNA [ARO:3003524]	IAO_0000115 [IAO:0000115]	Sensitive form of 16s susceptable to antibiotics	
ERROR	duplicate_definition	Antibiotic sensitive Neisseria gonorrhoeae 16S rRNA [ARO:3003525]	IAO_0000115 [IAO:0000115]	Sensitive form of 16s susceptable to antibiotics	
ERROR	duplicate_definition	Antibiotic sensitive Neisseria meningitidis 16S rRNA [ARO:3003526]	IAO_0000115 [IAO:0000115]	Sensitive form of 16s susceptable to antibiotics	
ERROR	duplicate_definition	Antibiotic sensitive Pasteurella multocida 16S rRNA [ARO:3003527]	IAO_0000115 [IAO:0000115]	Sensitive form of 16s susceptable to antibiotics	
ERROR	duplicate_definition	Antibiotic sensitive Cutibacterium acnes 16S rRNA [ARO:3003528]	IAO_0000115 [IAO:0000115]	Sensitive form of 16s susceptable to antibiotics	
ERROR	duplicate_definition	Antibiotic sensitive Salmonella enterica serovar Typhimurium 16S rRNA [ARO:3003529]	IAO_0000115 [IAO:0000115]	Sensitive form of 16s susceptable to antibiotics	
ERROR	duplicate_definition	Antibiotic sensitive Mycobacterium tuberculosis 16S rRNA [ARO:3003530]	IAO_0000115 [IAO:0000115]	Sensitive form of 16s susceptable to antibiotics	
ERROR	duplicate_definition	Enterobacter cloacae rob [ARO:3004108]	IAO_0000115 [IAO:0000115]	rob is a positive regulator for the acrAB efflux genes, and is structurally similar to SoxS and MarA.	
ERROR	duplicate_definition	Escherichia coli rob [ARO:3004109]	IAO_0000115 [IAO:0000115]	rob is a positive regulator for the acrAB efflux genes, and is structurally similar to SoxS and MarA.	
ERROR	duplicate_definition	oqxA [ARO:3003922]	IAO_0000115 [IAO:0000115]	RND efflux pump conferring resistance to fluoroquinolone	
ERROR	duplicate_definition	oqxB [ARO:3003923]	IAO_0000115 [IAO:0000115]	RND efflux pump conferring resistance to fluoroquinolone	
ERROR	duplicate_definition	ramR [ARO:3000824]	IAO_0000115 [IAO:0000115]	RamR is a repressor that regulates RamA expression. Mutations lead to the upregulation of AcrAB, which is positively regulated by RamA.	
ERROR	duplicate_definition	Salmonella enterica ramR mutants [ARO:3003379]	IAO_0000115 [IAO:0000115]	RamR is a repressor that regulates RamA expression. Mutations lead to the upregulation of AcrAB, which is positively regulated by RamA.	
ERROR	duplicate_definition	Klebsiella pneumoniae ramR mutants [ARO:3003380]	IAO_0000115 [IAO:0000115]	RamR is a repressor that regulates RamA expression. Mutations lead to the upregulation of AcrAB, which is positively regulated by RamA.	
ERROR	duplicate_definition	methymycin [ARO:3001232]	IAO_0000115 [IAO:0000115]	Produced by Streptomyces venezuelae ATCC 15439.	
ERROR	duplicate_definition	pikromycin [ARO:3001233]	IAO_0000115 [IAO:0000115]	Produced by Streptomyces venezuelae ATCC 15439.	
ERROR	duplicate_definition	fluoroquinolone resistant parE [ARO:3003313]	IAO_0000115 [IAO:0000115]	ParE is a subunit of topoisomerase IV, necessary for cell survival. Point mutations in ParE prevent fluoroquinolones from inhibiting DNA synthesis, thus conferring resistance.	
ERROR	duplicate_definition	fluoroquinolone sensitive parE [ARO:3003430]	IAO_0000115 [IAO:0000115]	ParE is a subunit of topoisomerase IV, necessary for cell survival. Point mutations in ParE prevent fluoroquinolones from inhibiting DNA synthesis, thus conferring resistance.	
ERROR	duplicate_definition	OXA-5 [ARO:3001400]	IAO_0000115 [IAO:0000115]	OXA-5 is a beta-lactamase found in P. aeruginosa and Enterobacteriaceae.	
ERROR	duplicate_definition	OXA-6 [ARO:3001401]	IAO_0000115 [IAO:0000115]	OXA-5 is a beta-lactamase found in P. aeruginosa and Enterobacteriaceae.	
ERROR	duplicate_definition	ANT(3\'\')-Ia [ARO:3000232]	IAO_0000115 [IAO:0000115]	Nucleotidylylation of streptomycin at the hydroxyl group at position 3''	
ERROR	duplicate_definition	ANT(3\'\') [ARO:3004275]	IAO_0000115 [IAO:0000115]	Nucleotidylylation of streptomycin at the hydroxyl group at position 3''	
ERROR	duplicate_definition	Escherichia coli UhpT with mutation conferring resistance to fosfomycin [ARO:3003890]	IAO_0000115 [IAO:0000115]	Mutations to the active importer UhpT, which is involved with the uptake of many phosphorylated sugars, confer resistance to fosfomycin by reducing import of the drug into the bacteria.	
ERROR	duplicate_definition	Staphylococcus aureus UhpT with mutation conferring resistance to fosfomycin [ARO:3003902]	IAO_0000115 [IAO:0000115]	Mutations to the active importer UhpT, which is involved with the uptake of many phosphorylated sugars, confer resistance to fosfomycin by reducing import of the drug into the bacteria.	
ERROR	duplicate_definition	murA transferase [ARO:3002811]	IAO_0000115 [IAO:0000115]	murA or UDP-N-acetylglucosamine enolpyruvyl transferase catalyses the initial step in peptidoglycan biosynthesis and is inhibited by fosfomycin. Overexpression of murA through mutations confers fosfomycin resistance.	
ERROR	duplicate_definition	Staphylococcus aureus murA with mutation conferring resistance to fosfomycin [ARO:3003776]	IAO_0000115 [IAO:0000115]	murA or UDP-N-acetylglucosamine enolpyruvyl transferase catalyses the initial step in peptidoglycan biosynthesis and is inhibited by fosfomycin. Overexpression of murA through mutations confers fosfomycin resistance.	
ERROR	duplicate_definition	mdtO [ARO:3003549]	IAO_0000115 [IAO:0000115]	Multidrug resistance efflux pump. Could be involved in resistance to puromycin, acriflavine and tetraphenylarsonium chloride	
ERROR	duplicate_definition	mdtP [ARO:3003550]	IAO_0000115 [IAO:0000115]	Multidrug resistance efflux pump. Could be involved in resistance to puromycin, acriflavine and tetraphenylarsonium chloride	
ERROR	duplicate_definition	Listeria monocytogenes mprF [ARO:3003770]	IAO_0000115 [IAO:0000115]	MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane, including defensins.	
ERROR	duplicate_definition	Brucella suis mprF [ARO:3003772]	IAO_0000115 [IAO:0000115]	MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane, including defensins.	
ERROR	duplicate_definition	Clostridium perfringens mprF [ARO:3003773]	IAO_0000115 [IAO:0000115]	MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane, including defensins.	
ERROR	duplicate_definition	Streptococcus agalactiae mprF [ARO:3003774]	IAO_0000115 [IAO:0000115]	MprF is a integral membrane protein that modifies the negatively-charged phosphatidylglycerol on the membrane surface. This confers resistance to cationic peptides that disrupt the cell membrane, including defensins.	
ERROR	duplicate_definition	marR [ARO:3000718]	IAO_0000115 [IAO:0000115]	MarR is a repressor of the mar operon marRAB, thus regulating the expression of marA, the activator of multidrug efflux pump AcrAB.	
ERROR	duplicate_definition	Escherichia coli marR mutant conferring antibiotic resistance [ARO:3003378]	IAO_0000115 [IAO:0000115]	MarR is a repressor of the mar operon marRAB, thus regulating the expression of marA, the activator of multidrug efflux pump AcrAB.	
ERROR	duplicate_definition	Enterococcus faecium liaS mutant conferring daptomycin resistance [ARO:3003079]	IAO_0000115 [IAO:0000115]	liaS is a histidine kinase found in the liaFSR signal transduction pathway. Mutations confer daptomycin resistance.	
