Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	Polyclonal rat PDX1 raised in rabbit [BCGO:9000271]	IAO_0000115 [IAO:0000115]	A polyclonal antibody raised in rabbit that targets the rat \"PDX1\" antigen.@en	
ERROR	duplicate_definition	Polyclonal rat PDX1 raised in rabbit [BCGO:9000272]	IAO_0000115 [IAO:0000115]	A polyclonal antibody raised in rabbit that targets the rat \"PDX1\" antigen.@en	
ERROR	duplicate_definition	Polyclonal rat CART raised in rabbit [BCGO:9000861]	IAO_0000115 [IAO:0000115]	A polyclonal antibody raised in rabbit that targets the rat \"CART\" antigen.@en	
ERROR	duplicate_definition	Polyclonal rat CART raised in rabbit [BCGO:9000972]	IAO_0000115 [IAO:0000115]	A polyclonal antibody raised in rabbit that targets the rat \"CART\" antigen.@en	
ERROR	duplicate_definition	Polyclonal mouse Sez6l2 raised in rabbit [BCGO:9000967]	IAO_0000115 [IAO:0000115]	A polyclonal antibody raised in rabbit that targets the mouse \"Sez6l2\" antigen.@en	
ERROR	duplicate_definition	Polyclonal mouse Sez6l2 raised in rabbit [BCGO:9000968]	IAO_0000115 [IAO:0000115]	A polyclonal antibody raised in rabbit that targets the mouse \"Sez6l2\" antigen.@en	
ERROR	duplicate_definition	Polyclonal mouse Sez6l2 raised in rabbit [BCGO:9004047]	IAO_0000115 [IAO:0000115]	A polyclonal antibody raised in rabbit that targets the mouse \"Sez6l2\" antigen.@en	
ERROR	duplicate_definition	Polyclonal mouse Ngn3 raised in rabbit [BCGO:9000302]	IAO_0000115 [IAO:0000115]	A polyclonal antibody raised in rabbit that targets the mouse \"Ngn3\" antigen.@en	
ERROR	duplicate_definition	Polyclonal mouse Ngn3 raised in rabbit [BCGO:9000303]	IAO_0000115 [IAO:0000115]	A polyclonal antibody raised in rabbit that targets the mouse \"Ngn3\" antigen.@en	
ERROR	duplicate_definition	Polyclonal human Sox17 raised in rabbit [BCGO:9000324]	IAO_0000115 [IAO:0000115]	A polyclonal antibody raised in rabbit that targets the human \"Sox17\" antigen.@en	
