Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	bila.owl	dc11:description		
ERROR	missing_ontology_license	bila.owl	dc:license		
ERROR	missing_ontology_title	bila.owl	dc11:title		
WARN	missing_definition	anatomical entity [BILA:0000000]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cardiovascular system [BILA:0000016]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	heart [BILA:0000020]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	embryonic structure [BILA:0000034]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	germ layer [BILA:0000035]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ectoderm [BILA:0000036]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mesoderm [BILA:0000037]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	endoderm [BILA:0000038]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	neuroectoderm [BILA:0000039]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	visceral mesoderm [BILA:0000044]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	somatic mesoderm [BILA:0000047]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cardiac mesoderm [BILA:0000051]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	blastomere [BILA:0000052]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	organizer [BILA:0000053]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	embryonic organism [BILA:0000056]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	zygote embryo [BILA:0000057]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cleaving embryo [BILA:0000058]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	blastula embryo [BILA:0000059]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	gastrula embryo [BILA:0000060]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	neurula embryo [BILA:0000061]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	segmenting embryo [BILA:0000075]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	juvenile organism [BILA:0000076]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	adult organism [BILA:0000078]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nervous system [BILA:0000079]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	peripheral nervous system [BILA:0000081]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	digestive system [BILA:0000082]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	digestive tract [BILA:0000083]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	primitive gut [BILA:0000084]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	foregut [BILA:0000085]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	midgut [BILA:0000086]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hindgut [BILA:0000087]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	musculature system [BILA:0000088]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	sensory system [BILA:0000099]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	reproductive system [BILA:0000103]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	immune system [BILA:0000104]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	trunk [BILA:0000116]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	tail [BILA:0000117]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	surface [BILA:0000118]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	urogenital system [BILA:0000122]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	gonad [BILA:0000123]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	testis [BILA:0000124]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ovary [BILA:0000125]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	protonephridium [BILA:0000126]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	metanephridium [BILA:0000127]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nephros [BILA:0000128]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	visceral muculature [BILA:0000132]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	somatic musculature [BILA:0000133]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cardiac musculature [BILA:0000134]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	brain [BILA:0000135]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nerve cord [BILA:0000136]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chemosensory system [BILA:0000139]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	photosensory system [BILA:0000140]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mechanosensory system [BILA:0000142]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	gustatory system [BILA:0000143]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	olfactory system [BILA:0000144]	IAO_0000115 [IAO:0000115]		
INFO	missing_superclass	anatomical entity [BILA:0000000]	rdfs:subClassOf		
INFO	missing_superclass	nephros [BILA:0000128]	rdfs:subClassOf		
