Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	bspo.owl	dc11:description		
ERROR	missing_ontology_license	bspo.owl	dc:license		
ERROR	missing_ontology_title	bspo.owl	dc11:title		
WARN	annotation_whitespace	antero-dorsal region [BSPO:0000026]	hasExactSynonym [oboInOwl:hasExactSynonym]	anterodorsal region 	
WARN	annotation_whitespace	antero-ventral region [BSPO:0000027]	hasExactSynonym [oboInOwl:hasExactSynonym]	anteroventral region 	
WARN	annotation_whitespace	medial-lateral axis [BSPO:0001001]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	proximal-distal axis 	
WARN	missing_definition	upper side [BSPO:0000001]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	lower side [BSPO:0000002]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	deep side [BSPO:0000003]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	superficial side [BSPO:0000004]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	upper region [BSPO:0000031]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	lower region [BSPO:0000032]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	anterior-most region [BSPO:0000036]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	posterior-most region [BSPO:0000037]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	dorsal-most region [BSPO:0000038]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ventral-most region [BSPO:0000039]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	upper/lower compartment boundary [BSPO:0000040]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	deep/superficial compartment boundary [BSPO:0000041]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	apical/basal compartment boundary [BSPO:0000043]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	proximal/distal compartment boundary [BSPO:0000044]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	proximal side [BSPO:0000061]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	lateral side [BSPO:0000066]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	medial side [BSPO:0000067]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	contralateral region [BSPO:0000076]	IAO_0000115 [IAO:0000115]		
