Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_license	cdao.owl	dc:license		
WARN	equivalent_pair	BifurcatingTree [CDAO:0000018]	owl:equivalentClass	FullyResolvedTree [CDAO:0000130]	
WARN	equivalent_pair	Branch [CDAO:0000024]	owl:equivalentClass	Edge [CDAO:0000099]	
WARN	equivalent_pair	Dichotomy [CDAO:0000033]	owl:equivalentClass	Bifurcation [CDAO:0000124]	
WARN	equivalent_pair	Clade [CDAO:0000048]	owl:equivalentClass	HolophyleticGroup [CDAO:0000129]	
WARN	equivalent_pair	evolutionaryTransition [CDAO:0000062]	owl:equivalentClass	anageneticChange [CDAO:0000065]	
WARN	equivalent_pair	speciation [CDAO:0000121]	owl:equivalentClass	cladogenesis [CDAO:0000122]	
WARN	missing_definition	DesoxiRibonucleotideResidueStateDatum [CDAO:0000002]	IAO:0000115		
WARN	missing_definition	CoordinatePoint [CDAO:0000003]	IAO:0000115		
WARN	missing_definition	Lineage [CDAO:0000004]	IAO:0000115		
WARN	missing_definition	Phylo4Tree [CDAO:0000005]	IAO:0000115		
WARN	missing_definition	Network [CDAO:0000006]	IAO:0000115		
WARN	missing_definition	ModelDescription [CDAO:0000007]	IAO:0000115		
WARN	missing_definition	StandardStateDatum [CDAO:0000008]	IAO:0000115		
WARN	missing_definition	ContinuousCharacterLengthType [CDAO:0000009]	IAO:0000115		
WARN	missing_definition	ContinuousCharBayesianLengthType [CDAO:0000010]	IAO:0000115		
WARN	missing_definition	NEXUSTreeBlock [CDAO:0000011]	IAO:0000115		
WARN	missing_definition	RootedTree [CDAO:0000012]	IAO:0000115		
WARN	missing_definition	Kimura2Parameters [CDAO:0000013]	IAO:0000115		
WARN	missing_definition	TreeProcedure [CDAO:0000014]	IAO:0000115		
WARN	missing_definition	Generic_State [CDAO:0000015]	IAO:0000115		
WARN	missing_definition	UnrootedSubtree [CDAO:0000016]	IAO:0000115		
WARN	missing_definition	UnresolvedTree [CDAO:0000017]	IAO:0000115		
WARN	missing_definition	BifurcatingTree [CDAO:0000018]	IAO:0000115		
WARN	missing_definition	ContinuousStateDatum [CDAO:0000019]	IAO:0000115		
WARN	missing_definition	SubstitutionModel [CDAO:0000020]	IAO:0000115		
WARN	missing_definition	JukesCantor [CDAO:0000021]	IAO:0000115		
WARN	missing_definition	DatumCoordinate [CDAO:0000022]	IAO:0000115		
WARN	missing_definition	UnresolvedRootedTree [CDAO:0000023]	IAO:0000115		
WARN	missing_definition	Branch [CDAO:0000024]	IAO:0000115		
WARN	missing_definition	CharacterStateDataMatrixAnnotation [CDAO:0000025]	IAO:0000115		
WARN	missing_definition	AncestralNode [CDAO:0000026]	IAO:0000115		
WARN	missing_definition	UnresolvedUnrootedTree [CDAO:0000027]	IAO:0000115		
WARN	missing_definition	UncertainStateDomain [CDAO:0000029]	IAO:0000115		
WARN	missing_definition	ReconcileTree [CDAO:0000030]	IAO:0000115		
WARN	missing_definition	Continuous [CDAO:0000031]	IAO:0000115		
WARN	missing_definition	AlignmentProcedure [CDAO:0000032]	IAO:0000115		
