Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	acidimetric titration [CHMO:0001213]	IAO_0000115 [IAO:0000115]	The process of determining the quantity of a sample (a base) by adding measured increments of a titrant (an acid) until the endpoint, at which essentially all of the sample has reacted, is reached.	
ERROR	duplicate_definition	alkalimetric titration [CHMO:0001214]	IAO_0000115 [IAO:0000115]	The process of determining the quantity of a sample (a base) by adding measured increments of a titrant (an acid) until the endpoint, at which essentially all of the sample has reacted, is reached.	
ERROR	duplicate_definition	synchrotron infrared microscopy [CHMO:0001817]	IAO_0000115 [IAO:0000115]	The collection of spatially resolved infrared spectra of a sample during optical microscopy. The infrared spectra are obtained by single pulse of infrared radiation, produced in a synchrotron, and are subject to a Fourier transform.	
ERROR	duplicate_definition	synchrotron Fourier transform infrared microscopy [CHMO:0001820]	IAO_0000115 [IAO:0000115]	The collection of spatially resolved infrared spectra of a sample during optical microscopy. The infrared spectra are obtained by single pulse of infrared radiation, produced in a synchrotron, and are subject to a Fourier transform.	
ERROR	duplicate_definition	electrospray-ionisation quadrupole time-of-flight tandem mass spectrometry [CHMO:0001275]	IAO_0000115 [IAO:0000115]	Mass spectrometry involving multiple mass-selection steps, with some form of fragmentation occurring between each stage. The sample is ionised by forcing a solution of the sample through a small heated capillary into an electric field to produce a very fine mist of charged droplets (or by collision with solvent ions produced by the same process). In the first stage the ions are held in a stable orbit by an electric field generated by four parallel electrodes (a quadrupole). In the second stage the sample ions are accelerated to the same (known) kinetic energy and the time taken for each ion to reach a detector at a known distance is measured. This time is dependent on the mass-to-charge ratio of the ion.	
ERROR	duplicate_definition	nanoflow high-performance liquid chromatography electrospray-ionisation quadrupole time-of-flight tandem mass spectrometry [CHMO:0001284]	IAO_0000115 [IAO:0000115]	Mass spectrometry involving multiple mass-selection steps, with some form of fragmentation occurring between each stage. The sample is ionised by forcing a solution of the sample through a small heated capillary into an electric field to produce a very fine mist of charged droplets (or by collision with solvent ions produced by the same process). In the first stage the ions are held in a stable orbit by an electric field generated by four parallel electrodes (a quadrupole). In the second stage the sample ions are accelerated to the same (known) kinetic energy and the time taken for each ion to reach a detector at a known distance is measured. This time is dependent on the mass-to-charge ratio of the ion.	
ERROR	duplicate_definition	heteronuclear multiple quantum coherence [CHMO:0000603]	IAO_0000115 [IAO:0000115]	A type of heteronuclear NMR spectroscopy where a second frequency dimension is employed to disperse the signals and reveal correlations between protons and the nuclei to which they are covalently bound.	
ERROR	duplicate_definition	heteronuclear single quantum coherence [CHMO:0000604]	IAO_0000115 [IAO:0000115]	A type of heteronuclear NMR spectroscopy where a second frequency dimension is employed to disperse the signals and reveal correlations between protons and the nuclei to which they are covalently bound.	
ERROR	duplicate_definition	1H--15N heteronuclear single quantum coherence [CHMO:0001147]	IAO_0000115 [IAO:0000115]	A type of heteronuclear NMR spectroscopy where a second frequency dimension is employed to disperse the signals and reveal correlations between protons and the 15N nuclei to which they are covalently bound.	
ERROR	duplicate_definition	1H--15N heteronuclear multiple quantum coherence [CHMO:0002398]	IAO_0000115 [IAO:0000115]	A type of heteronuclear NMR spectroscopy where a second frequency dimension is employed to disperse the signals and reveal correlations between protons and the 15N nuclei to which they are covalently bound.	
ERROR	duplicate_definition	1H--13C heteronuclear single quantum coherence [CHMO:0001146]	IAO_0000115 [IAO:0000115]	A type of heteronuclear NMR spectroscopy where a second frequency dimension is employed to disperse the signals and reveal correlations between protons and the 13C nuclei to which they are covalently bound.	
ERROR	duplicate_definition	1H--13C heteronuclear multiple quantum coherence [CHMO:0002399]	IAO_0000115 [IAO:0000115]	A type of heteronuclear NMR spectroscopy where a second frequency dimension is employed to disperse the signals and reveal correlations between protons and the 13C nuclei to which they are covalently bound.	
ERROR	duplicate_definition	states acquisition [CHMO:0001884]	IAO_0000115 [IAO:0000115]	A technique used in multidimensional NMR experiments to achieve frequency discrimination of the signals in the additional dimensions.	
ERROR	duplicate_definition	states--time proportional phase incrementation [CHMO:0001885]	IAO_0000115 [IAO:0000115]	A technique used in multidimensional NMR experiments to achieve frequency discrimination of the signals in the additional dimensions.	
ERROR	duplicate_definition	time proportional phase incrementation [CHMO:0001886]	IAO_0000115 [IAO:0000115]	A technique used in multidimensional NMR experiments to achieve frequency discrimination of the signals in the additional dimensions.	
