Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	mature Vgamma2-positive fetal thymocyte [CL:0002403]	IAO_0000115 [IAO:0000115]	A thymocyte that has a T cell receptor consisting of a gamma chain containing Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-negative. This cell-type is found in the fetal thymus.	
ERROR	duplicate_definition	mature Vgamma2-positive thymocyte [CL:0002407]	IAO_0000115 [IAO:0000115]	A thymocyte that has a T cell receptor consisting of a gamma chain containing Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-negative. This cell-type is found in the fetal thymus.	
ERROR	duplicate_definition	mature Vgamma2-negative thymocyte [CL:0002409]	IAO_0000115 [IAO:0000115]	A thymocyte that has a T cell receptor consisting of a gamma chain containing Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-negative. This cell-type is found in the fetal thymus.	
ERROR	duplicate_definition	cold sensing thermoreceptor cell [CL:0000587]	IAO_0000115 [IAO:0000115]	A thermoreceptor cell that detects reduced temperatures.	
ERROR	duplicate_definition	warmth sensing thermoreceptor cell [CL:0000591]	IAO_0000115 [IAO:0000115]	A thermoreceptor cell that detects reduced temperatures.	
ERROR	duplicate_definition	cholecystokin stimulating hormone secreting cell [CL:0000481]	IAO_0000115 [IAO:0000115]	A peptide hormone secreting cell that secretes cholecystokin stimulating hormone	
ERROR	duplicate_definition	bombesin stimulating hormone secreting cell [CL:0000483]	IAO_0000115 [IAO:0000115]	A peptide hormone secreting cell that secretes cholecystokin stimulating hormone	
ERROR	duplicate_definition	CD56-positive, CD161-positive immature natural killer cell [CL:0002338]	IAO_0000115 [IAO:0000115]	A natural killer cell that is developmentally immature, has the phenotype CD34-negative, CD56-negative, CD117-positive, CD122-positive,and CD161-positive.	
ERROR	duplicate_definition	CD56-negative, CD161-positive immature natural killer cell [CL:0002344]	IAO_0000115 [IAO:0000115]	A natural killer cell that is developmentally immature, has the phenotype CD34-negative, CD56-negative, CD117-positive, CD122-positive,and CD161-positive.	
ERROR	duplicate_definition	hematopoietic oligopotent progenitor cell, lineage-negative [CL:0001060]	IAO_0000115 [IAO:0000115]	A hematopoietic oligopotent progenitor cell that has the ability to differentiate into limited cell types but lacks lineage cell markers and self renewal capabilities. Cell lacks hematopoeitic lineage markers.	
ERROR	duplicate_definition	hematopoietic oligopotent progenitor cell [CL:0002032]	IAO_0000115 [IAO:0000115]	A hematopoietic oligopotent progenitor cell that has the ability to differentiate into limited cell types but lacks lineage cell markers and self renewal capabilities. Cell lacks hematopoeitic lineage markers.	
ERROR	duplicate_definition	CD4-intermediate, CD8-positive double-positive thymocyte [CL:0002430]	IAO_0000115 [IAO:0000115]	A double-positive thymocyte that is undergoing positive selection, has high expression of the alpha-beta T cell receptor, is CD69-positive, and is in the process of down regulating the CD4 co-receptor.	
ERROR	duplicate_definition	CD4-positive, CD8-intermediate double-positive thymocyte [CL:0002431]	IAO_0000115 [IAO:0000115]	A double-positive thymocyte that is undergoing positive selection, has high expression of the alpha-beta T cell receptor, is CD69-positive, and is in the process of down regulating the CD4 co-receptor.	
ERROR	duplicate_definition	immature Vgamma2-positive thymocyte [CL:0002406]	IAO_0000115 [IAO:0000115]	A double negative post-natal thymocyte that has a T cell receptor consisting of a gamma chain containing a Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-positive.	
ERROR	duplicate_definition	immature Vgamma2-negative thymocyte [CL:0002408]	IAO_0000115 [IAO:0000115]	A double negative post-natal thymocyte that has a T cell receptor consisting of a gamma chain containing a Vgamma2 segment, and a delta chain. This cell type is CD4- negative, CD8-negative and CD24-positive.	
ERROR	duplicate_definition	CD69-positive, CD4-positive single-positive thymocyte [CL:0002433]	IAO_0000115 [IAO:0000115]	A CD4-positive, CD8-negative thymocyte that expresses high levels of the alpha-beta T cell receptor and is CD69-positive.	
ERROR	duplicate_definition	CD69-positive, CD8-positive single-positive thymocyte [CL:0002435]	IAO_0000115 [IAO:0000115]	A CD4-positive, CD8-negative thymocyte that expresses high levels of the alpha-beta T cell receptor and is CD69-positive.	
ERROR	missing_ontology_description	cl.owl	dc11:description		
ERROR	missing_ontology_license	cl.owl	dc:license		
ERROR	missing_ontology_title	cl.owl	dc11:title		
ERROR	multiple_labels	cell [CL:0000000]	label [rdfs:label]	cell	
ERROR	multiple_labels	cell [CL:0000000]	label [rdfs:label]	cell@en	
ERROR	multiple_labels	neuron [CL:0000540]	label [rdfs:label]	neuron	
ERROR	multiple_labels	neuron [CL:0000540]	label [rdfs:label]	neuron@en	
WARN	equivalent_pair	cell [CL:0000000]	owl:equivalentClass	GO_0005623 [GO:0005623]	
WARN	missing_definition	fibroblast neural crest derived [CL:0000005]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	neuronal receptor cell [CL:0000006]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	migratory cranial neural crest cell [CL:0000008]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	migratory trunk neural crest cell [CL:0000011]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	germ line stem cell [CL:0000014]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	male germ cell [CL:0000015]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	male germ line stem cell [CL:0000016]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	female germ line stem cell [CL:0000022]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	smooth muscle cell neural crest derived [CL:0000027]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	CNS neuron (sensu Nematoda and Protostomia) [CL:0000028]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	neuron neural crest derived [CL:0000029]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	glioblast [CL:0000030]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	epithelial fate stem cell [CL:0000036]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bone matrix secreting cell [CL:0000054]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	duct epithelial cell [CL:0000068]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	branched duct epithelial cell [CL:0000069]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	non-branched duct epithelial cell [CL:0000072]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	barrier epithelial cell [CL:0000073]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	columnar/cuboidal epithelial cell [CL:0000075]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	squamous epithelial cell [CL:0000076]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	peridermal cell [CL:0000078]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	stratified epithelial cell [CL:0000079]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	epithelial cell of lung [CL:0000082]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	germ line stem cell (sensu Vertebrata) [CL:0000085]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	germ line stem cell (sensu Nematoda and Protostomia) [CL:0000086]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	male germ line stem cell (sensu Nematoda and Protostomia) [CL:0000087]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	female germ line stem cell (sensu Nematoda and Protostomia) [CL:0000088]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	male germ line stem cell (sensu Vertebrata) [CL:0000089]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	female germ line stem cell (sensu Vertebrata) [CL:0000090]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	neuron associated cell [CL:0000095]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	polymodal neuron [CL:0000102]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	adrenergic neuron [CL:0000109]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	peptidergic neuron [CL:0000110]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	columnar neuron [CL:0000112]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	surface ectodermal cell [CL:0000114]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	CNS neuron (sensu Vertebrata) [CL:0000117]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	basket cell [CL:0000118]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	granule cell [CL:0000120]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	stellate neuron [CL:0000122]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	neuron associated cell (sensu Vertebrata) [CL:0000123]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	glial cell (sensu Nematoda and Protostomia) [CL:0000124]	IAO_0000115 [IAO:0000115]		
