Level	Rule Name	Subject	Property	Value
ERROR	multiple_equivalent_classes	macromere, 8 cell stage [CTENO:0000082]	owl:equivalentClass	blank node <3e6cf91ca49792bf2cb53bf56a651d15>	
ERROR	multiple_equivalent_classes	macromere, 8 cell stage [CTENO:0000082]	owl:equivalentClass	blank node <bb128ff0c417feac11855ba90dd103cc>	
ERROR	multiple_equivalent_classes	macromere, 16 cell stage [CTENO:0000085]	owl:equivalentClass	blank node <79cac24af532702b5a58cbfb6a6d674f>	
ERROR	multiple_equivalent_classes	macromere, 16 cell stage [CTENO:0000085]	owl:equivalentClass	blank node <8abd73a0d0d6b824d4c5ab1e63a38a7a>	
ERROR	multiple_equivalent_classes	micromere, 16 cell stage [CTENO:0000096]	owl:equivalentClass	blank node <0188a7597c829445934b9e0e8b4cb439>	
ERROR	multiple_equivalent_classes	micromere, 16 cell stage [CTENO:0000096]	owl:equivalentClass	blank node <9169282ee10c850d27b9bc6ef6b53522>	
ERROR	missing_ontology_description	cteno.owl	dc11:description		
ERROR	missing_ontology_license	cteno.owl	dc:license		
ERROR	missing_ontology_title	cteno.owl	dc11:title		
WARN	missing_definition	outer epidermis [CTENO:0000002]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	gastrodermis [CTENO:0000003]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	comb plate cilium [CTENO:0000005]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	sensory cell cilium [CTENO:0000006]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	tentacle sheath cilium [CTENO:0000007]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	polar field cilium [CTENO:0000008]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	auricular cilium [CTENO:0000009]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pharyngeal cilium [CTENO:0000010]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	good groove cilium [CTENO:0000011]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	balancer cilium [CTENO:0000012]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	dome cilium [CTENO:0000013]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	aboral groove cilium [CTENO:0000014]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	extracellular matrix of mesoglea [CTENO:0000015]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	polster cell [CTENO:0000016]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	apical sense organ [CTENO:0000017]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	tentacle [CTENO:0000018]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	adult ctenophore [CTENO:0000022]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cydippid stage [CTENO:0000024]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ctenophore adult stage [CTENO:0000025]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nurse cell [CTENO:0000027]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ectoplasm [CTENO:0000028]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	endoplasm [CTENO:0000029]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	subcortical plasm [CTENO:0000030]	IAO_0000115 [IAO:0000115]		
