Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	cvdo	dc11:description		
ERROR	duplicate_label	left bundle branch block (process) [CVDO:0000320]	label [rdfs:label]	left bundle branch block (process)@en	
ERROR	duplicate_label	left bundle branch block (process) [CVDO:0000476]	label [rdfs:label]	left bundle branch block (process)@en	
ERROR	missing_ontology_license	cvdo	dc:license		
ERROR	missing_ontology_title	cvdo	dc11:title		
WARN	duplicate_label_synonym	inflammatory dilated cardiomyopathy [CVDO:0000577]	hasExactSynonym [oboInOwl:hasExactSynonym]	inflammatory dilated cardiomyopathy@en	
WARN	missing_definition	bacterial endocarditis [CVDO:0000010]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	viral endocarditis [CVDO:0000011]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	fungal endocarditis [CVDO:0000012]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	heart disorder [CVDO:0000015]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	vascular disorder [CVDO:0000016]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	endocardium disorder [CVDO:0000020]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pericardium disorder [CVDO:0000023]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	infectious pericarditis [CVDO:0000033]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bacterial pericarditis [CVDO:0000034]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	viral pericarditis [CVDO:0000035]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	fungal pericarditis [CVDO:0000036]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	protozoal pericarditis [CVDO:0000037]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	heart pathological process [CVDO:0000039]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pericardium pathological process [CVDO:0000040]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	acute pericarditis [CVDO:0000041]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chronic pericarditis [CVDO:0000042]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	atrioventricular block (disease) [CVDO:0000043]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	first degree atrioventricular block (disease) [CVDO:0000044]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Mobitz I second degree atrioventricular block (disease) [CVDO:0000045]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	third degree atrioventricular block (disease) [CVDO:0000046]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	heart conduction disorder [CVDO:0000047]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	impaired atrioventricular node [CVDO:0000048]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	impaired right branch of atrioventricular bundle [CVDO:0000051]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bundle of Kent [CVDO:0000052]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	sinoatrial block (disease) [CVDO:0000061]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Mobitz I second degree sinoatrial block (disease) [CVDO:0000062]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Mobitz II second degree sinoatrial block (disease) [CVDO:0000063]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	first degree sinoatrial block (disease) [CVDO:0000064]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	third degree sinoatrial block (disease) [CVDO:0000065]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	impaired sinoatrial node [CVDO:0000066]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	heart block (disease) [CVDO:0000072]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	impaired posterior division of left branch of atrioventricular bundle [CVDO:0000077]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	left posterior fascicular block (disease) [CVDO:0000080]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	infra-hisian block (disease) [CVDO:0000081]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	left bundle branch block (disease) [CVDO:0000082]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cardiac arrhythmia (disease) [CVDO:0000088]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	atrial fibrillation (disease) [CVDO:0000092]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	atrial fibrillation (process) [CVDO:0000093]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	atrial flutter (disease) [CVDO:0000094]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	common atrial flutter (disease) [CVDO:0000097]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cardiac atrium fibrosis [CVDO:0000110]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	supraventricular tachycardia (process) [CVDO:0000111]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bradycardia (disease) [CVDO:0000139]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bradycardia (process) [CVDO:0000140]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	premature atrial contraction (disease) [CVDO:0000143]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	left anterior fascicle [CVDO:0000144]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	wandering pacemaker [CVDO:0000153]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	tricuspid valve disease [CVDO:0000154]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	heart pathological process involving a heart valve [CVDO:0000159]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mitral valve leaflet displacement into the left atrium during left ventricular systole [CVDO:0000160]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	tricuspid valve leaflet displacement into the right atrium during right ventricular systole [CVDO:0000162]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	aortic valve leaflet displacement into the left ventricle during left ventricular diastole [CVDO:0000163]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	heart valve leaflet displacement into a cardiac chamber during ventricular systole [CVDO:0000164]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mitral valve improper close during left ventricular systole [CVDO:0000166]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	retrograd blood flow through mitral valve during left ventricular systole [CVDO:0000168]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	retrograd blood flow through pulmonary valve during right ventricular diastole [CVDO:0000169]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pulmonary valve improper close during right ventricular diastole [CVDO:0000170]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	tricuspid valve improper close during right ventricular systole [CVDO:0000171]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	aortic valve improper close during left ventricular diastole [CVDO:0000172]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	retrograd blood flow through tricuspid valve during right ventricular systole [CVDO:0000173]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	retrograd blood flow through aortic valve during left ventricular diastole [CVDO:0000175]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	disturbed anterograd blood flow through mitral valve during left ventricular diastole [CVDO:0000181]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	retrograd blood flow through a heart valve [CVDO:0000182]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	disturbed anterograd blood flow through a heart valve [CVDO:0000183]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	disturbed anterograd blood flow through tricuspid valve during right ventricular diastole [CVDO:0000184]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	disturbed anterograd blood flow through pulmonary valve during right ventricular systole [CVDO:0000186]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	disturbed anterograd blood flow through aortic valve during left ventricular systole [CVDO:0000187]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	heart valve stenosis [CVDO:0000189]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	impaired cardiac output [CVDO:0000191]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pressure [CVDO:0000193]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	blood pressure [CVDO:0000194]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	highly pressured arterial blood flow [CVDO:0000196]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	heart valve insufficiency [CVDO:0000209]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	heart valve improper close [CVDO:0000210]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	vein disorder [CVDO:0000214]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	vascular pathological process [CVDO:0000216]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	thrombosis [CVDO:0000217]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	deep vein thrombosis [CVDO:0000220]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	artery hardening [CVDO:0000223]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	atheromous plaque formation in artery [CVDO:0000224]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	embolism [CVDO:0000225]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	aneurysm (disorder) [CVDO:0000226]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ischemic disease [CVDO:0000231]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	compression disease [CVDO:0000234]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	permanent atrial fibrillation [CVDO:0000238]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	right ventricular myocardium dilatation [CVDO:0000239]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	aneurysm rupture [CVDO:0000240]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	myocardium disorder [CVDO:0000248]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Tako Tsubo cardiomyopathy [CVDO:0000254]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	left ventricular noncompaction [CVDO:0000255]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	genetic hypertrophic cardiomyopathy [CVDO:0000256]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pericardium disease [CVDO:0000262]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	vascular disease - unclassified by CVDO [CVDO:0000267]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cardiac atrium pathological process [CVDO:0000273]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cardiac ventricle pathological process [CVDO:0000274]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	thromboembolism [CVDO:0000275]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	infarction [CVDO:0000276]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pulmonary valve leaflet displacement into the right ventricle during right ventricular diastole [CVDO:0000277]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cardiac blood circulation pathological process [CVDO:0000279]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	vascular blood circulation pathological process [CVDO:0000280]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	part of atrial myocardium with impaired conduction [CVDO:0000281]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	diabetic microangiopathy [CVDO:0000284]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	diabetic macroangiopathy [CVDO:0000285]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	atheromous plaque formation in coronary artery [CVDO:0000288]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	atherosclerotic coronary heart disease [CVDO:0000293]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	left ventricular myocardium dilatation [CVDO:0000294]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	supraventricular tachycardia (disease) [CVDO:0000296]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	left atrial flutter (disease) [CVDO:0000298]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	right atrial flutter (disease) [CVDO:0000299]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	junctional tachycardia (disease) [CVDO:0000301]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	atrioventricular nodal reentrant tachycardia (disease) [CVDO:0000304]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	atrial flutter (process) [CVDO:0000306]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ventricular fibrillation (process) [CVDO:0000307]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	junctional tachycardia (process) [CVDO:0000308]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	premature atrial contraction (process) [CVDO:0000309]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cardiac arrhythmia (process) [CVDO:0000310]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	heart block (process) [CVDO:0000311]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	atrioventricular block (process) [CVDO:0000312]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	infra-hisian block (process) [CVDO:0000313]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	sinoatrial block (process) [CVDO:0000314]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Mobitz I second degree atrioventricular block (process) [CVDO:0000315]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Mobitz II second degree atrioventricular block (process) [CVDO:0000316]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	first degree atrioventricular block (process) [CVDO:0000317]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	third degree atrioventricular block (process) [CVDO:0000318]	IAO_0000115 [IAO:0000115]		
