Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	decreased intracellular cAMP level [DDPHENO:0001011]	IAO_0000115 [IAO:0000115]	Reduction in amount or accumulation of intracellular cAMP.	
ERROR	duplicate_definition	decreased extracellular cAMP level [DDPHENO:0001329]	IAO_0000115 [IAO:0000115]	Reduction in amount or accumulation of intracellular cAMP.	
ERROR	duplicate_definition	mislocalized prestalk gene expression [DDPHENO:0000367]	IAO_0000115 [IAO:0000115]	Prestalk gene expression occurring in an abnormal position or in an unusual manner or form.	
ERROR	duplicate_definition	mislocalized prespore gene expression [DDPHENO:0000415]	IAO_0000115 [IAO:0000115]	Prestalk gene expression occurring in an abnormal position or in an unusual manner or form.	
ERROR	duplicate_definition	delayed phagosome acidification [DDPHENO:0001491]	IAO_0000115 [IAO:0000115]	Late onset or slower progression of phagosome acidification.	
ERROR	duplicate_definition	delayed phagosome re-neutralization [DDPHENO:0001492]	IAO_0000115 [IAO:0000115]	Late onset or slower progression of phagosome acidification.	
ERROR	duplicate_definition	increased pseudopod size [DDPHENO:0000540]	IAO_0000115 [IAO:0000115]	Increase in relative or proportionate dimensions of the pseudopod.	
ERROR	duplicate_definition	decreased pseudopod size [DDPHENO:0001178]	IAO_0000115 [IAO:0000115]	Increase in relative or proportionate dimensions of the pseudopod.	
ERROR	duplicate_definition	increased intracellular 2,3-bisphosphoglycerate level [DDPHENO:0001186]	IAO_0000115 [IAO:0000115]	Increase in amount or accumulation of intracellular 2,3-bisphosphoglycerate.	
ERROR	duplicate_definition	increased intracellular 2,3-bisphosphoglycerate [DDPHENO:0001474]	IAO_0000115 [IAO:0000115]	Increase in amount or accumulation of intracellular 2,3-bisphosphoglycerate.	
ERROR	duplicate_definition	aberrant endosome morphology [DDPHENO:0000230]	IAO_0000115 [IAO:0000115]	Deviation from the normal, usual, or expected morphology of the endosome.	
ERROR	duplicate_definition	aberrant lysosome morphology [DDPHENO:0001206]	IAO_0000115 [IAO:0000115]	Deviation from the normal, usual, or expected morphology of the endosome.	
ERROR	duplicate_definition	aberrant organelle organization and biogenesis [DDPHENO:0001043]	IAO_0000115 [IAO:0000115]	Deviation from the normal, usual, or expected events during organelle organization and biogenesis.	
ERROR	duplicate_definition	aberrant lysosome organization and biogenesis [DDPHENO:0001237]	IAO_0000115 [IAO:0000115]	Deviation from the normal, usual, or expected events during organelle organization and biogenesis.	
ERROR	duplicate_definition	abolished F-actin polymerization [DDPHENO:0001057]	IAO_0000115 [IAO:0000115]	Complete inability to polymerize actin into F-actin.	
ERROR	duplicate_definition	aberrant F-actin polymerization [DDPHENO:0001445]	IAO_0000115 [IAO:0000115]	Complete inability to polymerize actin into F-actin.	
ERROR	duplicate_definition	aberrant F-actin depolymerization [DDPHENO:0001446]	IAO_0000115 [IAO:0000115]	Complete inability to depolymerize actin into F-actin.	
ERROR	duplicate_definition	abolished F-actin depolymerization [DDPHENO:0001447]	IAO_0000115 [IAO:0000115]	Complete inability to depolymerize actin into F-actin.	
ERROR	missing_ontology_description	ddpheno.owl	dc11:description		
ERROR	duplicate_label	increased double-strand break repair via homologous recombination [DDPHENO:0000574]	label [rdfs:label]	increased double-strand break repair via homologous recombination	
ERROR	duplicate_label	increased double-strand break repair via homologous recombination [DDPHENO:0001460]	label [rdfs:label]	increased double-strand break repair via homologous recombination	
ERROR	duplicate_label	decreased double-strand break repair via homologous recombination [DDPHENO:0000572]	label [rdfs:label]	decreased double-strand break repair via homologous recombination	
ERROR	duplicate_label	decreased double-strand break repair via homologous recombination [DDPHENO:0001459]	label [rdfs:label]	decreased double-strand break repair via homologous recombination	
ERROR	duplicate_label	aberrant double-strand break repair via homologous recombination [DDPHENO:0000571]	label [rdfs:label]	aberrant double-strand break repair via homologous recombination	
ERROR	duplicate_label	aberrant double-strand break repair via homologous recombination [DDPHENO:0001458]	label [rdfs:label]	aberrant double-strand break repair via homologous recombination	
ERROR	duplicate_label	aberrant DNA repair [DDPHENO:0000242]	label [rdfs:label]	aberrant DNA repair	
ERROR	duplicate_label	aberrant DNA repair [DDPHENO:0001457]	label [rdfs:label]	aberrant DNA repair	
ERROR	missing_ontology_license	ddpheno.owl	dc:license		
ERROR	missing_ontology_title	ddpheno.owl	dc11:title		
WARN	annotation_whitespace	abolished double-strand break repair via nonhomologous end joining [DDPHENO:0000576]	hasExactSynonym [oboInOwl:hasExactSynonym]	 abolished DSB repair via nonhomologous end joining	
WARN	annotation_whitespace	decreased double-strand break repair via nonhomologous end joining [DDPHENO:0000577]	hasExactSynonym [oboInOwl:hasExactSynonym]	 decreased DSB repair via nonhomologous end joining	
WARN	annotation_whitespace	increased double-strand break repair via nonhomologous end joining [DDPHENO:0000578]	hasExactSynonym [oboInOwl:hasExactSynonym]	 increased DSB repair via nonhomologous end joining	
WARN	annotation_whitespace	obsolete_aberrant response to drug [DDPHENO:0001040]	IAO_0000115 [IAO:0000115]	OBSOLETE. Deviation from the normal, usual, or expected events during the response to drug. 	
WARN	annotation_whitespace	increased calcium-dependent cell-cell adhesion [DDPHENO:0001215]	hasExactSynonym [oboInOwl:hasExactSynonym]	 increased EDTA-sensitive cell-cell adhesion	
WARN	annotation_whitespace	decreased protein localization to coated pits [DDPHENO:0001406]	hasExactSynonym [oboInOwl:hasExactSynonym]	decreased localization of protein to clathrin-coated pits 	
WARN	annotation_whitespace	increased protein localization to coated pits [DDPHENO:0001407]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	increased localization of protein to clathrin-coated pits 	
WARN	missing_definition	abolished RNA interference [DDPHENO:0000021]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	multiple tips [DDPHENO:0000036]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	spores inviable [DDPHENO:0000094]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abolished protein localization to nucleolus [DDPHENO:0000105]	IAO_0000115 [IAO:0000115]		
