Level	Rule Name	Subject	Property	Value
WARN	duplicate_exact_synonym	N,N\'-diphenylthiourea allergic contact dermatitis [DOID:0040101]	hasExactSynonym [oboInOwl:hasExactSynonym]	neoprene allergy	
WARN	duplicate_exact_synonym	N,N\'-diethylthiourea allergic contact dermatitis [DOID:0040102]	hasExactSynonym [oboInOwl:hasExactSynonym]	neoprene allergy	
WARN	missing_definition	cefaclor allergy [DOID:0040023]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	carbapenem allergy [DOID:0040032]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nonpapillary renal cell carcinoma [DOID:0050387]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	variable age at onset electroclinical syndrome [DOID:0050706]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	paramyloidosis [DOID:0050761]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Muckle-Wells syndrome [DOID:0050854]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 15q26-qter deletion syndrome [DOID:0060397]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 16p11.2 deletion syndrome, 220kb [DOID:0060398]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 16p12.1 deletion syndrome, 520kb [DOID:0060399]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 16p12.2-p11.2 deletion syndrome [DOID:0060400]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 16q22 deletion syndrome [DOID:0060401]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 17p13.1 deletion syndrome [DOID:0060402]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 17q11.2 deletion syndrome, 1.4Mb [DOID:0060403]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 17q12 deletion syndrome [DOID:0060404]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 17q23.1-q23.2 deletion syndrome [DOID:0060405]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 18p deletion syndrome [DOID:0060406]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 18q deletion syndrome [DOID:0060407]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 19q13.11 deletion syndrome [DOID:0060408]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 1p32-p31 deletion syndrome [DOID:0060409]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 1p36 deletion syndrome [DOID:0060410]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 1q21.1 deletion syndrome [DOID:0060411]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 1q41-q42 deletion syndrome [DOID:0060412]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 22q11.2 deletion syndrome, distal [DOID:0060413]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 2p12-p11.2 deletion syndrome [DOID:0060414]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 2p16.1-p15 deletion syndrome [DOID:0060415]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 2q31.2 deletion syndrome [DOID:0060416]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	3p- syndrome [DOID:0060417]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 3q13.31 deletion syndrome [DOID:0060418]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 3q29 microdeletion syndrome [DOID:0060419]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 4q21 deletion syndrome [DOID:0060420]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 5q12 deletion syndrome [DOID:0060421]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 6pter-p24 deletion syndrome [DOID:0060422]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 6q11-q14 deletion syndrome [DOID:0060423]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 6q24-q25 deletion syndrome [DOID:0060424]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 8q21.11 deletion syndrome [DOID:0060425]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 19p13.13 deletion syndrome [DOID:0060426]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome Xp21 deletion syndrome [DOID:0060427]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 2q32-q33 deletion syndrome [DOID:0060428]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosomal duplication syndrome [DOID:0060429]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 16p11.2 duplication syndrome [DOID:0060430]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 16p13.3 duplication syndrome [DOID:0060431]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 17p13.3 duplication syndrome [DOID:0060432]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 17q12 duplication syndrome [DOID:0060433]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 17q21.31 duplication syndrome [DOID:0060434]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 1q21.1 duplication syndrome [DOID:0060435]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 22q11.2 microduplication syndrome [DOID:0060436]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 22q13 duplication syndrome [DOID:0060437]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	congenital stromal corneal dystrophy [DOID:0060445]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	X-linked endothelial corneal dystrophy [DOID:0060446]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	epithelial basement membrane dystrophy [DOID:0060447]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Fleck corneal dystrophy [DOID:0060448]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	gelatinous drop-like corneal dystrophy [DOID:0060449]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Lisch epithelial corneal dystrophy [DOID:0060450]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Meesmann corneal dystrophy [DOID:0060451]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	posterior amorphous corneal dystrophy [DOID:0060452]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	subepithelial mucinous corneal dystrophy [DOID:0060454]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Schnyder corneal dystrophy [DOID:0060456]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	posterior polymorphous corneal dystrophy [DOID:0060457]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 2q31.1 duplication syndrome [DOID:0060458]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 3q29 microduplication syndrome [DOID:0060459]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome 5p13 duplication syndrome [DOID:0060460]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chromosome Xp11.23-p11.22 duplication syndrome [DOID:0060461]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	fibrochondrogenesis [DOID:0060465]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	humeroradial synostosis [DOID:0060467]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	horned turban snail allergy [DOID:0060531]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	luminal breast carcinoma [DOID:0060548]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ataxia with oculomotor apraxia type 3 [DOID:0060557]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	spinal disease [DOID:0060564]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cardiac tuberculosis [DOID:0060570]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	B-cell adult acute lymphocytic leukemia [DOID:0060592]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abdominal obesity-metabolic syndrome [DOID:0060611]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	dicarboxylic aminoaciduria [DOID:0060650]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	spina bifida [DOID:0080016]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Shwachman-Diamond type metaphyseal dysplasia [DOID:0080023]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	autosomal recessive spinocerebellar ataxia 16 [DOID:0080029]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	autosomal recessive spinocerebellar ataxia 18 [DOID:0080042]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Stickler syndrome [DOID:0080046]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	autosomal recessive spinocerebellar ataxia 15 [DOID:0080057]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	autosomal recessive spinocerebellar ataxia 14 [DOID:0080058]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	autosomal recessive spinocerebellar ataxia 7 [DOID:0080059]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	autosomal recessive spinocerebellar ataxia 12 [DOID:0080060]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	autosomal recessive spinocerebellar ataxia 13 [DOID:0080062]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	autosomal recessive spinocerebellar ataxia 11 [DOID:0080063]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	autosomal recessive spinocerebellar ataxia 17 [DOID:0080064]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	autosomal recessive spinocerebellar ataxia 19 [DOID:0080065]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	autosomal recessive spinocerebellar ataxia 20 [DOID:0080066]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	inclusion-cell disease [DOID:0080070]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pseudo-Hurler polydystrophy [DOID:0080071]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	neuronal intestinal dysplasia [DOID:0080072]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	spina bifida occulta [DOID:0080073]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	neural tube defect [DOID:0080074]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hypophosphatemic nephrolithiasis/osteoporosis 1 [DOID:0080077]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hypophosphatemic nephrolithiasis/osteoporosis 2 [DOID:0080078]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nonsyndromic congenital nail disorder 1 [DOID:0080079]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nonsyndromic congenital nail disorder 2 [DOID:0080080]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nonsyndromic congenital nail disorder 3 [DOID:0080081]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nonsyndromic congenital nail disorder 5 [DOID:0080083]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nonsyndromic congenital nail disorder 6 [DOID:0080084]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nonsyndromic congenital nail disorder 7 [DOID:0080085]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nonsyndromic congenital nail disorder 8 [DOID:0080086]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nonsyndromic congenital nail disorder 9 [DOID:0080087]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nonsyndromic congenital nail disorder 10 [DOID:0080088]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	tubular aggregate myopathy [DOID:0080089]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	reducing body myopathy [DOID:0080090]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	spheroid body myopathy [DOID:0080091]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	myopathy, lactic acidosis, and sideroblastic anemia [DOID:0080099]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	congenital myopathy [DOID:0080100]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Compton-North congenital myopathy [DOID:0080101]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	congenital fiber-type disproportion [DOID:0080102]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cylindrical spirals myopathy [DOID:0080103]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	multiple endocrine neoplasia type 4 [DOID:0080137]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mosaic variegated aneuploidy syndrome 1 [DOID:0080141]	IAO_0000115 [IAO:0000115]		
