Level	Rule Name	Subject	Property	Value
WARN	missing_definition	uses [ECO:9000001]	IAO_0000115 [IAO:0000115]		
WARN	missing_obsolete_label	nucleic acid hybridization evidence [ECO:0000026]	label [rdfs:label]	nucleic acid hybridization evidence	
WARN	missing_obsolete_label	not_recorded [ECO:0000037]	label [rdfs:label]	not_recorded	
WARN	missing_obsolete_label	protein assay evidence [ECO:0000039]	label [rdfs:label]	protein assay evidence	
WARN	missing_obsolete_label	array experiment evidence [ECO:0000055]	label [rdfs:label]	array experiment evidence	
WARN	missing_obsolete_label	Sos-recruitment assay evidence [ECO:0000072]	label [rdfs:label]	Sos-recruitment assay evidence	
WARN	missing_obsolete_label	experimental genomic evidence [ECO:0000073]	label [rdfs:label]	experimental genomic evidence	
WARN	missing_obsolete_label	polymerase chain reaction evidence [ECO:0000082]	label [rdfs:label]	polymerase chain reaction evidence	
WARN	missing_obsolete_label	biological assay evidence [ECO:0000094]	label [rdfs:label]	biological assay evidence	
WARN	missing_obsolete_label	in vitro binding evidence [ECO:0000148]	label [rdfs:label]	in vitro binding evidence	
WARN	missing_obsolete_label	in vitro culture assay evidence [ECO:0000182]	label [rdfs:label]	in vitro culture assay evidence	
WARN	missing_obsolete_label	chromosome conformation capture-PCR evidence [ECO:0000236]	label [rdfs:label]	chromosome conformation capture-PCR evidence	
WARN	missing_obsolete_label	computational combinatorial evidence used in automatic assertion [ECO:0000246]	label [rdfs:label]	computational combinatorial evidence used in automatic assertion	
WARN	missing_obsolete_label	array experiment evidence used in manual assertion [ECO:0000271]	label [rdfs:label]	array experiment evidence used in manual assertion	
WARN	missing_obsolete_label	RNA sequencing assay evidence [ECO:0001821]	label [rdfs:label]	RNA sequencing assay evidence	
WARN	missing_obsolete_label	in vitro cell based assay evidence [ECO:0005014]	label [rdfs:label]	in vitro cell based assay evidence	
WARN	missing_obsolete_label	computationally derived logical inference [ECO:0005538]	label [rdfs:label]	computationally derived logical inference	
WARN	missing_obsolete_label	computationally derived logical inference used in automatic assertion [ECO:0005539]	label [rdfs:label]	computationally derived logical inference used in automatic assertion	
WARN	missing_obsolete_label	computationally derived logical inference from automatic assertion used in automatic assertion [ECO:0005540]	label [rdfs:label]	computationally derived logical inference from automatic assertion used in automatic assertion	
WARN	missing_obsolete_label	computationally derived logical inference from manual assertion used in automatic assertion [ECO:0005541]	label [rdfs:label]	computationally derived logical inference from manual assertion used in automatic assertion	
WARN	missing_obsolete_label	single channel conductance evidence [ECO:0005565]	label [rdfs:label]	single channel conductance evidence	
WARN	missing_obsolete_label	steady state activation curve evidence [ECO:0005567]	label [rdfs:label]	steady state activation curve evidence	
WARN	missing_obsolete_label	steady state inactivation curve evidence [ECO:0005568]	label [rdfs:label]	steady state inactivation curve evidence	
WARN	missing_obsolete_label	window current trace evidence [ECO:0005569]	label [rdfs:label]	window current trace evidence	
WARN	missing_obsolete_label	inference from experimental data evidence [ECO:0005611]	label [rdfs:label]	inference from experimental data evidence	
WARN	missing_obsolete_label	inference from phenotype manipulation evidence [ECO:0005612]	label [rdfs:label]	inference from phenotype manipulation evidence	
WARN	missing_obsolete_label	RNA sequencing assay evidence used in manual assertion [ECO:0005664]	label [rdfs:label]	RNA sequencing assay evidence used in manual assertion	
WARN	missing_obsolete_label	RNA sequencing assay evidence used in automatic assertion [ECO:0005665]	label [rdfs:label]	RNA sequencing assay evidence used in automatic assertion	
WARN	missing_obsolete_label	in vitro cell based assay evidence used in manual assertion [ECO:0006065]	label [rdfs:label]	in vitro cell based assay evidence used in manual assertion	
WARN	missing_obsolete_label	visual sequence inspection evidence used in manual assertion [ECO:0007158]	label [rdfs:label]	visual sequence inspection evidence used in manual assertion	
