Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	ehdaa2.owl	dc11:description		
ERROR	missing_ontology_license	ehdaa2.owl	dc:license		
ERROR	missing_ontology_title	ehdaa2.owl	dc11:title		
WARN	missing_definition	Abstract human developmental anatomy [EHDAA2:0000000]	IAO:0000115		
WARN	missing_definition	human conceptus [EHDAA2:0000001]	IAO:0000115		
WARN	missing_definition	human embryo [EHDAA2:0000002]	IAO:0000115		
WARN	missing_definition	human conceptus extraembryonic component [EHDAA2:0000003]	IAO:0000115		
WARN	missing_definition	morula (2-16 cells) [EHDAA2:0000005]	IAO:0000115		
WARN	missing_definition	1st arch [EHDAA2:0000006]	IAO:0000115		
WARN	missing_definition	1st arch artery [EHDAA2:0000007]	IAO:0000115		
WARN	missing_definition	1st arch groove ectoderm [EHDAA2:0000009]	IAO:0000115		
WARN	missing_definition	1st arch pouch endoderm [EHDAA2:0000016]	IAO:0000115		
WARN	missing_definition	1st arch mandibular component [EHDAA2:0000031]	IAO:0000115		
WARN	missing_definition	1st arch mandibular ectoderm [EHDAA2:0000032]	IAO:0000115		
WARN	missing_definition	1st arch mandibular endoderm [EHDAA2:0000033]	IAO:0000115		
WARN	missing_definition	1st arch mandibular mesenchyme [EHDAA2:0000034]	IAO:0000115		
WARN	missing_definition	1st arch mandibular mesenchyme from head mesenchyme [EHDAA2:0000036]	IAO:0000115		
WARN	missing_definition	1st arch mandibular mesenchyme from neural crest [EHDAA2:0000037]	IAO:0000115		
WARN	missing_definition	1st arch maxillary component [EHDAA2:0000038]	IAO:0000115		
WARN	missing_definition	1st arch maxillary ectoderm [EHDAA2:0000039]	IAO:0000115		
WARN	missing_definition	1st arch maxillary endoderm [EHDAA2:0000040]	IAO:0000115		
WARN	missing_definition	1st arch maxillary mesenchyme [EHDAA2:0000041]	IAO:0000115		
WARN	missing_definition	1st arch maxillary mesenchyme from head mesenchyme [EHDAA2:0000043]	IAO:0000115		
WARN	missing_definition	1st arch maxillary mesenchyme from neural crest [EHDAA2:0000044]	IAO:0000115		
WARN	missing_definition	1st arch maxillary-mandibular groove ectoderm [EHDAA2:0000046]	IAO:0000115		
WARN	missing_definition	future external epithelium of eardrum [EHDAA2:0000048]	IAO:0000115		
WARN	missing_definition	2nd arch [EHDAA2:0000050]	IAO:0000115		
WARN	missing_definition	2nd arch artery [EHDAA2:0000051]	IAO:0000115		
WARN	missing_definition	2nd arch ectoderm [EHDAA2:0000055]	IAO:0000115		
WARN	missing_definition	2nd arch groove ectoderm [EHDAA2:0000057]	IAO:0000115		
WARN	missing_definition	2nd arch pouch endoderm [EHDAA2:0000058]	IAO:0000115		
WARN	missing_definition	2nd arch endoderm [EHDAA2:0000061]	IAO:0000115		
WARN	missing_definition	2nd arch mesenchyme [EHDAA2:0000066]	IAO:0000115		
WARN	missing_definition	2nd arch mesenchyme from head mesenchyme [EHDAA2:0000067]	IAO:0000115		
WARN	missing_definition	2nd arch mesenchyme from neural crest [EHDAA2:0000068]	IAO:0000115		
WARN	missing_definition	3rd arch [EHDAA2:0000069]	IAO:0000115		
WARN	missing_definition	3rd arch artery [EHDAA2:0000070]	IAO:0000115		
WARN	missing_definition	3rd arch ectoderm [EHDAA2:0000072]	IAO:0000115		
WARN	missing_definition	3rd arch groove ectoderm [EHDAA2:0000074]	IAO:0000115		
WARN	missing_definition	3rd arch endoderm [EHDAA2:0000075]	IAO:0000115		
WARN	missing_definition	3rd arch pouch endoderm [EHDAA2:0000077]	IAO:0000115		
WARN	missing_definition	cervical sinus [EHDAA2:0000078]	IAO:0000115		
WARN	missing_definition	3rd arch mesenchyme [EHDAA2:0000081]	IAO:0000115		
WARN	missing_definition	3rd arch mesenchyme from head mesenchyme [EHDAA2:0000082]	IAO:0000115		
WARN	missing_definition	3rd arch mesenchyme from neural crest [EHDAA2:0000083]	IAO:0000115		
WARN	missing_definition	3rd ventricle [EHDAA2:0000084]	IAO:0000115		
WARN	missing_definition	4th arch [EHDAA2:0000086]	IAO:0000115		
WARN	missing_definition	4th arch artery left [EHDAA2:0000087]	IAO:0000115		
WARN	missing_definition	4th arch pharyngeal groove ectoderm [EHDAA2:0000089]	IAO:0000115		
WARN	missing_definition	4th arch pharyngeal pouch endoderm [EHDAA2:0000091]	IAO:0000115		
WARN	missing_definition	4th arch mesenchyme [EHDAA2:0000096]	IAO:0000115		
WARN	missing_definition	4th arch mesenchyme from head mesenchyme [EHDAA2:0000097]	IAO:0000115		
WARN	missing_definition	4th arch mesenchyme from neural crest [EHDAA2:0000098]	IAO:0000115		
WARN	missing_definition	4th ventricle [EHDAA2:0000100]	IAO:0000115		
WARN	missing_definition	rhombencephalic vesicle [EHDAA2:0000101]	IAO:0000115		
