Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	emap.owl	dc11:description		
ERROR	duplicate_label	TS26 urinary space of renal corpuscle [EMAP:27990]	label [rdfs:label]	TS26 urinary space of renal corpuscle	
ERROR	duplicate_label	TS26 urinary space of renal corpuscle [EMAP:28265]	label [rdfs:label]	TS26 urinary space of renal corpuscle	
ERROR	duplicate_label	TS26 thyrohyoid [EMAP:13149]	label [rdfs:label]	TS26 thyrohyoid	
ERROR	duplicate_label	TS26 thyrohyoid [EMAP:14970]	label [rdfs:label]	TS26 thyrohyoid	
ERROR	duplicate_label	TS26 thin descending limb [EMAP:28327]	label [rdfs:label]	TS26 thin descending limb	
ERROR	duplicate_label	TS26 thin descending limb [EMAP:28357]	label [rdfs:label]	TS26 thin descending limb	
ERROR	duplicate_label	TS26 thin ascending limb [EMAP:28330]	label [rdfs:label]	TS26 thin ascending limb	
ERROR	duplicate_label	TS26 thin ascending limb [EMAP:28363]	label [rdfs:label]	TS26 thin ascending limb	
ERROR	duplicate_label	TS26 temporal bone [EMAP:12417]	label [rdfs:label]	TS26 temporal bone	
ERROR	duplicate_label	TS26 temporal bone [EMAP:12425]	label [rdfs:label]	TS26 temporal bone	
ERROR	duplicate_label	TS26 renal vein [EMAP:13093]	label [rdfs:label]	TS26 renal vein	
ERROR	duplicate_label	TS26 renal vein [EMAP:28378]	label [rdfs:label]	TS26 renal vein	
ERROR	duplicate_label	TS26 renal artery [EMAP:11468]	label [rdfs:label]	TS26 renal artery	
ERROR	duplicate_label	TS26 renal artery [EMAP:28375]	label [rdfs:label]	TS26 renal artery	
ERROR	duplicate_label	TS26 premacula segment of distal straight tubule [EMAP:28333]	label [rdfs:label]	TS26 premacula segment of distal straight tubule	
ERROR	duplicate_label	TS26 premacula segment of distal straight tubule [EMAP:31381]	label [rdfs:label]	TS26 premacula segment of distal straight tubule	
ERROR	duplicate_label	TS26 parietal epithelium [EMAP:27924]	label [rdfs:label]	TS26 parietal epithelium	
ERROR	duplicate_label	TS26 parietal epithelium [EMAP:27984]	label [rdfs:label]	TS26 parietal epithelium	
ERROR	duplicate_label	TS26 parietal epithelium [EMAP:28262]	label [rdfs:label]	TS26 parietal epithelium	
ERROR	duplicate_label	TS26 optic disc [EMAP:11972]	label [rdfs:label]	TS26 optic disc	
ERROR	duplicate_label	TS26 optic disc [EMAP:14887]	label [rdfs:label]	TS26 optic disc	
ERROR	duplicate_label	TS26 nasopharynx [EMAP:12380]	label [rdfs:label]	TS26 nasopharynx	
ERROR	duplicate_label	TS26 nasopharynx [EMAP:14891]	label [rdfs:label]	TS26 nasopharynx	
ERROR	duplicate_label	TS26 hippocampus [EMAP:12575]	label [rdfs:label]	TS26 hippocampus	
ERROR	duplicate_label	TS26 hippocampus [EMAP:12943]	label [rdfs:label]	TS26 hippocampus	
ERROR	duplicate_label	TS26 hippocampus [EMAP:34185]	label [rdfs:label]	TS26 hippocampus	
ERROR	duplicate_label	TS26 glomerular mesangium [EMAP:27966]	label [rdfs:label]	TS26 glomerular mesangium	
ERROR	duplicate_label	TS26 glomerular mesangium [EMAP:28250]	label [rdfs:label]	TS26 glomerular mesangium	
ERROR	duplicate_label	TS26 glomerular basement membrane [EMAP:28253]	label [rdfs:label]	TS26 glomerular basement membrane	
