Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	emapa.owl	dc11:description		
ERROR	duplicate_label	superior vesical artery [EMAPA:36688]	label [rdfs:label]	superior vesical artery	
ERROR	duplicate_label	superior vesical artery [EMAPA:37123]	label [rdfs:label]	superior vesical artery	
ERROR	duplicate_label	respiratory system elastic tissue [EMAPA:36889]	label [rdfs:label]	respiratory system elastic tissue	
ERROR	duplicate_label	respiratory system elastic tissue [EMAPA:37579]	label [rdfs:label]	respiratory system elastic tissue	
ERROR	duplicate_label	medullary collecting duct [EMAPA:28061]	label [rdfs:label]	medullary collecting duct	
ERROR	duplicate_label	medullary collecting duct [EMAPA:35459]	label [rdfs:label]	medullary collecting duct	
ERROR	duplicate_label	ileocolic artery [EMAPA:37082]	label [rdfs:label]	ileocolic artery	
ERROR	duplicate_label	ileocolic artery [EMAPA:37083]	label [rdfs:label]	ileocolic artery	
ERROR	duplicate_label	genital swelling [EMAPA:30074]	label [rdfs:label]	genital swelling	
ERROR	duplicate_label	genital swelling [EMAPA:35377]	label [rdfs:label]	genital swelling	
ERROR	duplicate_label	early proximal tubule [EMAPA:27784]	label [rdfs:label]	early proximal tubule	
ERROR	duplicate_label	early proximal tubule [EMAPA:28003]	label [rdfs:label]	early proximal tubule	
ERROR	duplicate_label	early distal tubule [EMAPA:27788]	label [rdfs:label]	early distal tubule	
ERROR	duplicate_label	early distal tubule [EMAPA:28007]	label [rdfs:label]	early distal tubule	
ERROR	missing_ontology_license	emapa.owl	dc:license		
ERROR	missing_ontology_title	emapa.owl	dc11:title		
WARN	missing_definition	Anatomical structure [EMAPA:0]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	first polar body [EMAPA:16032]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	1-cell stage embryo [EMAPA:16033]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	second polar body [EMAPA:16034]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	zona pellucida [EMAPA:16035]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	2-cell stage embryo [EMAPA:16036]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	4-8 cell stage embryo [EMAPA:16037]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	embryo [EMAPA:16039]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	compacted morula [EMAPA:16040]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	inner cell mass [EMAPA:16041]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	extraembryonic component [EMAPA:16042]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	extraembryonic cavity [EMAPA:16043]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	blastocoelic cavity [EMAPA:16044]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	trophectoderm [EMAPA:16046]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mural trophectoderm [EMAPA:16047]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	polar trophectoderm [EMAPA:16048]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	epiblast [EMAPA:16050]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	primitive endoderm [EMAPA:16051]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	extraembryonic endoderm [EMAPA:16052]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	parietal endoderm [EMAPA:16053]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	extraembryonic component cavity [EMAPA:16054]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	yolk sac cavity [EMAPA:16055]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Reichert\'s membrane [EMAPA:16057]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	extraembryonic visceral endoderm [EMAPA:16058]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ectoplacental cone [EMAPA:16059]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	body cavity or lining [EMAPA:16060]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	proamniotic cavity embryonic part [EMAPA:16061]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	embryo endoderm [EMAPA:16062]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	proamniotic cavity extraembryonic part [EMAPA:16064]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	extraembryonic ectoderm [EMAPA:16065]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	primary trophoblast giant cell [EMAPA:16066]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cytotrophoblast [EMAPA:16067]	IAO_0000115 [IAO:0000115]		
