Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	anoxic water [ENVO:01000173]	IAO_0000115 [IAO:0000115]	Water depleted of dissolved oxygen.	
ERROR	duplicate_definition	hypoxic water [ENVO:01001064]	IAO_0000115 [IAO:0000115]	Water depleted of dissolved oxygen.	
ERROR	duplicate_definition	chromodynamic energy [ENVO:2000026]	IAO_0000115 [IAO:0000115]	potential energy due to the deformation of a material (or its container) exhibiting a restorative force.	
ERROR	duplicate_definition	elastic energy [ENVO:2000027]	IAO_0000115 [IAO:0000115]	potential energy due to the deformation of a material (or its container) exhibiting a restorative force.	
ERROR	duplicate_definition	Bathymodiolus-dominated oceanic mussel reef [ENVO:01001385]	IAO_0000115 [IAO:0000115]	An oceanic mussel reef which is primarily settled by mussels of the genus Bathymodiolus and primarily composed of self-adhered or conglomerated mussel shells	
ERROR	duplicate_definition	Bathymodiolus-dominated oceanic mussel bed [ENVO:01001387]	IAO_0000115 [IAO:0000115]	An oceanic mussel reef which is primarily settled by mussels of the genus Bathymodiolus and primarily composed of self-adhered or conglomerated mussel shells	
ERROR	duplicate_definition	slightly stratified estuary [ENVO:00000224]	IAO_0000115 [IAO:0000115]	An estuary whose river output is less than the marine input. Here, turbulence causes mixing of the whole water column, such that salinity varies more longitudinally rather than vertically.	
ERROR	duplicate_definition	vertically mixed estuary [ENVO:00000227]	IAO_0000115 [IAO:0000115]	An estuary whose river output is less than the marine input. Here, turbulence causes mixing of the whole water column, such that salinity varies more longitudinally rather than vertically.	
ERROR	duplicate_definition	avalanche [ENVO:01000691]	IAO_0000115 [IAO:0000115]	An avalanche is a rapid flow of snow down a sloping surface.	
ERROR	duplicate_definition	powdery snow avalanche [ENVO:03000106]	IAO_0000115 [IAO:0000115]	An avalanche is a rapid flow of snow down a sloping surface.	
ERROR	duplicate_definition	area of attached mussel assemblages [ENVO:01001382]	IAO_0000115 [IAO:0000115]	An area which is dominated by dense accumulations of mussels attached to a substrate other than conspecifics, including the associated faunal communities and predators present on the mussels (e.g., starfish).	
ERROR	duplicate_definition	area of attached Modiolus assemblages [ENVO:01001383]	IAO_0000115 [IAO:0000115]	An area which is dominated by dense accumulations of mussels attached to a substrate other than conspecifics, including the associated faunal communities and predators present on the mussels (e.g., starfish).	
ERROR	duplicate_definition	area of evergreen forest [ENVO:01000843]	IAO_0000115 [IAO:0000115]	An area of a planet's surface which is primarily covered by a forest in which the majority of trees maintain their foliage despite seasonal change. The surfaces of this area (including the surface of the forest canopy) are in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.	
ERROR	duplicate_definition	area of mixed forest [ENVO:01000855]	IAO_0000115 [IAO:0000115]	An area of a planet's surface which is primarily covered by a forest in which the majority of trees maintain their foliage despite seasonal change. The surfaces of this area (including the surface of the forest canopy) are in contact with an atmospheric column extending from the planetary boundary layer to the planet's exosphere with little to no physical obstruction.	
ERROR	duplicate_definition	atmospheric aerosolised particle formation event [ENVO:01001359]	IAO_0000115 [IAO:0000115]	An aerosol formation event  which occurs in an atmosphere.	
ERROR	duplicate_definition	secondary atmospheric aerosol formation event [ENVO:01001373]	IAO_0000115 [IAO:0000115]	An aerosol formation event  which occurs in an atmosphere.	
ERROR	duplicate_definition	stone exterior wall [ENVO:01000495]	IAO_0000115 [IAO:0000115]	A stone exterior wall is an exterior wall that is composed primarily of rock.	
ERROR	duplicate_definition	concrete exterior wall [ENVO:01000506]	IAO_0000115 [IAO:0000115]	A stone exterior wall is an exterior wall that is composed primarily of rock.	
ERROR	duplicate_definition	cave wall [ENVO:00002144]	IAO_0000115 [IAO:0000115]	A solid surface layer which bounds part of the boundary around the cavity of a cave.	
ERROR	duplicate_definition	cave floor [ENVO:01000019]	IAO_0000115 [IAO:0000115]	A solid surface layer which bounds part of the boundary around the cavity of a cave.	
ERROR	duplicate_definition	iceberg calving process [ENVO:03000031]	IAO_0000115 [IAO:0000115]	A process during which a part of a glacier breaks away from the main mass as an iceberg.	
ERROR	duplicate_definition	calving of ice from an iceberg [ENVO:03000032]	IAO_0000115 [IAO:0000115]	A process during which a part of a glacier breaks away from the main mass as an iceberg.	
ERROR	duplicate_definition	liquid astronomical body part [ENVO:01001477]	IAO_0000115 [IAO:0000115]	A part of an astronomical body which is primarily composed of a continuous volume of liquid material, shaped by one or more environmental processes.	
ERROR	duplicate_definition	gaseous astronomical body part [ENVO:01001478]	IAO_0000115 [IAO:0000115]	A part of an astronomical body which is primarily composed of a continuous volume of liquid material, shaped by one or more environmental processes.	
ERROR	duplicate_definition	oceanic mussel bed [ENVO:01001388]	IAO_0000115 [IAO:0000115]	A mussel bed which is located in benthic regions beyond (offshore to) the continental shelf.	
