Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	electrophysiology data acquisition system [ERO:0000812]	IAO_0000115 [IAO:0000115]	An instrument used to capture and record analog inputs, digital inputs, temperature, humidity, pulse and logic signals, for electrophysiology.	
ERROR	duplicate_definition	multichannel acquisition system [ERO:0001043]	IAO_0000115 [IAO:0000115]	An instrument used to capture and record analog inputs, digital inputs, temperature, humidity, pulse and logic signals, for electrophysiology.	
ERROR	duplicate_definition	oven [ERO:0001584]	IAO_0000115 [IAO:0000115]	An instrument used for heating materials at high temperatures.	
ERROR	duplicate_definition	high temperature furnace [ERO:0001586]	IAO_0000115 [IAO:0000115]	An instrument used for heating materials at high temperatures.	
ERROR	duplicate_definition	transgenic retrovirus  [ERO:0001190]	IAO_0000115 [IAO:0000115]	A transgenic virus derived from a lentivirus that is engineered to serve as a vehicle to carry foreign genetic material, which it can transfer into cells or organisms.	
ERROR	duplicate_definition	transgenic lentivirus [ERO:0001192]	IAO_0000115 [IAO:0000115]	A transgenic virus derived from a lentivirus that is engineered to serve as a vehicle to carry foreign genetic material, which it can transfer into cells or organisms.	
ERROR	duplicate_definition	cryo-electron microscopy [ERO:0001773]	IAO_0000115 [IAO:0000115]	A form of transmission electron microscopy where the sample is studied at cryogenic temperatures (generally liquid nitrogen temperatures).	
ERROR	duplicate_definition	cryogenic electron microscopy [ERO:0001787]	IAO_0000115 [IAO:0000115]	A form of transmission electron microscopy where the sample is studied at cryogenic temperatures (generally liquid nitrogen temperatures).	
ERROR	misused_obsolete_label	obsolete_is_member_of_family [ERO:0001986]	label [rdfs:label]	obsolete_is_member_of_family@en	
ERROR	deprecated_class_reference	obsolete_cell line [ERO:0000009]	rdfs:subClassOf	immortalized fibroblast-derived cell line [ERO:0001398]	
ERROR	deprecated_class_reference	obsolete_cell line [ERO:0000009]	rdfs:subClassOf	primary cell culture [ERO:0001399]	
ERROR	missing_ontology_description	ero.owl	dc11:description		
ERROR	multiple_definitions	service provider role [ERO:0000012]	IAO_0000115 [IAO:0000115]	A role inhering in a person or organization that is realized when the bearer participates in providing a service to meet the need of another person or thing.	
ERROR	multiple_definitions	service provider role [ERO:0000012]	IAO_0000115 [IAO:0000115]	An role of an individual within his or her profession or institution; use outreach provider role for community service or other activities outside the profession.	
ERROR	multiple_definitions	has_source [ERO:0000579]	IAO_0000115 [IAO:0000115]	Organism’s source environment or clinical setting.	
ERROR	multiple_definitions	has_source [ERO:0000579]	IAO_0000115 [IAO:0000115]	Organism�s source environment or clinical setting.	
ERROR	multiple_definitions	Prokaryota [ERO:0000581]	IAO_0000115 [IAO:0000115]	The prokaryotes (pronounced /pro?'k�ri.o?ts/ or /pro?'k�ri?ts/) are a group of organisms that lack a cell nucleus (= karyon), or any other membrane-bound organelles.	
ERROR	multiple_definitions	Prokaryota [ERO:0000581]	IAO_0000115 [IAO:0000115]	The prokaryotes (pronounced /proʊˈkæri.oʊts/ or /proʊˈkæriəts/) are a group of organisms that lack a cell nucleus (= karyon), or any other membrane-bound organelles.	
ERROR	multiple_definitions	research opportunity [ERO:0000595]	IAO_0000115 [IAO:0000115]	A planned process carried out by a person or organization with the objective of performing research.	
ERROR	multiple_definitions	research opportunity [ERO:0000595]	IAO_0000115 [IAO:0000115]	An offering through an ongoing program or single request of research support: internships, positions, financial awards or other forms of tangible or intangible support	
ERROR	multiple_definitions	annexin V assay [ERO:0000686]	IAO_0000115 [IAO:0000115]	An apoptosis assay used to detect apoptosis at a very early stage. This assay takes advantage of the fact that phosphatidylserine (PS; 1?3) is translocated from the inner (cytoplasmic) leaflet of the plasma membrane to the outer (cell surface) leaflet soon after the induction of apoptosis, and that the annexin V protein has a strong, specific affinity for PS (4?6). PS on the outer leaflet is available to bind labeled annexin V, providing the basis for a simple staining assay.	
ERROR	multiple_definitions	annexin V assay [ERO:0000686]	IAO_0000115 [IAO:0000115]	An apoptosis assay used to detect apoptosis at a very early stage. This assay takes advantage of the fact that phosphatidylserine (PS; 1–3) is translocated from the inner (cytoplasmic) leaflet of the plasma membrane to the outer (cell surface) leaflet soon after the induction of apoptosis, and that the annexin V protein has a strong, specific affinity for PS (4–6). PS on the outer leaflet is available to bind labeled annexin V, providing the basis for a simple staining assay.	
ERROR	multiple_definitions	derives_from_specimen [ERO:0001065]	IAO_0000115 [IAO:0000115]	Specimen that is derived from another biological specimen, such as a DNA or protein isolate.	
ERROR	multiple_definitions	derives_from_specimen [ERO:0001065]	IAO_0000115 [IAO:0000115]	a relation between a biological resource and a biological specimen from which it is derived, such as a tissue sample, DNA or protein isolate.	
ERROR	multiple_definitions	has_diagnosis_description [ERO:0001157]	IAO_0000115 [IAO:0000115]	Diagnosis of the biological specimen sampled.	
ERROR	multiple_definitions	has_diagnosis_description [ERO:0001157]	IAO_0000115 [IAO:0000115]	Free-text description of a diagnosis made on the biological specimen sampled.	
ERROR	multiple_definitions	tumor-derived cell line [ERO:0001396]	IAO_0000115 [IAO:0000115]	A cell line that is derived from a transformed cell that was part of a malignant tumor.	
ERROR	multiple_definitions	tumor-derived cell line [ERO:0001396]	IAO_0000115 [IAO:0000115]	A transformed cell line that is derived from cells part of a malignant tumor, and is capable of forming tumors when injected into imunologically compromised organisms	
ERROR	multiple_definitions	immortal embryonic cell line [ERO:0001397]	IAO_0000115 [IAO:0000115]	A cell line derived from an embryo.	
ERROR	multiple_definitions	immortal embryonic cell line [ERO:0001397]	IAO_0000115 [IAO:0000115]	An immortalized cell line derived from an embryo.	
ERROR	multiple_definitions	stem cell-derived cell line [ERO:0001400]	IAO_0000115 [IAO:0000115]	A cell line that is derived from a stem cell.	
ERROR	multiple_definitions	stem cell-derived cell line [ERO:0001400]	IAO_0000115 [IAO:0000115]	A cell line that results from in vitro differentiation of stem cells into a more lineage-restricted cell type. 	
ERROR	multiple_definitions	hybridoma cell line [ERO:0001440]	IAO_0000115 [IAO:0000115]	A cell line that derives from a hybrid cell resulting from the fusion of a lymphocyte and a tumor cell; used to culture a specific monoclonal antibody.	
ERROR	multiple_definitions	hybridoma cell line [ERO:0001440]	IAO_0000115 [IAO:0000115]	An immortal cell line that derives from a hybrid cell resulting from the fusion of a lymphocyte and a tumor cell; used to culture a specific monoclonal antibody.	
ERROR	multiple_definitions	dual energy x-ray absorptiometry [ERO:0001587]	IAO_0000115 [IAO:0000115]	A body composition measurement tehcnique used to measure bone mineral density (BMD). Two X-ray beams with differing energy levels are aimed at the patient's bones. When soft tissue absorption is subtracted out, the BMD can be determined from the absorption of each beam by bone.	
ERROR	multiple_definitions	dual energy x-ray absorptiometry [ERO:0001587]	IAO_0000115 [IAO:0000115]	A technique used to measure bone mineral density (BMD). Two X-ray beams with differing energy levels are aimed at the patient's bones. When soft tissue absorption is subtracted out, the BMD can be determined from the absorption of each beam by bone.	
ERROR	multiple_definitions	antibody epitope mapping [ERO:0001662]	IAO_0000115 [IAO:0000115]	A protein assay used to identify the binding sites, or ?epitopes?, that are recognized by antibodies.	
ERROR	multiple_definitions	antibody epitope mapping [ERO:0001662]	IAO_0000115 [IAO:0000115]	A protein assay used to identify the binding sites, or ‘epitopes’, that are recognized by antibodies.	
ERROR	multiple_definitions	isobaric tags for relative and absolute quantitation [ERO:0001665]	IAO_0000115 [IAO:0000115]	A protein assay used to quantify proteins from different sources using isotope-coded covalent tags. iTRAQ is used in proteomics to study quantitative changes in the proteome.	
ERROR	multiple_definitions	isobaric tags for relative and absolute quantitation [ERO:0001665]	IAO_0000115 [IAO:0000115]	An isobaric labeling technique that uses stable isotope labeled molecules that can be covalent bonded to the N-terminus and side chain amines of proteins. iTRAQ is used in proteomics to study quantitative changes in the proteome.	
ERROR	multiple_definitions	metabolic phenotyping  [ERO:0001739]	IAO_0000115 [IAO:0000115]	An assay used to measure the set of metabolites in biofluids, which can reflect an individual?s health status. 	
