Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	gametocyte density by RT-PCR [EUPATH:0000527]	IAO_0000115 [IAO:0000115]	A scalar measurement datum that is about gametocyte density measured by RT-PCR.	
ERROR	duplicate_definition	Plasmodium vivax gametocyte density by RT-PCR [EUPATH:0000548]	IAO_0000115 [IAO:0000115]	A scalar measurement datum that is about gametocyte density measured by RT-PCR.	
ERROR	duplicate_definition	number of infections with P. vivax in lifetime [EUPATH:0000346]	IAO_0000115 [IAO:0000115]	A count of the total times of a person who infected with P. vivax in his lifetime.	
ERROR	duplicate_definition	number of infections with P. falciparum in lifetime [EUPATH:0000348]	IAO_0000115 [IAO:0000115]	A count of the total times of a person who infected with P. vivax in his lifetime.	
ERROR	duplicate_definition	number of infections with P. vivax in the last year [EUPATH:0000347]	IAO_0000115 [IAO:0000115]	A count of the total times of a person who infected with P. falciparum last year.	
ERROR	duplicate_definition	number of infections with P. falciparum in the last year [EUPATH:0000349]	IAO_0000115 [IAO:0000115]	A count of the total times of a person who infected with P. falciparum last year.	
ERROR	duplicate_definition	presence of Vibrio cholerae O1 by bacteriology [EUPATH:0015290]	IAO_0000115 [IAO:0000115]	a categorical measurement datum that specifies whether Vibrio cholerae O1 was detected by bacteriology	
ERROR	duplicate_definition	presence of Vibrio cholerae O1 by bacteriology [EUPATH:0015462]	IAO_0000115 [IAO:0000115]	a categorical measurement datum that specifies whether Vibrio cholerae O1 was detected by bacteriology	
ERROR	missing_ontology_description	eupath.owl	dc11:description		
ERROR	duplicate_label	subnational region relocated from within past 12 months [EUPATH:0023044]	label [rdfs:label]	subnational region relocated from within past 12 months	
ERROR	duplicate_label	subnational region relocated from within past 12 months [EUPATH:0023047]	label [rdfs:label]	subnational region relocated from within past 12 months	
ERROR	duplicate_label	presence of Vibrio cholerae O139 by bacteriology [EUPATH:0015293]	label [rdfs:label]	presence of Vibrio cholerae O139 by bacteriology	
ERROR	duplicate_label	presence of Vibrio cholerae O139 by bacteriology [EUPATH:0015463]	label [rdfs:label]	presence of Vibrio cholerae O139 by bacteriology	
ERROR	duplicate_label	presence of Vibrio cholerae O1 by bacteriology [EUPATH:0015290]	label [rdfs:label]	presence of Vibrio cholerae O1 by bacteriology	
ERROR	duplicate_label	presence of Vibrio cholerae O1 by bacteriology [EUPATH:0015462]	label [rdfs:label]	presence of Vibrio cholerae O1 by bacteriology	
ERROR	missing_ontology_title	eupath.owl	dc11:title		
WARN	annotation_whitespace	red blood cell specimen [EUPATH:0000129]	IAO_0000115 [IAO:0000115]	A processed specimen consisting of red blood cells isolated from whole blood by centrifugation. 	
WARN	duplicate_exact_synonym	presence of Vibrio cholerae O139 by bacteriology [EUPATH:0015293]	IAO_0000118 [IAO:0000118]	Vibrio cholerae O139, by bacteriology	
WARN	duplicate_exact_synonym	presence of Vibrio cholerae O139 by bacteriology [EUPATH:0015463]	IAO_0000118 [IAO:0000118]	Vibrio cholerae O139, by bacteriology	
WARN	duplicate_exact_synonym	information specifying fever self-treated in past 2 weeks [EUPATH:0021025]	IAO_0000118 [IAO:0000118]	Self-treated	
WARN	duplicate_exact_synonym	indicator of self-treated malaria [EUPATH:0021046]	IAO_0000118 [IAO:0000118]	Self-treated	
WARN	duplicate_exact_synonym	presence of Plasmodium vivax by microscopy [EUPATH:0021029]	IAO_0000118 [IAO:0000118]	Plasmodium vivax	
WARN	duplicate_exact_synonym	Plasmodium vivax diagnosis within past year [EUPATH:0021033]	IAO_0000118 [IAO:0000118]	Plasmodium vivax	
WARN	duplicate_exact_synonym	presence of Plasmodium vivax by blood sample PCR [EUPATH:0021050]	IAO_0000118 [IAO:0000118]	Plasmodium vivax	
WARN	duplicate_exact_synonym	presence of Plasmodium vivax by falcivax [EUPATH:0021054]	IAO_0000118 [IAO:0000118]	Plasmodium vivax	
WARN	duplicate_exact_synonym	presence of Plasmodium malariae by microscopy [EUPATH:0021030]	IAO_0000118 [IAO:0000118]	Plasmodium malariae	
WARN	duplicate_exact_synonym	information on Plasmodium malariae diagnosis within past year [EUPATH:0021034]	IAO_0000118 [IAO:0000118]	Plasmodium malariae	
WARN	duplicate_exact_synonym	presence of Plasmodium malariae by blood sample PCR [EUPATH:0021051]	IAO_0000118 [IAO:0000118]	Plasmodium malariae	
WARN	duplicate_exact_synonym	presence of Plasmodium falciparum by microscopy [EUPATH:0021028]	IAO_0000118 [IAO:0000118]	Plasmodium falciparum	
WARN	duplicate_exact_synonym	Plasmodium falciparum diagnosis within past year [EUPATH:0021032]	IAO_0000118 [IAO:0000118]	Plasmodium falciparum	
WARN	duplicate_exact_synonym	presence of Plasmodium falciparum by blood sample PCR [EUPATH:0021049]	IAO_0000118 [IAO:0000118]	Plasmodium falciparum	
WARN	duplicate_exact_synonym	presence of Plasmodium falciparum by falcivax [EUPATH:0021053]	IAO_0000118 [IAO:0000118]	Plasmodium falciparum	
WARN	duplicate_exact_synonym	presence of Plasmodium falciparum by optimal-IT [EUPATH:0021057]	IAO_0000118 [IAO:0000118]	Plasmodium falciparum	
WARN	duplicate_exact_synonym	no Plasmodium by microscopy [EUPATH:0021027]	IAO_0000118 [IAO:0000118]	Negative	
WARN	duplicate_exact_synonym	no Plasmodium by blood sample PCR [EUPATH:0021048]	IAO_0000118 [IAO:0000118]	Negative	
WARN	duplicate_exact_synonym	no presence of Plasmodium by falcivax [EUPATH:0021055]	IAO_0000118 [IAO:0000118]	Negative	
WARN	duplicate_exact_synonym	no Plasmodium by optimal-IT [EUPATH:0021059]	IAO_0000118 [IAO:0000118]	Negative	
WARN	duplicate_exact_synonym	forgot which Plasmodium species in diagnosis within past year [EUPATH:0021035]	IAO_0000118 [IAO:0000118]	Can't remember	
WARN	duplicate_exact_synonym	forgot which antimalarial in most recent treatment [EUPATH:0021038]	IAO_0000118 [IAO:0000118]	Can't remember	
WARN	duplicate_exact_synonym	forgot where treatment within past year occurred [EUPATH:0021047]	IAO_0000118 [IAO:0000118]	Can't remember	
WARN	duplicate_exact_synonym	forgot whether used personal mosquito repellent [EUPATH:0021066]	IAO_0000118 [IAO:0000118]	Can't remember	
WARN	duplicate_exact_synonym	no knowledge of insecticide spraying in last 12 months [EUPATH:0021073]	IAO_0000118 [IAO:0000118]	Can't remember	
WARN	missing_definition	material may be used for [EUPATH:0000005]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	symptom or sign of [EUPATH:0000044]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Amazonia data dictionary label (es) [EUPATH:0000263]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Amazonia preferred label (en) [EUPATH:0000264]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Amazonia preferred label (es) [EUPATH:0000265]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ontological label [EUPATH:0000266]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	PRISM data dictionary label (en) [EUPATH:0000267]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	PRISM preferred label (en) [EUPATH:0000268]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Amazonia description [EUPATH:0000269]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	PRISM description [EUPATH:0000270]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	term type [EUPATH:0000271]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	resource ID [EUPATH:0000272]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ontological definition [EUPATH:0000273]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Indian data dictionary label (en) [EUPATH:0000329]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Indian preferred label (en) [EUPATH:0000330]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Indian description [EUPATH:0000331]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Amazonia data dictionary label (en) [EUPATH:0000332]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	NLST Clade of organism [EUPATH:0000574]	IAO_0000115 [IAO:0000115]		
INFO	lowercase_definition	number of rooms for sleeping in a dwelling [EUPATH:0000025]	IAO_0000115 [IAO:0000115]	number of rooms in a dwelling that are used for sleeping.	
INFO	lowercase_definition	land area measured in acres [EUPATH:0000026]	IAO_0000115 [IAO:0000115]	land area measured in acres: a scalar measurement datum of land measured in acres that may be of a particular type such as land owned by a household.	
INFO	lowercase_definition	frequency of not satisfying food needs [EUPATH:0000029]	IAO_0000115 [IAO:0000115]	how often problems satisfying food needs in a household	
INFO	lowercase_definition	diagnosis of malaria [EUPATH:0000036]	IAO_0000115 [IAO:0000115]	a diagnosis that is an assertion that a patient, who is the subject of a diagnostic process, has malaria@en	
INFO	lowercase_definition	severe malaria [EUPATH:0000045]	IAO_0000115 [IAO:0000115]	a malaria characterized by serious organ failures or abnormalities including cerebral malaria, severe anemia, generalized convulsions, hypoglycemia, respiratory distress, fluid and electrolyte disturbances, acute renal failure, ARDS, circulatory collapse, abnormal bleeding, and jaundice.@en	
INFO	lowercase_definition	human participant under investigation [EUPATH:0000051]	IAO_0000115 [IAO:0000115]	a human being who bears a participant under investigation role@en	
INFO	lowercase_definition	febrile [EUPATH:0000097]	IAO_0000115 [IAO:0000115]	elevated temperature or subjective fever	
INFO	lowercase_definition	elevated temperature [EUPATH:0000101]	IAO_0000115 [IAO:0000115]	a febrile quality of an abnormally high temperature@en	
INFO	lowercase_definition	participant under investigation [EUPATH:0000104]	IAO_0000115 [IAO:0000115]	an organism that is the bearer of a partipant under investigation role@en	
INFO	lowercase_definition	EuPathDB definition [EUPATH:0000112]	IAO_0000115 [IAO:0000115]	definition shown on EuPathDB website	
INFO	lowercase_definition	drinking water from open public well [EUPATH:0000254]	IAO_0000115 [IAO:0000115]	drinking water that is obtained from a publicly accessible water well without a constructed barrier built around it to limit movement of waste or runoff into it@en	
INFO	lowercase_definition	drinking water from open well in yard [EUPATH:0000255]	IAO_0000115 [IAO:0000115]	drinking water that is obtained from a water well with a constructed barrier built around it to limit movement of waste or runoff into the well and the well is located in the yard of a dwelling@en	
INFO	lowercase_definition	drinking water from pipe into dwelling [EUPATH:0000256]	IAO_0000115 [IAO:0000115]	drinking water accessed through a plumbing fixture located inside a human dwelling@en	
INFO	lowercase_definition	drinking water from pipe into yard [EUPATH:0000257]	IAO_0000115 [IAO:0000115]	drinking water obtained through a plumbing fixture located in the yard of a human dwelling	
INFO	lowercase_definition	drinking water from unprotected freshwater spring [EUPATH:0000261]	IAO_0000115 [IAO:0000115]	drinking water that is obtained from a freshwater spring without a constructed barrier built around it that would limit movement of waste or runoff into it@en	
INFO	lowercase_definition	parasite clearance half life [EUPATH:0000276]	IAO_0000115 [IAO:0000115]	half life datum (t 1/2) for cleaning parasite	
INFO	lowercase_definition	parasite clearance rate [EUPATH:0000277]	IAO_0000115 [IAO:0000115]	a rate measurement datum that represents the number of parasite organisms removed from the bearer of a host role by means of the biological processes of the bearer of the host role@en	
INFO	lowercase_definition	parasite clearance time [EUPATH:0000278]	IAO_0000115 [IAO:0000115]	a time measurement datum that is the result of measuring the time it takes for the biological processes of the bearer of a host role to remove parasite organisms within it, until such time as the organisms cannot be detected@en	
INFO	lowercase_definition	parasitemia start time [EUPATH:0000290]	IAO_0000115 [IAO:0000115]	a time measurement datum that represents the beginning of the first process in which a parasitemia is realized@en	
INFO	lowercase_definition	treatment outcome information [EUPATH:0000291]	IAO_0000115 [IAO:0000115]	an information content entity that describes the success, failure, or indeterminacy of a treatment@en	
INFO	lowercase_definition	information on dwelling facilities [EUPATH:0000302]	IAO_0000115 [IAO:0000115]	an information content entity that is about a process in which a human being occupying a dwelling participates. It either specifies the bearer of the function that is realized in the process, or it specifies that the process does not occur in the dwelling or its yard.@en	
INFO	lowercase_definition	information on dwelling physical characteristics [EUPATH:0000303]	IAO_0000115 [IAO:0000115]	a information content entity that is about a part of a dwelling@en	
INFO	lowercase_definition	socioeconomic factor [EUPATH:0000304]	IAO_0000115 [IAO:0000115]	an information content entity that is about a household and is an estimator of capabilities of household members to participate in processes that maintain their health, social status, and economic freedom@en	
INFO	lowercase_definition	aggregated clinical visit information [EUPATH:0000305]	IAO_0000115 [IAO:0000115]	a data item that is about an investigation and is the specified output of a data transformation that has only clinical visit data as input@en	
INFO	lowercase_definition	human genotype information [EUPATH:0000306]	IAO_0000115 [IAO:0000115]	a genotype information that is about the genetic material of a human being@en	
INFO	lowercase_definition	information on participant study details [EUPATH:0000307]	IAO_0000115 [IAO:0000115]	an information content entity that is about a part of a study design execution that is part of an investigation under which a human being is a participant@en	
INFO	lowercase_definition	hospitalization information [EUPATH:0000308]	IAO_0000115 [IAO:0000115]	an information content entity that is about a part of a health care encounter that occurs in a hospital facility@en	
INFO	lowercase_definition	symptom or sign information [EUPATH:0000309]	IAO_0000115 [IAO:0000115]	an information content entity that is about a sign or symptom of a patient@en	
INFO	lowercase_definition	information on observation details [EUPATH:0000310]	IAO_0000115 [IAO:0000115]	an information content entity that is about a clinical visit@en	
INFO	lowercase_definition	clinical visit type information [EUPATH:0000311]	IAO_0000115 [IAO:0000115]	an information content entity that specifies whether a clinical visit is scheduled or unscheduled@en	
INFO	lowercase_definition	aggregated entomological data item [EUPATH:0000312]	IAO_0000115 [IAO:0000115]	an entomological data item that results from either (a) counting insect collections from multiple catches of live specimens or (b) an averaging data transformation that has single catch entomological measurement data as input@en	
INFO	lowercase_definition	single catch entomological measurement datum [EUPATH:0000313]	IAO_0000115 [IAO:0000115]	an entomological data item that is the specified output of an assay that has a collection of insect specimens as specified input; this collection is the specified output of exactly one catch of live specimens@en	
INFO	lowercase_definition	scheduled clinical visit [EUPATH:0000314]	IAO_0000115 [IAO:0000115]	a clinical visit that realizes the concretization of a protocol specifying the time of the visit@en	
