Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	fix.owl	dc11:description		
ERROR	duplicate_label	total correlated spectroscopy [FIX:0000133]	label [rdfs:label]	total correlated spectroscopy	
ERROR	duplicate_label	total correlated spectroscopy [FIX:0000556]	label [rdfs:label]	total correlated spectroscopy	
ERROR	duplicate_label	HN(CA)NNH experiment [FIX:0000559]	label [rdfs:label]	HN(CA)NNH experiment	
ERROR	duplicate_label	HN(CA)NNH experiment [FIX:0000575]	label [rdfs:label]	HN(CA)NNH experiment	
ERROR	duplicate_label	HA[CAN]HN experiment [FIX:0000546]	label [rdfs:label]	HA[CAN]HN experiment	
ERROR	duplicate_label	HA[CAN]HN experiment [FIX:0000576]	label [rdfs:label]	HA[CAN]HN experiment	
ERROR	duplicate_label	3D TOCSY-NOESY [FIX:0000146]	label [rdfs:label]	3D TOCSY-NOESY	
ERROR	duplicate_label	3D TOCSY-NOESY [FIX:0000193]	label [rdfs:label]	3D TOCSY-NOESY	
ERROR	missing_ontology_license	fix.owl	dc:license		
ERROR	missing_ontology_title	fix.owl	dc11:title		
WARN	missing_definition	biophysical chemistry [FIX:0000000]	IAO:0000115		
WARN	missing_definition	physical method [FIX:0000001]	IAO:0000115		
WARN	missing_definition	separation method [FIX:0000002]	IAO:0000115		
WARN	missing_definition	spectroscopy [FIX:0000003]	IAO:0000115		
WARN	missing_definition	crystallography [FIX:0000004]	IAO:0000115		
WARN	missing_definition	microscopy [FIX:0000005]	IAO:0000115		
WARN	missing_definition	electroanalytical method by electrode type [FIX:0000006]	IAO:0000115		
WARN	missing_definition	X-ray crystallography [FIX:0000007]	IAO:0000115		
WARN	missing_definition	neutron crystallography [FIX:0000008]	IAO:0000115		
WARN	missing_definition	electron crystallography [FIX:0000009]	IAO:0000115		
WARN	missing_definition	vibrational spectroscopy [FIX:0000010]	IAO:0000115		
WARN	missing_definition	molecular electronic absorption spectroscopy [FIX:0000011]	IAO:0000115		
WARN	missing_definition	magnetic resonance spectroscopy [FIX:0000012]	IAO:0000115		
WARN	missing_definition	electromagnetic spectroscopy [FIX:0000013]	IAO:0000115		
WARN	missing_definition	optical spectroscopy [FIX:0000014]	IAO:0000115		
WARN	missing_definition	infrared spectroscopy [FIX:0000015]	IAO:0000115		
WARN	missing_definition	ultraviolet/visible spectroscopy [FIX:0000016]	IAO:0000115		
WARN	missing_definition	radio-frequency spectroscopy [FIX:0000017]	IAO:0000115		
WARN	missing_definition	microwave spectroscopy [FIX:0000018]	IAO:0000115		
WARN	missing_definition	X-ray spectroscopy [FIX:0000019]	IAO:0000115		
WARN	missing_definition	absorption spectroscopy [FIX:0000020]	IAO:0000115		
WARN	missing_definition	emission spectroscopy [FIX:0000021]	IAO:0000115		
