Level	Rule Name	Subject	Property	Value
ERROR	deprecated_class_reference	stipel persistence [FLOPO:0900057]	rdfs:subClassOf	stipel persistent [FLOPO:0900058]	
ERROR	missing_ontology_description	flopo.owl	dc11:description		
ERROR	missing_ontology_license	flopo.owl	dc:license		
ERROR	missing_ontology_title	flopo.owl	dc11:title		
WARN	missing_definition	flora phenotype [FLOPO:0000000]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	stem phenotype [FLOPO:0000001]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	stem branched [FLOPO:0000002]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	stem branchiness [FLOPO:0000003]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	leaf phenotype [FLOPO:0000004]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	leaf lanceolate [FLOPO:0000005]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	leaf sharpness [FLOPO:0000006]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	leaf tendril phenotype [FLOPO:0000007]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	leaf tendril bifurcated [FLOPO:0000008]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	leaf tendril branchiness [FLOPO:0000009]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bark phenotype [FLOPO:0000010]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bark broken [FLOPO:0000011]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bark wholeness [FLOPO:0000012]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	petal phenotype [FLOPO:0000013]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	petal linear [FLOPO:0000014]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	petal shape [FLOPO:0000015]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	shoot apex phenotype [FLOPO:0000016]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	shoot apex glabrous [FLOPO:0000017]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	shoot apex pilosity [FLOPO:0000018]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	corolla phenotype [FLOPO:0000019]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	corolla glabrous [FLOPO:0000020]	IAO_0000115 [IAO:0000115]		
