Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	chinese box thorn plant [FOODON:03413411]	IAO_0000115 [IAO:0000115]	Wolfberry, commercially called goji berry, is the common name for the fruit of two very closely related species: *Lycium barbarum* and *Lycium chinense*, two species of boxthorn in the family *Solanaceae* (which also includes the potato, tomato, eggplant, deadly nightshade, chili pepper, and tobacco). It is native to southeastern Europe and Asia.@en	
ERROR	duplicate_definition	wolfberry plant [FOODON:03414197]	IAO_0000115 [IAO:0000115]	Wolfberry, commercially called goji berry, is the common name for the fruit of two very closely related species: *Lycium barbarum* and *Lycium chinense*, two species of boxthorn in the family *Solanaceae* (which also includes the potato, tomato, eggplant, deadly nightshade, chili pepper, and tobacco). It is native to southeastern Europe and Asia.@en	
ERROR	duplicate_definition	Williams bon chrétien pear plant [FOODON:00002842]	IAO_0000115 [IAO:0000115]	The Williams' bon chrétien pear, commonly called the Williams pear or the Bartlett pear in the United States and Canada, is the most commonly grown variety of pear in most countries outside Asia.@en	
ERROR	duplicate_definition	Williams bon chrétien pear [FOODON:00002843]	IAO_0000115 [IAO:0000115]	The Williams' bon chrétien pear, commonly called the Williams pear or the Bartlett pear in the United States and Canada, is the most commonly grown variety of pear in most countries outside Asia.@en	
ERROR	duplicate_definition	pseudomonadales [FOODON:03412847]	IAO_0000115 [IAO:0000115]	The Prokaryotes, 2d ed., 1992, v.III, p.2940.@en	
ERROR	duplicate_definition	eubacteriales [FOODON:03412848]	IAO_0000115 [IAO:0000115]	The Prokaryotes, 2d ed., 1992, v.III, p.2940.@en	
ERROR	duplicate_definition	swine food product [FOODON:00001132]	IAO_0000115 [IAO:0000115]	Suidae is a family of artiodactyl mammals which are commonly called pigs, hogs or boars. In addition to numerous fossil species, 17 extant species are currently recognized (or 18 counting domestic pigs and wild boars separately), classified into between four and eight genera. The family includes the domestic pig, Sus scrofa domesticus or Sus domesticus, in addition to numerous species of wild pig, such as babirusas and warthogs. All suids, or swine, are native to the Old World, ranging from Asia to Europe and Africa.@en	
ERROR	duplicate_definition	swine [FOODON:03411136]	IAO_0000115 [IAO:0000115]	Suidae is a family of artiodactyl mammals which are commonly called pigs, hogs or boars. In addition to numerous fossil species, 17 extant species are currently recognized (or 18 counting domestic pigs and wild boars separately), classified into between four and eight genera. The family includes the domestic pig, Sus scrofa domesticus or Sus domesticus, in addition to numerous species of wild pig, such as babirusas and warthogs. All suids, or swine, are native to the Old World, ranging from Asia to Europe and Africa.@en	
ERROR	duplicate_definition	stone pine nut food product [FOODON:00002280]	IAO_0000115 [IAO:0000115]	Stone pine nut food product is a pine nut product made from the stone pine (Pinus pinea), which has been cultivated for its nuts for over 5,000 years.@en	
ERROR	duplicate_definition	Colorado pinyon pine nut food product [FOODON:00003116]	IAO_0000115 [IAO:0000115]	Stone pine nut food product is a pine nut product made from the stone pine (Pinus pinea), which has been cultivated for its nuts for over 5,000 years.@en	
ERROR	duplicate_definition	gull [FOODON:03413503]	IAO_0000115 [IAO:0000115]	See also Wikipedia .@en	
ERROR	duplicate_definition	plover [FOODON:03413504]	IAO_0000115 [IAO:0000115]	See also Wikipedia .@en	
ERROR	duplicate_definition	food allergen labelling about cereals containing gluten and products thereof [FOODON:03510214]	IAO_0000115 [IAO:0000115]	Regulated by Directive 2003/89/EC of the European Parliament and of the Council of 10 November 2003 amending Directive 2000/13/EC as regards indication of the ingredients present in foodstuffs.@en	
ERROR	duplicate_definition	food allergen labelling about crustaceans and products thereof [FOODON:03510215]	IAO_0000115 [IAO:0000115]	Regulated by Directive 2003/89/EC of the European Parliament and of the Council of 10 November 2003 amending Directive 2000/13/EC as regards indication of the ingredients present in foodstuffs.@en	
ERROR	duplicate_definition	food allergen labelling about eggs and products thereof [FOODON:03510216]	IAO_0000115 [IAO:0000115]	Regulated by Directive 2003/89/EC of the European Parliament and of the Council of 10 November 2003 amending Directive 2000/13/EC as regards indication of the ingredients present in foodstuffs.@en	
ERROR	duplicate_definition	food allergen labelling about fish and products thereof [FOODON:03510217]	IAO_0000115 [IAO:0000115]	Regulated by Directive 2003/89/EC of the European Parliament and of the Council of 10 November 2003 amending Directive 2000/13/EC as regards indication of the ingredients present in foodstuffs.@en	
ERROR	duplicate_definition	food allergen labelling about peanuts and products thereof [FOODON:03510218]	IAO_0000115 [IAO:0000115]	Regulated by Directive 2003/89/EC of the European Parliament and of the Council of 10 November 2003 amending Directive 2000/13/EC as regards indication of the ingredients present in foodstuffs.@en	
ERROR	duplicate_definition	food allergen labelling about soybeans and products thereof [FOODON:03510219]	IAO_0000115 [IAO:0000115]	Regulated by Directive 2003/89/EC of the European Parliament and of the Council of 10 November 2003 amending Directive 2000/13/EC as regards indication of the ingredients present in foodstuffs.@en	
ERROR	duplicate_definition	food allergen labelling about milk and products thereof, including lactose [FOODON:03510220]	IAO_0000115 [IAO:0000115]	Regulated by Directive 2003/89/EC of the European Parliament and of the Council of 10 November 2003 amending Directive 2000/13/EC as regards indication of the ingredients present in foodstuffs.@en	
ERROR	duplicate_definition	food allergen labelling about nuts and products thereof [FOODON:03510221]	IAO_0000115 [IAO:0000115]	Regulated by Directive 2003/89/EC of the European Parliament and of the Council of 10 November 2003 amending Directive 2000/13/EC as regards indication of the ingredients present in foodstuffs.@en	
ERROR	duplicate_definition	food allergen labelling about celery and products thereof [FOODON:03510222]	IAO_0000115 [IAO:0000115]	Regulated by Directive 2003/89/EC of the European Parliament and of the Council of 10 November 2003 amending Directive 2000/13/EC as regards indication of the ingredients present in foodstuffs.@en	
ERROR	duplicate_definition	food allergen labelling about mustard and products thereof [FOODON:03510223]	IAO_0000115 [IAO:0000115]	Regulated by Directive 2003/89/EC of the European Parliament and of the Council of 10 November 2003 amending Directive 2000/13/EC as regards indication of the ingredients present in foodstuffs.@en	
ERROR	duplicate_definition	food allergen labelling about sesame seeds and products thereof [FOODON:03510224]	IAO_0000115 [IAO:0000115]	Regulated by Directive 2003/89/EC of the European Parliament and of the Council of 10 November 2003 amending Directive 2000/13/EC as regards indication of the ingredients present in foodstuffs.@en	
ERROR	duplicate_definition	noa mai [FOODON:00001317]	IAO_0000115 [IAO:0000115]	Pickled bamboo shoots@en	
ERROR	duplicate_definition	noa mai dong [FOODON:00001318]	IAO_0000115 [IAO:0000115]	Pickled bamboo shoots@en	
ERROR	duplicate_definition	organic outdoor/open-air production growing condition [FOODON:03530210]	IAO_0000115 [IAO:0000115]	Organic: grown with only animal or vegetable fertilisers, as manure, bone meal, compost, etc. (Source: Webster's).        Foods produced in accordance with Council Regulation (EC) No 834/2007    of 28 June 2007 on organic production and labelling of organic products and repealing Regulation (EEC) No 2092/91. [http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2007:189:0001:0023:EN:PDF]@en	
ERROR	duplicate_definition	organic growing condition [FOODON:03530253]	IAO_0000115 [IAO:0000115]	Organic: grown with only animal or vegetable fertilisers, as manure, bone meal, compost, etc. (Source: Webster's).        Foods produced in accordance with Council Regulation (EC) No 834/2007    of 28 June 2007 on organic production and labelling of organic products and repealing Regulation (EEC) No 2092/91. [http://eur-lex.europa.eu/LexUriServ/LexUriServ.do?uri=OJ:L:2007:189:0001:0023:EN:PDF]@en	
ERROR	duplicate_definition	10005800 - pork - unprepared/unprocessed (gs1 gpc) [FOODON:03401676]	IAO_0000115 [IAO:0000115]	Includes products from animals of the genus Sus that have not been subjected to any further manufacturing process such as being cooked, dried, cured, ground, or reformed.     Includes products may be sliced, diced, or mechanically tenderised.    Excludes Pork @en	
