Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	fypo.owl	dc11:description		
ERROR	missing_ontology_license	fypo.owl	dc:license		
ERROR	missing_ontology_title	fypo.owl	dc11:title		
WARN	duplicate_exact_synonym	decreased protein localization to prospore membrane [FYPO:0004442]	hasExactSynonym [oboInOwl:hasExactSynonym]	reduced protein localization to prospore membrane	
WARN	duplicate_exact_synonym	decreased protein localization to ascospore wall [FYPO:0005133]	hasExactSynonym [oboInOwl:hasExactSynonym]	reduced protein localization to prospore membrane	
WARN	duplicate_exact_synonym	increased phosphatidylinositol-3,4,5-trisphosphate level in plasma membrane [FYPO:0006624]	hasExactSynonym [oboInOwl:hasExactSynonym]	increased plasma membrane phosphatidylinositol-3,4,5-trisphosphate level	
WARN	duplicate_exact_synonym	increased phosphatidylinositol-4,5-bisphosphate level in plasma membrane [FYPO:0006626]	hasExactSynonym [oboInOwl:hasExactSynonym]	increased plasma membrane phosphatidylinositol-3,4,5-trisphosphate level	
WARN	duplicate_exact_synonym	increased phosphatidylinositol-3,4,5-trisphosphate level in plasma membrane [FYPO:0006624]	hasExactSynonym [oboInOwl:hasExactSynonym]	increased phosphatidylinositol-3,4,5-trisphosphate level in cell membrane	
WARN	duplicate_exact_synonym	increased phosphatidylinositol-4,5-bisphosphate level in plasma membrane [FYPO:0006626]	hasExactSynonym [oboInOwl:hasExactSynonym]	increased phosphatidylinositol-3,4,5-trisphosphate level in cell membrane	
WARN	duplicate_exact_synonym	delayed onset of stress granule assembly [FYPO:0002349]	hasExactSynonym [oboInOwl:hasExactSynonym]	delayed onset of cytoplasmic stress granule assembly	
WARN	duplicate_exact_synonym	delayed onset of stress granule disassembly [FYPO:0002352]	hasExactSynonym [oboInOwl:hasExactSynonym]	delayed onset of cytoplasmic stress granule assembly	
WARN	duplicate_exact_synonym	decreased level of ubiquitinated protein in cell [FYPO:0005226]	hasExactSynonym [oboInOwl:hasExactSynonym]	decreased ubiquitinated protein level during vegetative growth	
WARN	duplicate_exact_synonym	decreased filamentous actin level [FYPO:0005476]	hasExactSynonym [oboInOwl:hasExactSynonym]	decreased ubiquitinated protein level during vegetative growth	
WARN	duplicate_exact_synonym	abnormal kinetochore disassembly during meiotic prophase I [FYPO:0006770]	hasExactSynonym [oboInOwl:hasExactSynonym]	abnormal kinetochore disassembly during prophase of meiosis I	
WARN	duplicate_exact_synonym	spindle collapse during meiosis I [FYPO:0007103]	hasExactSynonym [oboInOwl:hasExactSynonym]	abnormal kinetochore disassembly during prophase of meiosis I	
WARN	missing_obsolete_label	invasive growth abolished [FYPO:0000048]	label [rdfs:label]	invasive growth abolished	
WARN	missing_obsolete_label	resistance to drug [FYPO:0000074]	label [rdfs:label]	resistance to drug	
WARN	missing_obsolete_label	clumped colony morphology [FYPO:0000153]	label [rdfs:label]	clumped colony morphology	
WARN	missing_obsolete_label	abnormal regulation of S phase of mitotic cell cycle [FYPO:0000192]	label [rdfs:label]	abnormal regulation of S phase of mitotic cell cycle	
WARN	missing_obsolete_label	abnormal cellular response to drug [FYPO:0000211]	label [rdfs:label]	abnormal cellular response to drug	
WARN	missing_obsolete_label	transcription regulation phenotype, adaptive response to loss of mtDNA [FYPO:0000221]	label [rdfs:label]	transcription regulation phenotype, adaptive response to loss of mtDNA	
WARN	missing_obsolete_label	genome stability defects [FYPO:0000241]	label [rdfs:label]	genome stability defects	
WARN	missing_obsolete_label	normal phenotype during exponential phase [FYPO:0000258]	label [rdfs:label]	normal phenotype during exponential phase	
WARN	missing_obsolete_label	pleiotropic effects [FYPO:0000261]	label [rdfs:label]	pleiotropic effects	
