Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	test drug minimum concentration [GENEPIO:0002101]	IAO_0000115 [IAO:0000115]	This is the minimum concentration of a drug applied during an an assay.@en	
ERROR	duplicate_definition	test drug minimum concentration specification [GENEPIO:0002170]	IAO_0000115 [IAO:0000115]	This is the minimum concentration of a drug applied during an an assay.@en	
ERROR	duplicate_definition	antimicrobial resistance testing method version or reagent [GENEPIO:0002047]	IAO_0000115 [IAO:0000115]	The commercial kit or product used to determine the MIC e.g. E-Test. If a commercial product was not used, include the type of media used.@en	
ERROR	duplicate_definition	tube containing media or preservative [GENEPIO:0002120]	IAO_0000600 [IAO:0000600]	NOTE: there are different types of tubes with coloured caps indicating different preservatives etc.@en	
ERROR	duplicate_definition	tube containing antimicrobial [GENEPIO:0002121]	IAO_0000600 [IAO:0000600]	NOTE: there are different types of tubes with coloured caps indicating different preservatives etc.@en	
ERROR	duplicate_definition	specimen extraction location - city or region [GENEPIO:0000117]	IAO_0000600 [IAO:0000600]	Note that this is expressed in a particular format in some standards.@en	
ERROR	duplicate_definition	specimen extraction location - state/province/territory/region [GENEPIO:0002097]	IAO_0000600 [IAO:0000600]	Note that this is expressed in a particular format in some standards.@en	
ERROR	duplicate_definition	subject disease [GENEPIO:0001617]	IAO_0000115 [IAO:0000115]	Name of disease in a subject that is related to a given investigation, study and/or specimen.@en	
ERROR	duplicate_definition	subject disease specification [GENEPIO:0002165]	IAO_0000115 [IAO:0000115]	Name of disease in a subject that is related to a given investigation, study and/or specimen.@en	
ERROR	duplicate_definition	Stx1 cell culture level [GENEPIO:0000057]	IAO_0000115 [IAO:0000115]	level of stx toxin derived tissue culture toxicity	
ERROR	duplicate_definition	Stx2 cell culture level [GENEPIO:0000059]	IAO_0000115 [IAO:0000115]	level of stx toxin derived tissue culture toxicity	
ERROR	duplicate_definition	contig L50 [GENEPIO:0001633]	IAO_0000115 [IAO:0000115]	Contig L50 is the number of contigs equal to or longer than contig N50. The length of the assembly itself is used in the calculation.@en	
ERROR	duplicate_definition	contig LG50 [GENEPIO:0001773]	IAO_0000115 [IAO:0000115]	Contig L50 is the number of contigs equal to or longer than contig N50. The length of the assembly itself is used in the calculation.@en	
ERROR	duplicate_definition	travel destination [GENEPIO:0001783]	IAO_0000115 [IAO:0000115]	A travel destination is a destination city (or populated place of some scale) which a given human has travelled to on a particular trip.@en	
ERROR	duplicate_definition	travel destination specification [GENEPIO:0002173]	IAO_0000115 [IAO:0000115]	A travel destination is a destination city (or populated place of some scale) which a given human has travelled to on a particular trip.@en	
ERROR	duplicate_definition	subject age [GENEPIO:0001610]	IAO_0000115 [IAO:0000115]	A subject age is the age since birth of a given organism that is involved in an investigation or study at a given time.@en	
ERROR	duplicate_definition	subject age specification [GENEPIO:0002156]	IAO_0000115 [IAO:0000115]	A subject age is the age since birth of a given organism that is involved in an investigation or study at a given time.@en	
ERROR	duplicate_definition	specimen source substance [GENEPIO:0000134]	IAO_0000115 [IAO:0000115]	A specimen source substance is an organism substance or food product or environmental substance from which the specimen was extracted.@en	
ERROR	duplicate_definition	specimen source substance specification [GENEPIO:0002174]	IAO_0000115 [IAO:0000115]	A specimen source substance is an organism substance or food product or environmental substance from which the specimen was extracted.@en	
ERROR	duplicate_definition	specimen extraction location - city or region [GENEPIO:0000117]	IAO_0000115 [IAO:0000115]	A specimen extraction location - city or region is the Gazetteer ontology identifier or textual name of the most precise geographical location available for the site of a specimen extraction event.@en	
