Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	has_qualifying_environment [GENO:0000847]	IAO_0000115 [IAO:0000115]	A relation used to describe  an environment contextualizing the identity of an entity.	
ERROR	duplicate_definition	microsatellite alteration [GENO:0000873]	IAO_0000115 [IAO:0000115]	A relation used to describe  an environment contextualizing the identity of an entity.	
ERROR	duplicate_definition	has_qualifying_process [GENO:0000846]	IAO_0000115 [IAO:0000115]	A relation used to describe  a process contextualizing the identity of an entity.	
ERROR	duplicate_definition	repeat region alteration [GENO:0000874]	IAO_0000115 [IAO:0000115]	A relation used to describe  a process contextualizing the identity of an entity.	
ERROR	duplicate_definition	intrinsic genotype [GENO:0000719]	IAO_0000115 [IAO:0000115]	A genotype that describes the total variation in heritable genomic sequence of a cell or organism, typically in terms of alterations from some reference or background genotype.	
ERROR	duplicate_definition	genomic genotype [GENO:0000899]	IAO_0000115 [IAO:0000115]	A genotype that describes the total variation in heritable genomic sequence of a cell or organism, typically in terms of alterations from some reference or background genotype.	
ERROR	misused_obsolete_label	obsolete_sequence feature collection [GENO:0000019]	label [rdfs:label]	obsolete_sequence feature collection	
ERROR	misused_obsolete_label	obsolete_genomic feature collection [GENO:0000022]	label [rdfs:label]	obsolete_genomic feature collection	
ERROR	misused_obsolete_label	obsolete_reference single locus complement [GENO:0000029]	label [rdfs:label]	obsolete_reference single locus complement	
ERROR	misused_obsolete_label	obsolete_unspecified feature [GENO:0000037]	label [rdfs:label]	obsolete_unspecified feature	
ERROR	misused_obsolete_label	obsolete_reference junction [GENO:0000042]	label [rdfs:label]	obsolete_reference junction	
ERROR	misused_obsolete_label	obsolete_reference gene allele [GENO:0000060]	label [rdfs:label]	obsolete_reference gene allele	
ERROR	misused_obsolete_label	obsolete_experimental insertion [GENO:0000091]	label [rdfs:label]	obsolete_experimental insertion	
ERROR	misused_obsolete_label	obsolete_sequence feature collection attribute [GENO:0000125]	label [rdfs:label]	obsolete_sequence feature collection attribute	
ERROR	misused_obsolete_label	obsolete_dominant inheritance [GENO:0000142]	label [rdfs:label]	obsolete_dominant inheritance	
ERROR	misused_obsolete_label	obsolete_autosomal recessive inheritance [GENO:0000150]	label [rdfs:label]	obsolete_autosomal recessive inheritance	
ERROR	misused_obsolete_label	obsolete_specifies [GENO:0000242]	label [rdfs:label]	obsolete_specifies	
ERROR	misused_obsolete_label	obsolete_approximates_sequence [GENO:0000243]	label [rdfs:label]	obsolete_approximates_sequence	
ERROR	misused_obsolete_label	obsolete_resolves_to_sequence [GENO:0000244]	label [rdfs:label]	obsolete_resolves_to_sequence	
ERROR	misused_obsolete_label	obsolete_is_specified_by [GENO:0000253]	label [rdfs:label]	obsolete_is_specified_by	
ERROR	misused_obsolete_label	obsolete_chromosome complement [GENO:0000324]	label [rdfs:label]	obsolete_chromosome complement	
ERROR	misused_obsolete_label	obsolete_is_phenotype_of_genotype [GENO:0000359]	label [rdfs:label]	obsolete_is_phenotype_of_genotype	
ERROR	misused_obsolete_label	obsolete_participates_in_inheritance_process [GENO:0000368]	label [rdfs:label]	obsolete_participates_in_inheritance_process	
ERROR	misused_obsolete_label	obsolete_is_genetic_variant_of [GENO:0000410]	label [rdfs:label]	obsolete_is_genetic_variant_of	
ERROR	misused_obsolete_label	obsolete_has_genetic_variant [GENO:0000411]	label [rdfs:label]	obsolete_has_genetic_variant	
ERROR	misused_obsolete_label	obsolete_reagent sequence feature [GENO:0000415]	label [rdfs:label]	obsolete_reagent sequence feature	
ERROR	misused_obsolete_label	obsolete_is_variant_with [GENO:0000486]	label [rdfs:label]	obsolete_is_variant_with@en	
ERROR	misused_obsolete_label	obsolete_is_expression_variant_with [GENO:0000488]	label [rdfs:label]	obsolete_is_expression_variant_with@en	
ERROR	misused_obsolete_label	obsolete_mutant allele [GENO:0000491]	label [rdfs:label]	obsolete_mutant allele	
ERROR	misused_obsolete_label	obsolete_null feature [GENO:0000680]	label [rdfs:label]	obsolete_null feature@en	
ERROR	misused_obsolete_label	ObsoleteDataProperty [GENO:0000712]	label [rdfs:label]	ObsoleteDataProperty@en	
ERROR	misused_obsolete_label	obsolete_biological sequence or collection [GENO:0000724]	label [rdfs:label]	obsolete_biological sequence or collection@en	
ERROR	misused_obsolete_label	obsolete_biological sequence collection [GENO:0000725]	label [rdfs:label]	obsolete_biological sequence collection@en	
ERROR	misused_obsolete_label	obsolete_has_regulatory_part [GENO:0000741]	label [rdfs:label]	obsolete_has_regulatory_part@en	
ERROR	misused_obsolete_label	obsolete_is_alteration_within [GENO:0000742]	label [rdfs:label]	obsolete_is_alteration_within@en	
ERROR	misused_obsolete_label	obsolete_has_position_component [GENO:0000767]	label [rdfs:label]	obsolete_has_position_component@en	
