Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	http://purl.obolibrary.org/obo/hancestro/hancestro.owl	dc11:description		
ERROR	missing_ontology_license	http://purl.obolibrary.org/obo/hancestro/hancestro.owl	dc:license		
ERROR	missing_ontology_title	http://purl.obolibrary.org/obo/hancestro/hancestro.owl	dc11:title		
WARN	missing_definition	Japanese [HANCESTRO:0019]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Taiwanese [HANCESTRO:0020]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Chinese [HANCESTRO:0021]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Korean [HANCESTRO:0022]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Mongolian [HANCESTRO:0023]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Macanese [HANCESTRO:0024]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Singaporean Chinese [HANCESTRO:0025]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Hong Kong Chinese [HANCESTRO:0026]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Han Chinese [HANCESTRO:0027]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Africa [HANCESTRO:0029]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Asia [HANCESTRO:0030]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Europe [HANCESTRO:0031]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Oceania [HANCESTRO:0032]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Latin America and the Caribbean [HANCESTRO:0033]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Northern America [HANCESTRO:0034]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Eastern Africa [HANCESTRO:0035]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Middle Africa [HANCESTRO:0036]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Northern Africa [HANCESTRO:0037]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Southern Africa [HANCESTRO:0038]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Western Africa [HANCESTRO:0039]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	South-Central Asia [HANCESTRO:0041]	IAO_0000115 [IAO:0000115]		
