Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	adult [HAO:0000087]	IAO_0000115 [IAO:0000115]	.	
ERROR	duplicate_definition	egg [HAO:0000286]	IAO_0000115 [IAO:0000115]	.	
ERROR	duplicate_definition	larva [HAO:0000459]	IAO_0000115 [IAO:0000115]	.	
ERROR	duplicate_definition	prepupa [HAO:0000812]	IAO_0000115 [IAO:0000115]	.	
ERROR	duplicate_definition	pupa [HAO:0000886]	IAO_0000115 [IAO:0000115]	.	
ERROR	deprecated_class_reference	region [HAO:0000893]	rdfs:subClassOf	T7+8 [HAO:0002476]	
ERROR	deprecated_class_reference	region [HAO:0000893]	rdfs:subClassOf	mola [HAO:0002480]	
ERROR	missing_ontology_description	hao.owl	dc11:description		
ERROR	duplicate_label	width [HAO:0002308]	label [rdfs:label]	width	
ERROR	duplicate_label	width [HAO:0002375]	label [rdfs:label]	width	
ERROR	duplicate_label	velum [HAO:0001053]	label [rdfs:label]	velum	
ERROR	duplicate_label	velum [HAO:0002140]	label [rdfs:label]	velum	
ERROR	duplicate_label	thorax [HAO:0001015]	label [rdfs:label]	thorax	
ERROR	duplicate_label	thorax [HAO:0001970]	label [rdfs:label]	thorax	
ERROR	duplicate_label	T9 [HAO:0000075]	label [rdfs:label]	T9	
ERROR	duplicate_label	T9 [HAO:0002059]	label [rdfs:label]	T9	
ERROR	duplicate_label	T9 [HAO:0002186]	label [rdfs:label]	T9	
ERROR	duplicate_label	syntergum [HAO:0000987]	label [rdfs:label]	syntergum	
ERROR	duplicate_label	syntergum [HAO:0001508]	label [rdfs:label]	syntergum	
ERROR	duplicate_label	subantennal groove [HAO:0000965]	label [rdfs:label]	subantennal groove	
ERROR	duplicate_label	subantennal groove [HAO:0001220]	label [rdfs:label]	subantennal groove	
ERROR	duplicate_label	sternite [HAO:0000955]	label [rdfs:label]	sternite	
ERROR	duplicate_label	sternite [HAO:0002065]	label [rdfs:label]	sternite	
ERROR	duplicate_label	speculum [HAO:0000944]	label [rdfs:label]	speculum	
ERROR	duplicate_label	speculum [HAO:0001667]	label [rdfs:label]	speculum	
ERROR	duplicate_label	salivarial orifice [HAO:0000905]	label [rdfs:label]	salivarial orifice	
ERROR	duplicate_label	salivarial orifice [HAO:0001683]	label [rdfs:label]	salivarial orifice	
ERROR	duplicate_label	propodeum [HAO:0001248]	label [rdfs:label]	propodeum	
