Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	hom.owl	dc11:description		
ERROR	missing_ontology_license	hom.owl	dc:license		
ERROR	missing_ontology_title	hom.owl	dc11:title		
WARN	annotation_whitespace	many to many homology [HOM:0000036]	hasExactSynonym [oboInOwl:hasExactSynonym]	many:many homology 	
WARN	invalid_xref	protein structural homology [HOM:0000015]	hasDbXref [oboInOwl:hasDbXref]	MeSH:Structural Homology, Protein	
WARN	invalid_xref	chromosomal homology [HOM:0000047]	hasDbXref [oboInOwl:hasDbXref]	MeSH:Chromosome Pairing	
WARN	missing_obsolete_label	allogeny [HOM:0000021]	label [rdfs:label]	allogeny	
INFO	lowercase_definition	pro-orthology [HOM:0000025]	IAO_0000115 [IAO:0000115]	1:many orthology that involves a gene in species A and one of its ortholog in species B, when duplications more recent than the species split have occurred in species B but not in species A.	
INFO	lowercase_definition	semi-orthology [HOM:0000026]	IAO_0000115 [IAO:0000115]	1:many orthology that involves a gene in species A and its ortholog in species B, when duplications more recent than the species split have occurred in species A but not in species B.	
INFO	missing_superclass	inferred from similarity [HOM:0000000]	rdfs:subClassOf		
