Level	Rule Name	Subject	Property	Value
ERROR	misused_obsolete_label	obsolete synonym [HP:0031859]	label [rdfs:label]	obsolete synonym	
WARN	duplicate_exact_synonym	Autistic behavior [HP:0000729]	hasExactSynonym [oboInOwl:hasExactSynonym]	ASD	
WARN	duplicate_exact_synonym	Atrial septal defect [HP:0001631]	hasExactSynonym [oboInOwl:hasExactSynonym]	ASD	
WARN	missing_definition	All [HP:0000001]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Functional abnormality of male internal genitalia [HP:0000025]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Abnormality of the penis [HP:0000036]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Abnormality of the scrotum [HP:0000045]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Scrotal hypoplasia [HP:0000046]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Hypoplastic labia minora [HP:0000064]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Labial hypertrophy [HP:0000065]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Labial hypoplasia [HP:0000066]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Gonadal dysgenesis [HP:0000133]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Decreased fertility [HP:0000144]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Transverse vaginal septum [HP:0000145]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Polycystic ovaries [HP:0000147]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Movement abnormality of the tongue [HP:0000182]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Difficulty in tongue movements [HP:0000183]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Broad alveolar ridges [HP:0000187]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Absence of Stensen duct [HP:0000198]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Tongue nodules [HP:0000199]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Broad secondary alveolar ridge [HP:0000216]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Abnormality of taste sensation [HP:0000223]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Decreased taste sensation [HP:0000224]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Mastoiditis [HP:0000265]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Facial grimacing [HP:0000273]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Facial edema [HP:0000282]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Abnormality of facial adipose tissue [HP:0000291]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Abnormality of the orbital region [HP:0000315]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Bird-like facies [HP:0000320]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Abnormality of periauricular region [HP:0000383]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Slender nose [HP:0000417]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Abnormality of the nasal mucosa [HP:0000433]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Pear-shaped nose [HP:0000447]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Triangular nasal tip [HP:0000451]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Flared nostrils [HP:0000454]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Limited neck range of motion [HP:0000466]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Globe retraction and deviation on abduction [HP:0000497]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Corneal crystals [HP:0000531]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Cone/cone-rod dystrophy [HP:0000548]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Corneal scarring [HP:0000559]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Punctate corneal epithelial erosions [HP:0000584]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Periorbital wrinkles [HP:0000607]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Abnormal retinal artery morphology [HP:0000630]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Abnormal amplitude of pattern reversal visual evoked potentials [HP:0000650]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Eyelid apraxia [HP:0000658]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Palpebral fissure narrowing on adduction [HP:0000661]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Inappropriate behavior [HP:0000719]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Lack of spontaneous play [HP:0000721]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Psychotic episodes [HP:0000725]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Frontal lobe dementia [HP:0000727]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Impaired ability to form peer relationships [HP:0000728]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Inflexible adherence to routines or rituals [HP:0000732]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Irritability [HP:0000737]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Apathy [HP:0000741]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Self-mutilation [HP:0000742]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Inappropriate laughter [HP:0000748]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Paroxysmal bursts of laughter [HP:0000749]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Autism with high cognitive abilities [HP:0000753]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Lack of insight [HP:0000757]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Primary amenorrhea [HP:0000786]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Infertility [HP:0000789]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Cystic renal dysplasia [HP:0000800]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Glandular hypospadias [HP:0000807]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Abnormal external genitalia [HP:0000811]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Adrenocortical abnormality [HP:0000849]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Neonatal insulin-dependent diabetes mellitus [HP:0000857]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Menstrual irregularities [HP:0000858]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Euthyroid multinodular goiter [HP:0000866]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Decreased fertility in females [HP:0000868]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Secondary amenorrhea [HP:0000869]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Episodic hypertension [HP:0000875]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Insulin-resistant diabetes mellitus at puberty [HP:0000877]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Prominent sternum [HP:0000884]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Cervical ribs [HP:0000891]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Wide-cupped costochondral junctions [HP:0000910]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Elevated imprint of the transverse sinuses [HP:0000930]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Thinning and bulging of the posterior fossa bones [HP:0000931]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Posterior fossa cyst at the fourth ventricle [HP:0000933]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Short diaphyses [HP:0000941]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Dysostosis multiplex [HP:0000943]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Eczematoid dermatitis [HP:0000976]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Abnormality of subcutaneous fat tissue [HP:0001001]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Dermatological manifestations of systemic disorders [HP:0001005]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Accumulation of melanosomes in melanocytes [HP:0001008]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Skin dimple over apex of long bone angulation [HP:0001024]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Penetrating foot ulcers [HP:0001026]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Facial flushing after alcohol intake [HP:0001033]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Warfarin-induced skin necrosis [HP:0001038]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Atheroeruptive xanthoma [HP:0001039]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Multiple pterygia [HP:0001040]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	High axial triradius [HP:0001042]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Prominent scalp veins [HP:0001043]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Vitiligo [HP:0001045]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Absent dorsal skin creases over affected joints [HP:0001049]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Plethora [HP:0001050]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Hypopigmented skin patches [HP:0001053]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Numerous nevi [HP:0001054]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Acrocyanosis [HP:0001063]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Angiokeratoma corporis diffusum [HP:0001071]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Atypical nevi in non-sun exposed areas [HP:0001074]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Glabellar hemangioma [HP:0001076]	IAO_0000115 [IAO:0000115]		
