Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	is allocated id range [IAO:0000603]	definition [IAO:0000115]	Add as annotation triples in the granting ontology@en	
ERROR	duplicate_definition	term replaced by [IAO:0100001]	definition [IAO:0000115]	Add as annotation triples in the granting ontology@en	
ERROR	missing_ontology_description	iao.owl	dc11:description		
ERROR	multiple_definitions	definition [IAO:0000115]	definition [IAO:0000115]	The official OBI definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions.@en	
ERROR	multiple_definitions	definition [IAO:0000115]	definition [IAO:0000115]	The official definition, explaining the meaning of a class or property. Shall be Aristotelian, formalized and normalized. Can be augmented with colloquial definitions.@en	
ERROR	multiple_definitions	is allocated id range [IAO:0000603]	definition [IAO:0000115]	Add as annotation triples in the granting ontology@en	
ERROR	multiple_definitions	is allocated id range [IAO:0000603]	definition [IAO:0000115]	Relates an ontology IRI to an (inclusive) range of IRIs in an OBO name space. The range is give as, e.g. \"IAO_0020000-IAO_0020999\"@en	
ERROR	multiple_definitions	term replaced by [IAO:0100001]	definition [IAO:0000115]	Add as annotation triples in the granting ontology@en	
ERROR	multiple_definitions	term replaced by [IAO:0100001]	definition [IAO:0000115]	Use on obsolete terms, relating the term to another term that can be used as a substitute@en	
ERROR	missing_ontology_license	iao.owl	dc:license		
ERROR	missing_ontology_title	iao.owl	dc11:title		
ERROR	multiple_labels	editor preferred label [IAO:0000111]	label [rdfs:label]	editor preferred label	
ERROR	multiple_labels	editor preferred label [IAO:0000111]	label [rdfs:label]	editor preferred label@en	
ERROR	multiple_labels	editor preferred label [IAO:0000111]	label [rdfs:label]	editor preferred term	
ERROR	multiple_labels	editor preferred label [IAO:0000111]	label [rdfs:label]	editor preferred term@en	
ERROR	multiple_labels	editor preferred label [IAO:0000111]	label [rdfs:label]	editor preferred term~editor preferred label	
ERROR	multiple_labels	definition [IAO:0000115]	label [rdfs:label]	definition	
ERROR	multiple_labels	definition [IAO:0000115]	label [rdfs:label]	definition@en	
ERROR	multiple_labels	definition [IAO:0000115]	label [rdfs:label]	textual definition	
