Level	Rule Name	Subject	Property	Value
ERROR	missing_label	CARO_0000000 [CARO:0000000]	label [rdfs:label]		
ERROR	missing_ontology_description	ido.owl	dc11:description		
ERROR	duplicate_label	_obsolete_invasin [IDO:0000042]	label [rdfs:label]	_obsolete_invasin@en	
ERROR	duplicate_label	_obsolete_invasin [IDO:0000574]	label [rdfs:label]	_obsolete_invasin@en	
ERROR	missing_ontology_license	ido.owl	dc:license		
ERROR	missing_ontology_title	ido.owl	dc11:title		
WARN	annotation_whitespace	symbiont host role [IDO:0000408]	IAO_0000115 [IAO:0000115]	A host role borne by an organism in virtue of the fact that its extended organism contains a second organism and provides an environment supportive for the survival, growth, maturation, or reproduction of that organism.  @en	
WARN	annotation_whitespace	definitive host role [IDO:0000409]	IAO_0000115 [IAO:0000115]	A symbiont host role borne by an organism in virtue of the fact that its partner in symbiosis reaches developmental maturity or reproduces sexually in the host.  @en	
WARN	annotation_whitespace	paratenic host role [IDO:0000411]	IAO_0000115 [IAO:0000115]	A symbiont host role borne by an organism in virtue of the fact that its partner in symbiosis utilizes the host to undergo a developmental stage transition, but the host is not required for continuation of the partner's life cycle. @en	
WARN	annotation_whitespace	infectious agent transporter role [IDO:0000417]	IAO_0000115 [IAO:0000115]	A role borne by a material entity in virtue of the fact that an infectious agent is located in or on the entity and the entity has the capability to transfer (either actively or passively) the infectious agent from one location to another. @en	
WARN	annotation_whitespace	disinfectant role [IDO:0000432]	IAO_0000115 [IAO:0000115]	A role borne by a material entity in virtue of the fact that it has an antimicrobial disposition and is applied to a non-living entity.  @en	
WARN	annotation_whitespace	antiseptic role [IDO:0000433]	IAO_0000115 [IAO:0000115]	A role borne by a material entity in virtue of the fact that it has an antimicrobial disposition and is applied to an anatomical entity of a living organism.  @en	
WARN	annotation_whitespace	collective disposition [IDO:0000455]	IAO_0000115 [IAO:0000115]	A disposition that inheres in a collection of entities in virtue of the individual dispositions of the constituents of that collection. @en	
