Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	Phosphorylation of IKK complex by MEKK3 in cytosol [IEV:0000782]	IAO_0000115 [IAO:0000115]	TNFR1 signaling	
ERROR	duplicate_definition	Phosphorylation of MKK4/7 by ASK1 in cytosol [IEV:0000811]	IAO_0000115 [IAO:0000115]	TNFR1 signaling	
ERROR	duplicate_definition	Rhodopsin mediated signaling pathway [IEV:0000121]	IAO_0000115 [IAO:0000115]	The series of molecular signals generated as a consequence of excitation of rhodopsin by a photon.	
ERROR	duplicate_definition	Heterotrimeric GPCR signaling pathway (through photon, rhodopsin, G alpha t and cGMP PDE) [IEV:0000723]	IAO_0000115 [IAO:0000115]	The series of molecular signals generated as a consequence of excitation of rhodopsin by a photon.	
ERROR	duplicate_definition	Farnesylation [IEV:0000919]	IAO_0000115 [IAO:0000115]	Reversible reaction that can affect C residue.	
ERROR	duplicate_definition	Geranylgeranylation [IEV:0000920]	IAO_0000115 [IAO:0000115]	Reversible reaction that can affect C residue.	
ERROR	duplicate_definition	Myristoylation [IEV:0000222]	IAO_0000115 [IAO:0000115]	Reaction that can affect K or G residues.	
ERROR	duplicate_definition	Formylation [IEV:0002674]	IAO_0000115 [IAO:0000115]	Reaction that can affect K or G residues.	
ERROR	duplicate_definition	Autocleavage and cholesterol modification of Hedgehog in ER [IEV:0003779]	IAO_0000115 [IAO:0000115]	It is further processed by internal cleavage to generate a 19-kDa N-terminal fragment (N-Hh) and a 25-kDa C-terminal fragment (C-Hh) with the concomitant addition of cholesterol at the C-terminus of N-Hh (N-Hhchol). 	
ERROR	duplicate_definition	Hedgehog cleavage and lipidation [IEV:0003780]	IAO_0000115 [IAO:0000115]	It is further processed by internal cleavage to generate a 19-kDa N-terminal fragment (N-Hh) and a 25-kDa C-terminal fragment (C-Hh) with the concomitant addition of cholesterol at the C-terminus of N-Hh (N-Hhchol). 	
ERROR	duplicate_definition	Phosphorylation of transcriptional regulator by MAPK_p in inner space of nucleus [IEV:0000479]	IAO_0000115 [IAO:0000115]	Dually phosphorylated MAPK, or dpERK, phosphorylates protein targets in both the cytoplasm and nucleus.	
ERROR	duplicate_definition	Phosphorylation of transcriptional regulator by MAPK_p in cytosol [IEV:0003702]	IAO_0000115 [IAO:0000115]	Dually phosphorylated MAPK, or dpERK, phosphorylates protein targets in both the cytoplasm and nucleus.	
ERROR	duplicate_definition	Activation of c-Raf1 by PKC beta in cytosol [IEV:0001354]	IAO_0000115 [IAO:0000115]	cPKCs (a and b1) have the potential to activate c-Raf1 in vivo while at the same time blocking further activation by growth factors and other PKC isotypes.	
ERROR	duplicate_definition	Activation of c-Raf1 by PKC alpha in cytosol [IEV:0001361]	IAO_0000115 [IAO:0000115]	cPKCs (a and b1) have the potential to activate c-Raf1 in vivo while at the same time blocking further activation by growth factors and other PKC isotypes.	
ERROR	duplicate_definition	Phosphorylation of RKIP by PKC in cytosol [IEV:0001357]	IAO_0000115 [IAO:0000115]	Classic and atypical but not novel PKC isoforms phosphorylate RKIP at serine 153 (Ser-153).	
ERROR	duplicate_definition	Phosphorylation of RKIP by cPKC in cytosol [IEV:0001359]	IAO_0000115 [IAO:0000115]	Classic and atypical but not novel PKC isoforms phosphorylate RKIP at serine 153 (Ser-153).	
ERROR	duplicate_definition	Phosphorylation of RKIP by aPKC in cytosol [IEV:0001360]	IAO_0000115 [IAO:0000115]	Classic and atypical but not novel PKC isoforms phosphorylate RKIP at serine 153 (Ser-153).	
ERROR	missing_ontology_description	iev.owl	dc11:description		
ERROR	missing_ontology_license	iev.owl	dc:license		
ERROR	missing_ontology_title	iev.owl	dc11:title		
WARN	annotation_whitespace	Binding of p21 and Cdk2 in inner space of nucleus [IEV:0001091]	IAO_0000115 [IAO:0000115]	 May be the important intermediate by which p53 mediates its role as an inhibitor of cellular proliferation in response to DNA damage. May bind to and inhibit cyclin-dependent kinase activity, preventing phosphorylation of critical cyclin-dependent kinase substrates and blocking cell cycle progression.	
WARN	annotation_whitespace	Binding of GADD45 and PCNA in cytosol [IEV:0001092]	IAO_0000115 [IAO:0000115]	 Binds to proliferating cell nuclear antigen. Might affect PCNA interaction with some CDK (cell division protein kinase) complexes; stimulates DNA excision repair in vitro and inhibits entry of cells into S phase.	
WARN	annotation_whitespace	Dephosphorylation Cdc2 by Cdc25C in cytosol [IEV:0001134]	IAO_0000115 [IAO:0000115]	 Functions as a dosage-dependent inducer in mitotic control. It is a tyrosine protein phosphatase required for progression of the cell cycle. It directly dephosphorylates CDC2 and activate its kinase activity.    CATALYTIC ACTIVITY: Protein tyrosine phosphate + H2O = protein tyrosine + phosphate.	
WARN	annotation_whitespace	Cell morphogenesis [IEV:0001325]	IAO_0000115 [IAO:0000115]	The developmental process by which the size or shape of a cell is generated and organized. Morphogenesis pertains to the creation of form. 	
WARN	annotation_whitespace	Amino acid derivative metabolism [IEV:0001557]	IAO_0000115 [IAO:0000115]	The chemical reactions and pathways involving compounds derived from amino acids, organic acids containing one or more amino substituents. 	
WARN	annotation_whitespace	suppression expression alteration [IEV:0002684]	IAO_0000115 [IAO:0000115]	An altered expression is the suppressor of a phenotype.    OBSOLETE: remap to CV intraction type 'suppressive interaction' MI:0796 and genetic experimental form 'expression level alteration' MI:0803. 	
WARN	annotation_whitespace	suppression overexpression [IEV:0002685]	IAO_0000115 [IAO:0000115]	Overexpression is the suppressor of a phenotpe.    OBSOLETE: remap to CV intraction type 'suppressive interaction' MI:0796 and genetic experimental form 'over expressed' MI:0506. 	
WARN	annotation_whitespace	suppression underexpression [IEV:0002686]	IAO_0000115 [IAO:0000115]	Underexpression is the suppressor of a phenotype.    OBSOLETE: remap to CV intraction type 'suppressive interaction' MI:0796 and genetic experimental form 'under expressed' MI:0223. 	
WARN	annotation_whitespace	suppression mutation [IEV:0002687]	IAO_0000115 [IAO:0000115]	a given (suppressed) mutation phenotype is reverted by a supressor gene mutation.    OBSOLETE: remap to CV intraction type 'suppressive interaction' MI:0796 and genetic experimental form 'mutated gene' MI:0804. 	
WARN	annotation_whitespace	suppression knockout [IEV:0002688]	IAO_0000115 [IAO:0000115]	Knocked out gene is the suppressor of a phenotype.    OBSOLETE: remap to CV intraction type 'suppressive interaction' MI:0796 and genetic experimental form 'knock out' MI:0788. 	
WARN	annotation_whitespace	suppression partial alteration [IEV:0002689]	IAO_0000115 [IAO:0000115]	A mutation is the partial suppressor of a mutant phenotype.    OBSOLETE: remap to CV intraction type 'suppressive interaction' MI:0796 and genetic experimental form 'knock down' MI:0789. 	
WARN	annotation_whitespace	suppression scalable [IEV:0002694]	IAO_0000115 [IAO:0000115]	Level of over/underexpression scales the 'extend' of a phenotype.    OBSOLETE: remap to CV intraction type 'suppressive interaction' MI:0796 and genetic experimental form 'expression level alteration' MI:0803. 	
WARN	annotation_whitespace	Multicellular organismal development [IEV:0003745]	IAO_0000115 [IAO:0000115]	The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult). 	
WARN	annotation_whitespace	Autocleavage and cholesterol modification of Hedgehog in ER [IEV:0003779]	IAO_0000115 [IAO:0000115]	It is further processed by internal cleavage to generate a 19-kDa N-terminal fragment (N-Hh) and a 25-kDa C-terminal fragment (C-Hh) with the concomitant addition of cholesterol at the C-terminus of N-Hh (N-Hhchol). 	
