Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	Q6Q7I9_DROME [IMR:0002994]	IAO_0000115 [IAO:0000115]	ths and pyr are two closely linked genes with homology to the FGF8/17/18 subfamily in vertebrates.	
ERROR	duplicate_definition	B9ZW35_DROME [IMR:0002995]	IAO_0000115 [IAO:0000115]	ths and pyr are two closely linked genes with homology to the FGF8/17/18 subfamily in vertebrates.	
ERROR	duplicate_definition	FGFR2_DROME [IMR:0002991]	IAO_0000115 [IAO:0000115]	The Drosophila genome includes two homologues of vertebrate FGF-R genes, DFR1and DFR2.	
ERROR	duplicate_definition	FGFR1_DROME [IMR:0002992]	IAO_0000115 [IAO:0000115]	The Drosophila genome includes two homologues of vertebrate FGF-R genes, DFR1and DFR2.	
ERROR	duplicate_definition	CD80 [IMR:0000811]	IAO_0000115 [IAO:0000115]	B7.1 (CD80) and B7.2 (CD86) - the two structurally homologous ligands of CD28 - are expressed by professional antigen-presenting cells (APCs), such as dendritic cells (DCs), macrophages and activated B cells, belong to the immunoglobulin superfamily and might exist as dimers and monomers, respectively.	
ERROR	duplicate_definition	CD86 [IMR:0000812]	IAO_0000115 [IAO:0000115]	B7.1 (CD80) and B7.2 (CD86) - the two structurally homologous ligands of CD28 - are expressed by professional antigen-presenting cells (APCs), such as dendritic cells (DCs), macrophages and activated B cells, belong to the immunoglobulin superfamily and might exist as dimers and monomers, respectively.	
ERROR	duplicate_definition	CD80/CD86 [IMR:0002950]	IAO_0000115 [IAO:0000115]	B7.1 (CD80) and B7.2 (CD86) - the two structurally homologous ligands of CD28 - are expressed by professional antigen-presenting cells (APCs), such as dendritic cells (DCs), macrophages and activated B cells, belong to the immunoglobulin superfamily and might exist as dimers and monomers, respectively.	
ERROR	duplicate_definition	follicle stimulating hormone [IMR:0100099]	IAO_0000115 [IAO:0000115]	A major gonadotropin secreted by the adenohypophysis ( PITUITARY GLAND, ANTERIOR). Follicle-stimulating hormone stimulates GAMETOGENESIS and the supporting cells such as the ovarian GRANULOSA CELLS, the testicular SERTOLI CELLS, and LEYDIG CELLS. FSH consists of two noncovalently linked subunits, alpha and beta. Within a species, the alpha subunit is common in the three pituitary glycoprotein hormones (TSH, LH, and FSH), but the beta subunit is unique and confers its biological specificity.	
ERROR	duplicate_definition	luteinizing hormone [IMR:0100100]	IAO_0000115 [IAO:0000115]	A major gonadotropin secreted by the adenohypophysis ( PITUITARY GLAND, ANTERIOR). Follicle-stimulating hormone stimulates GAMETOGENESIS and the supporting cells such as the ovarian GRANULOSA CELLS, the testicular SERTOLI CELLS, and LEYDIG CELLS. FSH consists of two noncovalently linked subunits, alpha and beta. Within a species, the alpha subunit is common in the three pituitary glycoprotein hormones (TSH, LH, and FSH), but the beta subunit is unique and confers its biological specificity.	
ERROR	misused_obsolete_label	obsolete [IMR:0001199]	label [rdfs:label]	obsolete	
