Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	positive regulation of transcription by binding to promoter [INO:0000072]	IAO_0000115 [IAO:0000115]	a regulation of transcription by binding to promoter that is further classified as a positive regulation	
ERROR	duplicate_definition	negative regulation of transcription by binding to promoter [INO:0000074]	IAO_0000115 [IAO:0000115]	a regulation of transcription by binding to promoter that is further classified as a positive regulation	
ERROR	duplicate_definition	negative regulation of gene transcription [INO:0000042]	IAO_0000115 [IAO:0000115]	a negative regulation process that down-regulates gene expression level	
ERROR	duplicate_definition	gene expression down-regulation [INO:0000095]	IAO_0000115 [IAO:0000115]	a negative regulation process that down-regulates gene expression level	
ERROR	misused_obsolete_label	obsolete class [INO:0000159]	label [rdfs:label]	obsolete class@en	
ERROR	duplicate_label	macrophage-pathogen interaction [INO:0000109]	label [rdfs:label]	macrophage-pathogen interaction@en	
ERROR	duplicate_label	macrophage-pathogen interaction [INO:0000146]	label [rdfs:label]	macrophage-pathogen interaction@en	
ERROR	missing_ontology_license	ino.owl	dc:license		
WARN	annotation_whitespace	interaction [INO:0000002]	IAO_0000115 [IAO:0000115]	Interaction is a processual entity that has two or more participants (i.e., interactors) that have an effect upon one another. @en	
WARN	annotation_whitespace	pathway [INO:0000003]	IAO_0000115 [IAO:0000115]	an interaction network that includes at least two interactions and has a start point(s) and an end point(s). 	
WARN	annotation_whitespace	has literature mining keywords [INO:0000006]	IAO_0000115 [IAO:0000115]	an annotation property that lists keyword(s) useful for literature tagging and retrieval of sentences containing the type (or kind) of entity (e.g., interaction) as shown by the ontology term label and definition. 	
WARN	annotation_whitespace	edge [INO:0000014]	IAO_0000115 [IAO:0000115]	an edge is an object that represents a graphic line that links two interactors in an interaction. 	
WARN	annotation_whitespace	organism-organism interaction [INO:0000018]	IAO_0000115 [IAO:0000115]	a biological interaction that occurs in the organism level. 	
WARN	annotation_whitespace	organism-organism interaction [INO:0000018]	IAO_0000116 [IAO:0000116]	Examples: a bacterium interacts with a mouse, a cat interacts with a dog 	
WARN	annotation_whitespace	two-way interaction [INO:0000019]	IAO_0000115 [IAO:0000115]	A two-way interaction is an interaction that includes two different directions among two interactors. 	
WARN	annotation_whitespace	activation [INO:0000024]	IAO_0000115 [IAO:0000115]	a positive regulation that one interactor activates another. 	
WARN	annotation_whitespace	gene-enviroment interaction [INO:0000030]	IAO_0000115 [IAO:0000115]	an interaction that involves a gene and its environment (e.g., calcium in blood). 	
WARN	annotation_whitespace	attenuation [INO:0000033]	IAO_0000115 [IAO:0000115]	a negative regulation that attenuates the virulence of a pathogenic microbe. 	
WARN	annotation_whitespace	autophosphorylation [INO:0000035]	IAO_0000115 [IAO:0000115]	a phosphorylation process that adds a phosphate to a protein kinase (possibly affecting its activity) by virtue of its own enzymic activity. 	
WARN	annotation_whitespace	protein translation [INO:0000045]	IAO_0000115 [IAO:0000115]	a gene expression process that results in protein production from a gene DNA sequence. 	
WARN	annotation_whitespace	competition [INO:0000050]	IAO_0000115 [IAO:0000115]	an indirect association that one interactor competes with another interactor in a specfiic process. 	
WARN	annotation_whitespace	downexpression [INO:0000056]	IAO_0000115 [IAO:0000115]	a gene expression that has decreased volume. 	
WARN	annotation_whitespace	conversion [INO:0000058]	IAO_0000115 [IAO:0000115]	a direct physical association that one interactor is converted from another interactor. 	
WARN	annotation_whitespace	cooperation [INO:0000059]	IAO_0000115 [IAO:0000115]	an indirect association that one interactor cooperates with another interactor in a specfiic process. 	
WARN	annotation_whitespace	correlation [INO:0000061]	IAO_0000115 [IAO:0000115]	an indirect association that two interactors are correlated in a process without defined influence of each other. 	
WARN	annotation_whitespace	negative regulation [INO:0000068]	IAO_0000115 [IAO:0000115]	a regulation in which one interactor has a negative effect on another interactor 	
WARN	annotation_whitespace	negative regulation [INO:0000068]	IAO_0000116 [IAO:0000116]	YH: different types of negative regulations exist. These types are related to different qualities and phenotyes of regulated targets. 	
WARN	annotation_whitespace	decrease [INO:0000073]	IAO_0000115 [IAO:0000115]	a negative regulation that results in the decrease of one interactor volume. 	
