Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	ma.owl	dc11:description		
ERROR	missing_ontology_license	ma.owl	dc:license		
ERROR	missing_ontology_title	ma.owl	dc11:title		
WARN	missing_definition	mouse anatomical entity [MA:0000001]	IAO:0000115		
WARN	missing_definition	spinal cord grey matter [MA:0000002]	IAO:0000115		
WARN	missing_definition	organ system [MA:0000003]	IAO:0000115		
WARN	missing_definition	trunk [MA:0000004]	IAO:0000115		
WARN	missing_definition	body cavity or lining [MA:0000005]	IAO:0000115		
WARN	missing_definition	head and neck [MA:0000006]	IAO:0000115		
WARN	missing_definition	limb [MA:0000007]	IAO:0000115		
WARN	missing_definition	tail [MA:0000008]	IAO:0000115		
WARN	missing_definition	adipose tissue [MA:0000009]	IAO:0000115		
WARN	missing_definition	cardiovascular system [MA:0000010]	IAO:0000115		
WARN	missing_definition	connective tissue [MA:0000011]	IAO:0000115		
WARN	missing_definition	endocrine system [MA:0000012]	IAO:0000115		
WARN	missing_definition	hemolymphoid system [MA:0000013]	IAO:0000115		
WARN	missing_definition	integumental system [MA:0000014]	IAO:0000115		
WARN	missing_definition	muscle organ [MA:0000015]	IAO:0000115		
WARN	missing_definition	nervous system [MA:0000016]	IAO:0000115		
WARN	missing_definition	sensory organ [MA:0000017]	IAO:0000115		
WARN	missing_definition	skeletal system [MA:0000018]	IAO:0000115		
WARN	missing_definition	visceral organ system [MA:0000019]	IAO:0000115		
WARN	missing_definition	back of trunk [MA:0000020]	IAO:0000115		
WARN	missing_definition	abdominal segment of trunk [MA:0000021]	IAO:0000115		
WARN	missing_definition	thoracic segment of trunk [MA:0000022]	IAO:0000115		
WARN	missing_definition	head [MA:0000023]	IAO:0000115		
WARN	missing_definition	neck [MA:0000024]	IAO:0000115		
WARN	missing_definition	forelimb [MA:0000025]	IAO:0000115		
WARN	missing_definition	hindlimb [MA:0000026]	IAO:0000115		
WARN	missing_definition	lower back [MA:0000027]	IAO:0000115		
WARN	missing_definition	upper back [MA:0000028]	IAO:0000115		
WARN	missing_definition	abdomen [MA:0000029]	IAO:0000115		
WARN	missing_definition	pelvis [MA:0000030]	IAO:0000115		
WARN	missing_definition	chest [MA:0000031]	IAO:0000115		
WARN	missing_definition	thoracic cavity [MA:0000032]	IAO:0000115		
WARN	missing_definition	arm [MA:0000033]	IAO:0000115		
WARN	missing_definition	lower arm [MA:0000034]	IAO:0000115		
WARN	missing_definition	upper arm [MA:0000035]	IAO:0000115		
WARN	missing_definition	elbow [MA:0000036]	IAO:0000115		
WARN	missing_definition	hand [MA:0000037]	IAO:0000115		
WARN	missing_definition	shoulder [MA:0000038]	IAO:0000115		
WARN	missing_definition	wrist [MA:0000039]	IAO:0000115		
WARN	missing_definition	carpus [MA:0000040]	IAO:0000115		
WARN	missing_definition	hand digit [MA:0000041]	IAO:0000115		
WARN	missing_definition	metacarpus [MA:0000042]	IAO:0000115		
WARN	missing_definition	ankle [MA:0000043]	IAO:0000115		
WARN	missing_definition	foot [MA:0000044]	IAO:0000115		
WARN	missing_definition	hip [MA:0000045]	IAO:0000115		
WARN	missing_definition	knee [MA:0000046]	IAO:0000115		
WARN	missing_definition	leg [MA:0000047]	IAO:0000115		
WARN	missing_definition	foot digit [MA:0000048]	IAO:0000115		
WARN	missing_definition	metatarsus [MA:0000049]	IAO:0000115		
WARN	missing_definition	tarsus [MA:0000050]	IAO:0000115		
WARN	missing_definition	lower leg [MA:0000051]	IAO:0000115		
WARN	missing_definition	upper leg [MA:0000052]	IAO:0000115		
WARN	missing_definition	pericardial cavity [MA:0000053]	IAO:0000115		
WARN	missing_definition	peritoneal cavity [MA:0000054]	IAO:0000115		
WARN	missing_definition	pleural cavity [MA:0000055]	IAO:0000115		
WARN	missing_definition	brown adipose tissue [MA:0000057]	IAO:0000115		
WARN	missing_definition	white adipose tissue [MA:0000058]	IAO:0000115		
WARN	missing_definition	blood [MA:0000059]	IAO:0000115		
WARN	missing_definition	blood vessel [MA:0000060]	IAO:0000115		
WARN	missing_definition	arterial blood vessel [MA:0000061]	IAO:0000115		
WARN	missing_definition	aorta [MA:0000062]	IAO:0000115		
WARN	missing_definition	arteriole [MA:0000063]	IAO:0000115		
WARN	missing_definition	artery [MA:0000064]	IAO:0000115		
WARN	missing_definition	capillary [MA:0000065]	IAO:0000115		
WARN	missing_definition	venous blood vessel [MA:0000066]	IAO:0000115		
WARN	missing_definition	vein [MA:0000067]	IAO:0000115		
WARN	missing_definition	vena cava [MA:0000068]	IAO:0000115		
WARN	missing_definition	venous plexus [MA:0000069]	IAO:0000115		
WARN	missing_definition	venous sinus [MA:0000070]	IAO:0000115		
WARN	missing_definition	venule [MA:0000071]	IAO:0000115		
WARN	missing_definition	heart [MA:0000072]	IAO:0000115		
WARN	missing_definition	heart atrium [MA:0000073]	IAO:0000115		
WARN	missing_definition	heart left atrium [MA:0000074]	IAO:0000115		
WARN	missing_definition	heart right atrium [MA:0000075]	IAO:0000115		
WARN	missing_definition	heart endocardium [MA:0000076]	IAO:0000115		
WARN	missing_definition	atrium endocardium [MA:0000077]	IAO:0000115		
WARN	missing_definition	endocardial cushion [MA:0000078]	IAO:0000115		
WARN	missing_definition	ventricle endocardium [MA:0000079]	IAO:0000115		
WARN	missing_definition	myocardium layer [MA:0000080]	IAO:0000115		
WARN	missing_definition	atrium myocardium [MA:0000081]	IAO:0000115		
WARN	missing_definition	ventricle myocardium [MA:0000082]	IAO:0000115		
WARN	missing_definition	heart septum [MA:0000083]	IAO:0000115		
WARN	missing_definition	interatrial septum [MA:0000084]	IAO:0000115		
WARN	missing_definition	heart interventricular septum [MA:0000085]	IAO:0000115		
WARN	missing_definition	heart valve [MA:0000086]	IAO:0000115		
WARN	missing_definition	aortic valve [MA:0000087]	IAO:0000115		
WARN	missing_definition	mitral valve [MA:0000088]	IAO:0000115		
WARN	missing_definition	pulmonary valve [MA:0000089]	IAO:0000115		
WARN	missing_definition	tricuspid valve [MA:0000090]	IAO:0000115		
WARN	missing_definition	heart ventricle [MA:0000091]	IAO:0000115		
WARN	missing_definition	heart left ventricle [MA:0000092]	IAO:0000115		
WARN	missing_definition	heart right ventricle [MA:0000093]	IAO:0000115		
WARN	missing_definition	impulse conducting system [MA:0000094]	IAO:0000115		
WARN	missing_definition	atrioventricular node [MA:0000095]	IAO:0000115		
WARN	missing_definition	purkinje fiber [MA:0000096]	IAO:0000115		
WARN	missing_definition	sinoatrial node [MA:0000097]	IAO:0000115		
WARN	missing_definition	heart mesentery [MA:0000098]	IAO:0000115		
WARN	missing_definition	pericardium [MA:0000099]	IAO:0000115		
WARN	missing_definition	outflow tract [MA:0000100]	IAO:0000115		
WARN	missing_definition	outflow tract aortic component [MA:0000101]	IAO:0000115		
