Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	mco.owl	dc11:description		
ERROR	missing_ontology_license	mco.owl	dc:license		
ERROR	missing_ontology_title	mco.owl	dc11:title		
WARN	missing_definition	mco [MCO:00000000]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	equipment and supplies [MCO:0000013]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	conditioned culture medium [MCO:0000017]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	N-C- medium [MCO:0000020]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	M56 medium [MCO:0000021]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	minimal essential medium [MCO:0000023]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	MOPS minimal medium [MCO:0000024]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	T-broth [MCO:0000027]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	TGYEP [MCO:0000028]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	LB medium, Lennox [MCO:0000030]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	LB medium, Luria [MCO:0000031]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	LB medium, Miller [MCO:0000032]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	penassay broth [MCO:0000033]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	L broth [MCO:0000034]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	L agar [MCO:0000035]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	LB broth [MCO:0000036]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Luria broth [MCO:0000037]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	overexpression mutant [MCO:0000041]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	knockout mutant [MCO:0000042]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	insertion mutant [MCO:0000043]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	lysogenic mutant [MCO:0000044]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	transposable element mutant [MCO:0000045]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	knockin mutant [MCO:0000046]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	λ(soxR) [MCO:0000047]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	λ(truncated soxR) [MCO:0000048]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Φ(soxR) [MCO:0000049]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	knockdown mutant [MCO:0000050]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	plasmid mutant [MCO:0000052]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	multicopy plasmid mutant [MCO:0000053]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	multicopy plasmid backbone mutant [MCO:0000054]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	multicopy harbored plasmid mutant [MCO:0000055]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	unicopy plasmid mutant [MCO:0000056]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	unicopy plasmid backbone mutant [MCO:0000057]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	unicopy harbored plasmid mutant [MCO:0000058]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	OD600 of 0.3 [MCO:0000060]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	OD600 from 0.4 to 0.5 [MCO:0000061]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	OD600 of 0.25 [MCO:0000062]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	OD600 of 1.5 [MCO:0000063]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	OD600 of 0.5 [MCO:0000064]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	OD600 below 0.7 [MCO:0000065]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	OD600 of 0.4 [MCO:0000066]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	OD600 from 0.4 to 0.6 [MCO:0000067]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	OD600 of 0.65 [MCO:0000068]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	greA overexpression mutant [MCO:0000070]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mlc knockout mutant [MCO:0000071]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ethyl acetate extract of LB [MCO:0000072]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ethyl acetate extract of conditioned medium [MCO:0000073]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	multicopy plasmid pAMC35 (dps) mutant [MCO:0000074]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	multicopy plasmid pRGM258 (marRAB) mutant [MCO:0000075]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	plasmid pCX16 (sdiA) mutant [MCO:0000076]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	10 to 40 MPa [MCO:0000079]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	0.1 MPa [MCO:0000080]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	vitamin assay casamino acids [MCO:0000081]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nanR knockout mutant [MCO:0000082]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	high cell density [MCO:0000083]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	low cell density [MCO:0000084]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	planktonic growth [MCO:0000085]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mini-Tn5 transposon [MCO:0000086]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mini-Tn5-nrdEF transposon [MCO:0000087]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mini-Tn10 transposon [MCO:0000088]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	IS10R [MCO:0000089]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	IS186 [MCO:0000090]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	IS3E [MCO:0000091]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	allS knockout mutant [MCO:0000092]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	arcA knockout mutant [MCO:0000093]	IAO_0000115 [IAO:0000115]		
