Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	salpingopharyngeus muscle [MFMO:0000307]	IAO_0000115 [IAO:0000115]	The superior constrictor is a muscle that is an integral part of the pharyngeal tube that is attached to the mandible, pterygomandibular raphe, basioccipital bone, pterygoid process and midline raphe and is innervated by Cranial Nerve X via the pharyngeal plexus.	
ERROR	duplicate_definition	superior pharyngeal constrictor muscle [MFMO:0000325]	IAO_0000115 [IAO:0000115]	The superior constrictor is a muscle that is an integral part of the pharyngeal tube that is attached to the mandible, pterygomandibular raphe, basioccipital bone, pterygoid process and midline raphe and is innervated by Cranial Nerve X via the pharyngeal plexus.	
ERROR	multiple_equivalent_classes	salpingopharyngeus muscle [MFMO:0000307]	owl:equivalentClass	blank node <4a5d8d4bb48e1974ba7c1eed89a30064>	
ERROR	multiple_equivalent_classes	salpingopharyngeus muscle [MFMO:0000307]	owl:equivalentClass	blank node <8b3477aae707795a50b31dcd0157639c>	
ERROR	missing_ontology_description	mfmo.owl	dc11:description		
ERROR	multiple_definitions	salpingopharyngeus muscle [MFMO:0000307]	IAO_0000115 [IAO:0000115]	Salpingopharyngeus is a muscle that attaches to pharyngotympanic tube and the pharynx and is innervated by pharyngeal plexus of CN X and participates in oral/pharyngeal behaviors    	
ERROR	multiple_definitions	salpingopharyngeus muscle [MFMO:0000307]	IAO_0000115 [IAO:0000115]	The superior constrictor is a muscle that is an integral part of the pharyngeal tube that is attached to the mandible, pterygomandibular raphe, basioccipital bone, pterygoid process and midline raphe and is innervated by Cranial Nerve X via the pharyngeal plexus.	
ERROR	missing_ontology_license	mfmo.owl	dc:license		
ERROR	missing_ontology_title	mfmo.owl	dc11:title		
ERROR	multiple_labels	frontalis muscle [MFMO:0000129]	label [rdfs:label]	A muscle of the skin of the head (scalp), innervated by the facial nerve, attached to facia of the skin superior to the orbits (superciliary region), overlapping with the procerus muscles, and attched to the facia of the scalp (galea aponurotica or epicranial aponeurosis in humans). In mammals other than humans, there is no large facia present and the most rostral fibers of the occipitalis are attached to the skin near or even overlapping with the fibers of the frontalis muscle.See Diogo 2008; Diogo et al., 2009; Burrows et al.., 2011.	
ERROR	multiple_labels	frontalis muscle [MFMO:0000129]	label [rdfs:label]	frontalis muscle@en	
ERROR	multiple_labels	salpingopharyngeus muscle [MFMO:0000307]	label [rdfs:label]	salpingopharyngeus muscle	
ERROR	multiple_labels	salpingopharyngeus muscle [MFMO:0000307]	label [rdfs:label]	superior pharyngeal constrictor muscle	
WARN	annotation_whitespace	soft palate [MFMO:0000100]	IAO_0000115 [IAO:0000115]	A muscular arch-shaped structure (an anatomical cluster) that is composed of the musculus uvuli and parts of tensor veli palatini, levator veli palatini, palatoglossus and palatopharyngeus and attaches to the hard palate and modulates the connections between the oral cavity and pharynx soft tissue arch 	
WARN	annotation_whitespace	depressor anguli oris muscle [MFMO:0000126]	IAO_0000115 [IAO:0000115]	A muscle of facial expression, innervated by the facial nerve, attached to the mandible, skin of the lower lip in the region of the angle of the oral opening, orbicularis oris, and lateral to the depressor anguli oris muscle. 	
WARN	missing_definition	attached to [MFMO:0000001]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	innervated by [MFMO:0000003]	IAO_0000115 [IAO:0000115]		
