Level	Rule Name	Subject	Property	Value
ERROR	missing_label	GO_0060273 [GO:0060273]	label [rdfs:label]		
ERROR	missing_ontology_description	MFOEM.owl	dc11:description		
ERROR	missing_ontology_license	MFOEM.owl	dc:license		
WARN	annotation_whitespace	appraisal [MFOEM:000005]	IAO_0000115 [IAO:0000115]	An appraisal is a cognitive representation which represents an evaluation of the relevance of some triggering object or event to the organism. 	
WARN	annotation_whitespace	appraisal of suddenness [MFOEM:000057]	IAO_0000115 [IAO:0000115]	An appraisal which represents an evaluation of how suddenly an event occurred. 	
WARN	annotation_whitespace	appraisal of familiarity [MFOEM:000058]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation of how familiar an object or event is. 	
WARN	annotation_whitespace	appraisal of predictability [MFOEM:000059]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation of how predictable an event was. 	
WARN	annotation_whitespace	appraisal of expectedness [MFOEM:000060]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation of whether an event was expected to occur. 	
WARN	annotation_whitespace	appraisal of pleasantness [MFOEM:000061]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation of the pleasantness of an object or event. 	
WARN	annotation_whitespace	appraisal as sudden [MFOEM:000062]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation that an event occurred suddenly. 	
WARN	annotation_whitespace	appraisal as not sudden [MFOEM:000063]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation that an event did not occur suddenly. 	
WARN	annotation_whitespace	appraisal as familiar [MFOEM:000064]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation that an object or event is familiar. 	
WARN	annotation_whitespace	appraisal as not familiar [MFOEM:000065]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation that an object or event is not familiar. 	
WARN	annotation_whitespace	appraisal as predictable [MFOEM:000066]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation that an event was easy to predict. 	
WARN	annotation_whitespace	appraisal as not predictable [MFOEM:000067]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation that an event was not easy to predict. 	
WARN	annotation_whitespace	appraisal as expected [MFOEM:000068]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation that an event was expected. 	
WARN	annotation_whitespace	appraisal of goal importance [MFOEM:000072]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation of whether an event or object is important to the person's goals or needs. 	
WARN	annotation_whitespace	evaluation as important to goals [MFOEM:000073]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation that the event or object is important to the person's goals or needs. 	
WARN	annotation_whitespace	evaluation as not important to goals [MFOEM:000074]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation that the event or object is not important to the person's goals or needs. 	
WARN	annotation_whitespace	appraisal of causal agency [MFOEM:000075]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation of who or what caused an event. 	
WARN	annotation_whitespace	appraisal as caused by self [MFOEM:000076]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation that an event was caused by the self. 	
WARN	annotation_whitespace	appraisal as caused by chance [MFOEM:000077]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation that an event was caused by chance. 	
WARN	annotation_whitespace	feeling good [MFOEM:000079]	IAO_0000115 [IAO:0000115]	The subjective emotional feeling of feeling good, positive.  	
WARN	annotation_whitespace	appraisal as deliberate [MFOEM:000083]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation that an event was deliberately (intentionally) caused. 	
WARN	annotation_whitespace	appraisal of desirability of consequences [MFOEM:000085]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation of the desirability of the expected consequences of an event. 	
WARN	annotation_whitespace	appraisal as desirable consequences [MFOEM:000086]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation that the expected consequences of an event are desirable. 	
WARN	annotation_whitespace	appraisal as undesirable consequences [MFOEM:000087]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation that the expected consequences of an event are undesirable. 	
WARN	annotation_whitespace	appraisal of urgency of response [MFOEM:000088]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation of the urgency of responding to an event. 	
WARN	annotation_whitespace	appraisal as urgent response [MFOEM:000089]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation that an event requires an urgent (immediate) response. 	
WARN	annotation_whitespace	appraisal as not urgent response [MFOEM:000090]	IAO_0000115 [IAO:0000115]	An appraisal that represents an evaluation that an event does not require an urgent response. 	
WARN	annotation_whitespace	appraisal of avoidability of consequences [MFOEM:000091]	IAO_0000115 [IAO:0000115]	An appraisal which represents a judgement about how avoidable the expected consequences of an event will be. 	
WARN	annotation_whitespace	appraisal as avoidable consequences [MFOEM:000092]	IAO_0000115 [IAO:0000115]	An appraisal that represents a judgement that the expected consequences of an event are in principle avoidable or modfiable. 	
WARN	annotation_whitespace	appraisal as unavoidable consequences [MFOEM:000093]	IAO_0000115 [IAO:0000115]	An appraisal that represents a judgement that the expected consequences of an event will be difficult to avoid or modify. 	
WARN	annotation_whitespace	appraisal of congruence with ideals [MFOEM:000094]	IAO_0000115 [IAO:0000115]	An appraisal which represents a judgement about whether an event is consistent with the person's standards or ideals. 	
WARN	annotation_whitespace	appraisal as not congruent with ideals [MFOEM:000096]	IAO_0000115 [IAO:0000115]	An appraisal that represents a judgement that an event is inconsistent with a person's standards or ideals. 	
WARN	annotation_whitespace	appraisal of social attention [MFOEM:000097]	IAO_0000115 [IAO:0000115]	An appraisal which represents a judgement about the direction and nature of the social attention surrounding an event. 	
WARN	annotation_whitespace	appraisal as not being at the centre of attention [MFOEM:000099]	IAO_0000115 [IAO:0000115]	An appraisal that represents a judgement that a person is not at the centre of the surrounding social attention. 	
WARN	annotation_whitespace	appraisal of justice of treatment [MFOEM:000100]	IAO_0000115 [IAO:0000115]	Appraisal which represents an evaluation of whether the person was treated justly or unjustly by another person. 	
