Level	Rule Name	Subject	Property	Value
ERROR	missing_label	MFOMD_0000038 [MFOMD:0000038]	label [rdfs:label]		
ERROR	duplicate_label	ICD-10 code [MFOMD:0000067]	label [rdfs:label]	ICD-10 code@en	
ERROR	duplicate_label	ICD-10 code [MFOMD:0000068]	label [rdfs:label]	ICD-10 code@en	
ERROR	duplicate_label	ICD-10 code [MFOMD:0000069]	label [rdfs:label]	ICD-10 code@en	
ERROR	duplicate_label	disorientation [MFOMD:0000203]	label [rdfs:label]	disorientation@en	
ERROR	duplicate_label	disorientation [MFOMD:0000205]	label [rdfs:label]	disorientation@en	
ERROR	duplicate_label	code DSM-IV-TR [MFOMD:0000036]	label [rdfs:label]	code DSM-IV-TR@en	
ERROR	duplicate_label	code DSM-IV-TR [MFOMD:0000037]	label [rdfs:label]	code DSM-IV-TR@en	
ERROR	multiple_definitions	mental disorder [MFOMD:0000004]	IAO_0000115 [IAO:0000115]	A disease that involves a psychological or behavioral pattern generally associated with subjective distress or disability that occurs in an individual, and which are not a part of normal development or culture.	
ERROR	multiple_definitions	mental disorder [MFOMD:0000004]	IAO_0000115 [IAO:0000115]	Clinically significant behavioural and/or cognitive pathology.	
ERROR	multiple_definitions	insomnia [MFOMD:0000116]	IAO_0000115 [IAO:0000115]	    A subjective complaint of difficulty falling or staying asleep or poor sleep quality.        DSM-IV-TR (american Psychiatric Association)	
ERROR	multiple_definitions	insomnia [MFOMD:0000116]	IAO_0000115 [IAO:0000115]	A subjective complaint of difficulty falling or staying asleep or poor sleep quality.        DSM-IV-TR (american Psychiatric Association)	
ERROR	missing_ontology_license	MFOMD.owl	dc:license		
WARN	annotation_whitespace	process addiction [MFOMD:0000053]	IAO_0000115 [IAO:0000115]	  An addiction to a process, which might be a behaviour, such as gambling, or procrastination.           	
WARN	annotation_whitespace	gambling addiction [MFOMD:0000054]	IAO_0000115 [IAO:0000115]	  A process addiction in which the patient compulsively gambles.            	
WARN	annotation_whitespace	shopping addiction [MFOMD:0000057]	IAO_0000115 [IAO:0000115]	 A process addiction in which the person compulsively performs shopping activities.        	
WARN	annotation_whitespace	addiction to use of a sunbed [MFOMD:0000063]	IAO_0000115 [IAO:0000115]	 A process addiction in which the subject compulsively makes use of a sunbed.	
WARN	annotation_whitespace	dissociative fugue [MFOMD:0000076]	IAO_0000118 [IAO:0000118]	fuga disociativa 	
WARN	annotation_whitespace	homicidal ideations [MFOMD:0000124]	ICD-10 code [MFOMD:0000069]	    R45.850 	
WARN	annotation_whitespace	nightmare [MFOMD:0000147]	IAO_0000115 [IAO:0000115]	Dream that can cause a strong emotional response from the mind, typically fear or horror, but also despair, anxiety and great sadness. The dream may contain situations of danger, discomfort, psychological or physical terror. 	
WARN	annotation_whitespace	binge-eating disorder [MFOMD:0000151]	IAO_0000115 [IAO:0000115]	The essential features are recurrent episodes of being eating associated with subjective and behavioural indicators of impaired control over, and significant distress about, the binge eating and the absence of the regular use of inappropriate compensatory behaviours (such as self-induced vomiting, misuse of laxatives and other medications, fasting, and excessive exercise) that are characteristic of Bulimia Nervosa. 	
WARN	annotation_whitespace	alogia [MFOMD:0000164]	IAO_0000115 [IAO:0000115]	Is manifested  by brief, laconic, empty replies.  	
WARN	annotation_whitespace	paranoia [MFOMD:0000185]	IAO_0000115 [IAO:0000115]	Thought process believed to be heavily influenced by anxiety or fear, often to the point of irrationality and delusion. 	
WARN	annotation_whitespace	dysphoria [MFOMD:0000188]	IAO_0000115 [IAO:0000115]	Feeling of emotional and mental discomfort as a symptom of discontentment, restlessness, dissatisfaction, malaise, depression, anxiety or indifference.            http://en.wikipedia.org/wiki/Dysphoria 	
WARN	annotation_whitespace	hyperarousal [MFOMD:0000196]	IAO_0000115 [IAO:0000115]	State of increased psychological and physiological tension marked by such effects as reduced pain tolerance, anxiety, exaggeration of startle responses, insomnia, fatigue and accentuation of personality traits.         Dorland's Medical Dictionary for Health Consumers. 	
WARN	annotation_whitespace	disorientation [MFOMD:0000203]	IAO_0000115 [IAO:0000115]	 A state of mental confusion as to time, place, or identity.        medical-dictionary	
WARN	missing_definition	full-blown manic mood episode [MFOMD:0000011]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hypomanic mood episode [MFOMD:0000012]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	symptoms [MFOMD:0000014]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	disorganized schizophrenia [MFOMD:0000020]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	catatonic schizophrenia [MFOMD:0000021]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	undifferentiated schizophrenia [MFOMD:0000022]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	residual schizophrenia [MFOMD:0000023]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pathological mental process [MFOMD:0000024]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	code DSM-IV-TR [MFOMD:0000036]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	code DSM-IV-TR [MFOMD:0000037]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	MFOMD_0000038 [MFOMD:0000038]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ICD-10 code [MFOMD:0000067]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ICD-10 code [MFOMD:0000068]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	ICD-10 code [MFOMD:0000069]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	substance-induced sexual dysfunction [MFOMD:0000195]	IAO_0000115 [IAO:0000115]		
INFO	lowercase_definition	process addiction [MFOMD:0000053]	IAO_0000115 [IAO:0000115]	  An addiction to a process, which might be a behaviour, such as gambling, or procrastination.           	
INFO	lowercase_definition	gambling addiction [MFOMD:0000054]	IAO_0000115 [IAO:0000115]	  A process addiction in which the patient compulsively gambles.            	
INFO	lowercase_definition	shopping addiction [MFOMD:0000057]	IAO_0000115 [IAO:0000115]	 A process addiction in which the person compulsively performs shopping activities.        	
