Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	water solubility [MI:2027]	IAO_0000115 [IAO:0000115]	Water solubility in mg/mL or g/L	
ERROR	duplicate_definition	predicted water solubility [MI:2158]	IAO_0000115 [IAO:0000115]	Water solubility in mg/mL or g/L	
ERROR	duplicate_definition	carboxylation assay [MI:1137]	IAO_0000115 [IAO:0000115]	The measurement of a the introduction of a carboxylic acid group into a substrate.	
ERROR	duplicate_definition	decarboxylation assay [MI:1138]	IAO_0000115 [IAO:0000115]	The measurement of a the introduction of a carboxylic acid group into a substrate.	
ERROR	duplicate_definition	mkate2 [MI:1244]	IAO_0000115 [IAO:0000115]	Monomeric far-red fluorescent protein generated from the wild-type RFP from sea anemone Entacmaea quadricolor. It possesses bright fluorescence with excitation/emission maxima at 588 and 635 nm, respectively.	
ERROR	duplicate_definition	mkate [MI:1245]	IAO_0000115 [IAO:0000115]	Monomeric far-red fluorescent protein generated from the wild-type RFP from sea anemone Entacmaea quadricolor. It possesses bright fluorescence with excitation/emission maxima at 588 and 635 nm, respectively.	
ERROR	duplicate_definition	molecular weight [MI:2025]	IAO_0000115 [IAO:0000115]	Molecular weight in g/mol, determined from molecular formula or sequence.	
ERROR	duplicate_definition	average molecular weight [MI:2155]	IAO_0000115 [IAO:0000115]	Molecular weight in g/mol, determined from molecular formula or sequence.	
ERROR	duplicate_definition	monoisotopic molecular weight [MI:2156]	IAO_0000115 [IAO:0000115]	Molecular weight in g/mol, determined from molecular formula or sequence.	
ERROR	duplicate_definition	atto 488 [MI:1032]	IAO_0000115 [IAO:0000115]	Fluorescent tag - maleimide couples to thiols.	
ERROR	duplicate_definition	atto 550 [MI:1033]	IAO_0000115 [IAO:0000115]	Fluorescent tag - maleimide couples to thiols.	
ERROR	duplicate_definition	atto 532 [MI:1253]	IAO_0000115 [IAO:0000115]	Fluorescent tag - maleimide couples to thiols.	
ERROR	duplicate_definition	atto 647 [MI:1254]	IAO_0000115 [IAO:0000115]	Fluorescent tag - maleimide couples to thiols.	
ERROR	duplicate_definition	atto 465 [MI:1322]	IAO_0000115 [IAO:0000115]	Fluorescent tag - maleimide couples to thiols.	
ERROR	duplicate_definition	http://www.ebi.ac.uk/chembldb/index.php/compound/inspect/${ac} [MI:0967]	IAO_0000115 [IAO:0000115]	ChEMBL focuses on mapping the interactions of small molecules binding to their macromolecular targets.	
ERROR	duplicate_definition	chembl target [MI:1348]	IAO_0000115 [IAO:0000115]	ChEMBL focuses on mapping the interactions of small molecules binding to their macromolecular targets.	
ERROR	duplicate_definition	chembl [MI:1349]	IAO_0000115 [IAO:0000115]	ChEMBL focuses on mapping the interactions of small molecules binding to their macromolecular targets.	
ERROR	duplicate_definition	opposing epistasis [MI:1276]	IAO_0000115 [IAO:0000115]	An effect in which individual perturbations of two different genes result in opposite mutant phenotypes (traits measured on the same scale but each on opposing sides relative to the wild type phenotype), and the resulting phenotype of their combination is equal to that of only one of the perturbations. With respect to any single quantifiable phenotype, this may be expressed as an inequality as:    (a < wt < b) AND (ab = a OR ab = b)     where 'a' and 'b' are the observed phenotype values of the individual perturbations, 'ab' is the observed phenotype value of the double perturbation, and 'wt' is the wild type phenotype value.	
ERROR	duplicate_definition	opposing epistasis [MI:1285]	IAO_0000115 [IAO:0000115]	An effect in which individual perturbations of two different genes result in opposite mutant phenotypes (traits measured on the same scale but each on opposing sides relative to the wild type phenotype), and the resulting phenotype of their combination is equal to that of only one of the perturbations. With respect to any single quantifiable phenotype, this may be expressed as an inequality as:    (a < wt < b) AND (ab = a OR ab = b)     where 'a' and 'b' are the observed phenotype values of the individual perturbations, 'ab' is the observed phenotype value of the double perturbation, and 'wt' is the wild type phenotype value.	
ERROR	missing_ontology_description	mi.owl	dc11:description		
ERROR	duplicate_label	suppression [MI:0261]	label [rdfs:label]	suppression	
ERROR	duplicate_label	suppression [MI:0796]	label [rdfs:label]	suppression	
ERROR	duplicate_label	pubchem [MI:0730]	label [rdfs:label]	pubchem	
ERROR	duplicate_label	pubchem [MI:2013]	label [rdfs:label]	pubchem	
