Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	mmo.owl	dc11:description		
ERROR	duplicate_label	optical coherence tomography [MMO:0000695]	label [rdfs:label]	optical coherence tomography	
ERROR	duplicate_label	optical coherence tomography [MMO:0000696]	label [rdfs:label]	optical coherence tomography	
ERROR	missing_ontology_license	mmo.owl	dc:license		
ERROR	missing_ontology_title	mmo.owl	dc11:title		
WARN	missing_definition	continuous flow air displacement plethysmography [MMO:0000007]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	volume pressure recording [MMO:0000010]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	vascular transducer tipped catheter [MMO:0000014]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	body weighing method [MMO:0000016]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	intravascular electromagnetic flow sensor [MMO:0000020]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	stop flow air displacement plethysmography [MMO:0000022]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	balloon tipped catheter with pressure transducer in isolated perfused heart [MMO:0000029]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	tail cuff plethysmography [MMO:0000031]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	automated standard complete blood count (CBC) test [MMO:0000032]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	CM-5 lead electrocardiography [MMO:0000042]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Colin STBP-780 automated blood pressure monitor [MMO:0000044]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	large adult cuff Colin STBP-780 automated blood pressure monitor [MMO:0000045]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	adult cuff Colin STBP-780 automated blood pressure monitor [MMO:0000046]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	child cuff Colin STBP-780 automated blood pressure monitor [MMO:0000047]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Dinamap 1846 SX/P blood pressure monitor [MMO:0000048]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	large adult cuff Dinamap 1846 SX/P blood pressure monitor [MMO:0000049]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	adult cuff Dinamap 1846 SX/P blood pressure monitor [MMO:0000050]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	child cuff Dinamap 1846 SX/P blood pressure monitor [MMO:0000051]	IAO_0000115 [IAO:0000115]		
