Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	TMT6plex reporter fragment [MOD:01716]	IAO_0000115 [IAO:0000115]	The protein modification reporter fragment produced by an Proteome Sciences TMT6plex-126 reagent acylated residue.	
ERROR	duplicate_definition	126.13 [MOD:01727]	IAO_0000115 [IAO:0000115]	The protein modification reporter fragment produced by an Proteome Sciences TMT6plex-126 reagent acylated residue.	
ERROR	duplicate_definition	C 15 H 22 O 1 [MOD:00534]	IAO_0000115 [IAO:0000115]	modification from UniMod Post-translational	
ERROR	duplicate_definition	Levuglandinyl - arginine hydroxylactam adduct [MOD:00934]	IAO_0000115 [IAO:0000115]	modification from UniMod Post-translational	
ERROR	duplicate_definition	C 20 H 28 O 5 [MOD:00936]	IAO_0000115 [IAO:0000115]	modification from UniMod Post-translational	
ERROR	duplicate_definition	446.59 [MOD:00937]	IAO_0000115 [IAO:0000115]	modification from UniMod Post-translational	
ERROR	duplicate_definition	332.44 [MOD:00938]	IAO_0000115 [IAO:0000115]	modification from UniMod Post-translational	
ERROR	duplicate_definition	N-term [MOD:01223]	IAO_0000115 [IAO:0000115]	modification from UniMod Other -	
ERROR	duplicate_definition	K [MOD:01224]	IAO_0000115 [IAO:0000115]	modification from UniMod Other -	
ERROR	duplicate_definition	crotonaldehyde - site C [MOD:01277]	IAO_0000115 [IAO:0000115]	modification from UniMod Other -	
ERROR	duplicate_definition	K [MOD:01278]	IAO_0000115 [IAO:0000115]	modification from UniMod Other -	
ERROR	duplicate_definition	207.100777 [MOD:01279]	IAO_0000115 [IAO:0000115]	modification from UniMod Other -	
ERROR	duplicate_definition	193.085127 [MOD:01282]	IAO_0000115 [IAO:0000115]	modification from UniMod Other -	
ERROR	duplicate_definition	K [MOD:01283]	IAO_0000115 [IAO:0000115]	modification from UniMod Other -	
ERROR	duplicate_definition	159.035400 [MOD:01284]	IAO_0000115 [IAO:0000115]	modification from UniMod Other -	
ERROR	duplicate_definition	165.20 [MOD:01288]	IAO_0000115 [IAO:0000115]	modification from UniMod Other -	
ERROR	duplicate_definition	K [MOD:01289]	IAO_0000115 [IAO:0000115]	modification from UniMod Other -	
ERROR	duplicate_definition	K [MOD:01322]	IAO_0000115 [IAO:0000115]	modification from UniMod Other -	
ERROR	duplicate_definition	177.21 [MOD:01323]	IAO_0000115 [IAO:0000115]	modification from UniMod Other -	
ERROR	duplicate_definition	26.015650 [MOD:01324]	IAO_0000115 [IAO:0000115]	modification from UniMod Other -	
ERROR	duplicate_definition	K [MOD:01325]	IAO_0000115 [IAO:0000115]	modification from UniMod Other -	
ERROR	duplicate_definition	-29.002740 [MOD:00508]	IAO_0000115 [IAO:0000115]	modification from UniMod Other	
ERROR	duplicate_definition	K [MOD:00556]	IAO_0000115 [IAO:0000115]	modification from UniMod Other	
ERROR	duplicate_definition	acrolein addition +56 [MOD:00557]	IAO_0000115 [IAO:0000115]	modification from UniMod Other	
ERROR	duplicate_definition	K [MOD:00558]	IAO_0000115 [IAO:0000115]	modification from UniMod Other	
ERROR	duplicate_definition	K [MOD:00559]	IAO_0000115 [IAO:0000115]	modification from UniMod Other	
ERROR	duplicate_definition	K [MOD:00560]	IAO_0000115 [IAO:0000115]	modification from UniMod Other	
ERROR	duplicate_definition	X [MOD:00576]	IAO_0000115 [IAO:0000115]	modification from UniMod Other	
ERROR	duplicate_definition	26.015650 [MOD:00577]	IAO_0000115 [IAO:0000115]	modification from UniMod Other	
ERROR	duplicate_definition	X [MOD:00578]	IAO_0000115 [IAO:0000115]	modification from UniMod Other	
ERROR	duplicate_definition	propionaldehyde +40 [MOD:00579]	IAO_0000115 [IAO:0000115]	modification from UniMod Other	
ERROR	duplicate_definition	C 15 H 22 O 1 [MOD:01319]	IAO_0000115 [IAO:0000115]	modification from UniMod Other	
ERROR	duplicate_definition	K [MOD:01320]	IAO_0000115 [IAO:0000115]	modification from UniMod Other	
ERROR	duplicate_definition	321.176250 [MOD:01321]	IAO_0000115 [IAO:0000115]	modification from UniMod Other	
ERROR	duplicate_definition	1623.48 [MOD:00760]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation - missing ref	
ERROR	duplicate_definition	1299.20 [MOD:00762]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation - missing ref	
ERROR	duplicate_definition	C 60 H 98 N 6 O 42 [MOD:00763]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation - missing ref	
ERROR	duplicate_definition	682.63 [MOD:00516]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation	
ERROR	duplicate_definition	698.274563 [MOD:00518]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation	
ERROR	duplicate_definition	814.296755 [MOD:00519]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation	
ERROR	duplicate_definition	natural [MOD:00520]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation	
ERROR	duplicate_definition	730.67 [MOD:00521]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation	
ERROR	duplicate_definition	C 31 H 51 N 1 O 24 [MOD:00522]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation	
ERROR	duplicate_definition	846.311736 [MOD:00523]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation	
ERROR	duplicate_definition	natural [MOD:00524]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation	
ERROR	duplicate_definition	862.79 [MOD:00525]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation	
ERROR	duplicate_definition	natural [MOD:00526]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation	
ERROR	duplicate_definition	1006.360143 [MOD:00527]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation	
ERROR	duplicate_definition	972.79 [MOD:00529]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation	
ERROR	duplicate_definition	H -1 N -1 O 1 [MOD:00565]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation	
ERROR	duplicate_definition	fucosylated biantennary (-2 galactose) [MOD:00623]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation	
ERROR	duplicate_definition	C 62 H 102 N 4 O 44 [MOD:00759]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation	
ERROR	duplicate_definition	C 68 H 112 N 4 O 49 [MOD:01162]	IAO_0000115 [IAO:0000115]	modification from UniMod N-linked glycosylation	
ERROR	duplicate_definition	N-term [MOD:01358]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label - Use when labelling post-digest	
ERROR	duplicate_definition	K [MOD:01359]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label - Use when labelling post-digest	
ERROR	duplicate_definition	2.004246 [MOD:01234]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label - alkaline phosphatase to dephosphorylate	
ERROR	duplicate_definition	2.004246 [MOD:01235]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label - alkaline phosphatase to dephosphorylate	
ERROR	duplicate_definition	2.004246 [MOD:01236]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label - alkaline phosphatase to dephosphorylate	
ERROR	duplicate_definition	Y [MOD:01188]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label -	
ERROR	duplicate_definition	193.093332 [MOD:01189]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label -	
ERROR	duplicate_definition	85.052764 [MOD:01191]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label -	
ERROR	duplicate_definition	248.116092 [MOD:01192]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label -	
ERROR	duplicate_definition	104.026215 [MOD:01195]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label -	
ERROR	duplicate_definition	155.004099 [MOD:01217]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label -	
ERROR	duplicate_definition	155.004099 [MOD:01218]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label -	
ERROR	duplicate_definition	105.021464 [MOD:01230]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label -	
ERROR	duplicate_definition	K [MOD:01287]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label -	
ERROR	duplicate_definition	C 22 (1)H 28 (2)H 10 N 6 O 3 S 1 [MOD:01340]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label -	
ERROR	duplicate_definition	K [MOD:01341]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label -	
ERROR	duplicate_definition	N-term [MOD:00449]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	338.47 [MOD:00468]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	C 16 (1)H 16 (2)H 10 N 4 O 2 S 1 [MOD:00469]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	K [MOD:00472]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	K [MOD:00473]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	227.26 [MOD:00480]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	339.17 [MOD:00481]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	345.78 [MOD:00494]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	(12)C 9 (13)C 6 Cl 1 H 20 N 1 O 6 S 0 [MOD:00495]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	104.026215 [MOD:00505]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	none [MOD:00549]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	189.188947 [MOD:00551]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	85.052764 [MOD:00561]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	C 4 (1)H 2 (2)H 5 N 1 O 1 [MOD:00562]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	401.03 [MOD:00932]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	128.107539 [MOD:00943]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	d9-4-trimethylammoniumbutanoyl derivatized residue [MOD:00944]	IAO_0000115 [IAO:0000115]	modification from UniMod Isotopic label	
ERROR	duplicate_definition	121.20 [MOD:01193]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	121.20 [MOD:01194]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	(13)C 6 H 5 N 1 O 2 S 1 [MOD:01219]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	(13)C 6 H 5 N 1 O 2 S 1 [MOD:01220]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	K [MOD:01257]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	214.24 [MOD:01258]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	K [MOD:01259]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	Y [MOD:01260]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	C 19 H 22 O 7 [MOD:01261]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	C 19 H 22 O 7 [MOD:01262]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	nucleophilic addtion to cytopiloyne - site K [MOD:01263]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	C 19 H 22 O 7 [MOD:01264]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	C 19 H 22 O 7 [MOD:01265]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	C 19 H 24 O 8 [MOD:01266]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	K [MOD:01267]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	481.50 [MOD:01268]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	C 19 H 24 O 8 [MOD:01269]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	467.47 [MOD:01270]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	C 28 H 33 N 1 O 10 [MOD:01271]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	K [MOD:01272]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	490.70 [MOD:01280]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	490.70 [MOD:01281]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	525.142895 [MOD:01307]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	525.142895 [MOD:01308]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	87.050656 [MOD:01317]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	87.050656 [MOD:01318]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	K [MOD:01335]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	C 6 H 9 N 1 O 3 [MOD:01349]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	C 6 H 9 N 1 O 3 [MOD:01350]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	K [MOD:01353]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	C 21 H 15 N 3 O 5 S 1 [MOD:01364]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	524.57 [MOD:01365]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	K [MOD:01366]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	C 21 H 15 N 3 O 5 S 1 [MOD:01367]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	577.174353 [MOD:01368]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative -	
ERROR	duplicate_definition	339.161663 [MOD:00470]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	C 25 H 39 N 5 O 6 S 3 [MOD:00471]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	15.02 [MOD:00475]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	C 22 H 38 N 6 O 4 S 1 [MOD:00484]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	K [MOD:00485]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	371.50 [MOD:00486]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	369.183461 [MOD:00487]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	310.41 [MOD:00488]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	312.43 [MOD:00489]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	490.70 [MOD:00490]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	316.38 [MOD:00491]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	5-iodoacetamidofluorescein [MOD:00499]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	amidination of lysines or N-terminal amines with methyl acetimidate [MOD:00509]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	345.087891 [MOD:00532]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	339.07 [MOD:00533]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	87.050656 [MOD:00535]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	288.122240 [MOD:00542]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	bis(hydroxyphenylglyoxal) arginine [MOD:00543]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	170.17 [MOD:00547]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	274.40 [MOD:00548]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	287.42 [MOD:00550]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	none [MOD:00566]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	none [MOD:00572]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	K [MOD:00573]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	258.34 [MOD:00574]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	341.152161 [MOD:00575]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	121.20 [MOD:00586]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	C 19 H 22 O 7 [MOD:00590]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	nucleophilic addition to cytopiloyne+H2O [MOD:00591]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	N-term [MOD:00592]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	K [MOD:00593]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	(13)C 6 H 5 N 1 O 2 S 1 [MOD:00606]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	W [MOD:00607]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	356.188212 [MOD:00608]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	C 19 H 32 N 4 O 3 S 2 [MOD:00609]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	cysteinyl mercury [MOD:00610]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	326.141262 [MOD:00613]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	C 12 H 10 N 2 O 3 [MOD:00618]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	C 10 H 10 N 2 O 2 [MOD:00620]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	C 11 H 6 O 2 [MOD:00621]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	75.998286 [MOD:00622]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	111.10 [MOD:00625]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	C 21 H 15 N 3 O 5 S 1 [MOD:00626]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	K [MOD:00627]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	K [MOD:00629]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	none [MOD:00630]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	C 6 H 9 N 1 O 3 [MOD:00631]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	816.71 [MOD:00633]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	122.990948 [MOD:00634]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	C 30 H 54 N 5 O 7 P 1 S 1 [MOD:00635]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	525.142895 [MOD:00639]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	none [MOD:00640]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	672.84 [MOD:00922]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	684.85 [MOD:00923]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	[3-(2,5)-dioxopyrrolidin-1-yloxycarbonyl)-propyl]dimethyloctylammonium [MOD:00928]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	232.051778 [MOD:00939]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	118.16 [MOD:00941]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	C 11 H 6 O 2 [MOD:01466]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	K [MOD:01467]	IAO_0000115 [IAO:0000115]	modification from UniMod Chemical derivative	
ERROR	duplicate_definition	Bruker Daltonics SERVA-ICPL(TM) quantification chemistry, heavy form [MOD:00789]	IAO_0000115 [IAO:0000115]	modification from UniMod - isotopic label ICPL method - The paper describes an H/D labeling strategy whereas the commercial product follows a C/13C labeling strategy. The digest is typically applied AFTER ICPL_light/heavy labeling, only Protein N-term labeling and Lys-specific labeling is applied.	
ERROR	duplicate_definition	105.021464 [MOD:00790]	IAO_0000115 [IAO:0000115]	modification from UniMod - isotopic label ICPL method - The paper describes an H/D labeling strategy whereas the commercial product follows a C/13C labeling strategy. The digest is typically applied AFTER ICPL_light/heavy labeling, only Protein N-term labeling and Lys-specific labeling is applied.	
ERROR	duplicate_definition	Y [MOD:00788]	IAO_0000115 [IAO:0000115]	modification from UniMod	
ERROR	duplicate_definition	86.09 [MOD:00795]	IAO_0000115 [IAO:0000115]	modification from UniMod	
ERROR	duplicate_definition	C 13 H 5 N 1 [MOD:00879]	IAO_0000115 [IAO:0000115]	modification from UniMod	
ERROR	duplicate_definition	molybdopterin guanine dinucleotide [MOD:01167]	IAO_0000115 [IAO:0000115]	modification from UniMod	
ERROR	duplicate_definition	K [MOD:01880]	IAO_0000115 [IAO:0000115]	modification from RESID	
ERROR	duplicate_definition	N-term [MOD:01898]	IAO_0000115 [IAO:0000115]	modification from RESID	
ERROR	duplicate_definition	K [MOD:01935]	IAO_0000115 [IAO:0000115]	modification from RESID	
ERROR	duplicate_definition	333.78 [MOD:01955]	IAO_0000115 [IAO:0000115]	modification from RESID	
ERROR	duplicate_definition	N-term [MOD:01982]	IAO_0000115 [IAO:0000115]	modification from RESID	
ERROR	duplicate_definition	X [MOD:00948]	IAO_0000115 [IAO:0000115]	modification from DeltaMass	
ERROR	duplicate_definition	none [MOD:00950]	IAO_0000115 [IAO:0000115]	modification from DeltaMass	
ERROR	duplicate_definition	none [MOD:00956]	IAO_0000115 [IAO:0000115]	modification from DeltaMass	
ERROR	duplicate_definition	crosslink between Arg and His sidechains [MOD:00958]	IAO_0000115 [IAO:0000115]	modification from DeltaMass	
ERROR	duplicate_definition	Y, Y, Y, Y [MOD:00959]	IAO_0000115 [IAO:0000115]	modification from DeltaMass	
ERROR	duplicate_definition	K [MOD:00964]	IAO_0000115 [IAO:0000115]	modification from DeltaMass	
ERROR	duplicate_definition	none [MOD:00968]	IAO_0000115 [IAO:0000115]	modification from DeltaMass	
ERROR	duplicate_definition	CAM-Cys vs PAM-Cys [MOD:00969]	IAO_0000115 [IAO:0000115]	modification from DeltaMass	
ERROR	duplicate_definition	K [MOD:00970]	IAO_0000115 [IAO:0000115]	modification from DeltaMass	
ERROR	duplicate_definition	Oxohistidine (from histidine) [MOD:00971]	IAO_0000115 [IAO:0000115]	modification from DeltaMass	
