Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	endothermic reaction [MOP:0000767]	IAO_0000115 [IAO:0000115]	A reaction for which the overall standard enthalpy change is positive.	
ERROR	duplicate_definition	exothermic reaction [MOP:0000768]	IAO_0000115 [IAO:0000115]	A reaction for which the overall standard enthalpy change is positive.	
ERROR	duplicate_definition	hydron transfer [MOP:0000682]	IAO_0000115 [IAO:0000115]	A process where a hydron is transferred from one binding site to another.	
ERROR	duplicate_definition	deuteron transfer [MOP:0000683]	IAO_0000115 [IAO:0000115]	A process where a hydron is transferred from one binding site to another.	
ERROR	missing_ontology_description	mop.owl	dc11:description		
ERROR	missing_ontology_license	mop.owl	dc:license		
ERROR	missing_ontology_title	mop.owl	dc11:title		
WARN	duplicate_label_synonym	methanidylation [MOP:0000001]	hasExactSynonym [oboInOwl:hasExactSynonym]	methanidylation	
WARN	duplicate_label_synonym	azaniumylation [MOP:0000002]	hasExactSynonym [oboInOwl:hasExactSynonym]	azaniumylation	
WARN	duplicate_label_synonym	formylation [MOP:0000003]	hasExactSynonym [oboInOwl:hasExactSynonym]	formylation	
WARN	duplicate_label_synonym	acetonylation [MOP:0000004]	hasExactSynonym [oboInOwl:hasExactSynonym]	acetonylation	
WARN	duplicate_label_synonym	L-cystylation [MOP:0000005]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-cystylation	
WARN	duplicate_label_synonym	L-cystinylation [MOP:0000006]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-cystinylation	
WARN	duplicate_label_synonym	D-cystylation [MOP:0000007]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-cystylation	
WARN	duplicate_label_synonym	cystinylation [MOP:0000008]	hasExactSynonym [oboInOwl:hasExactSynonym]	cystinylation	
WARN	duplicate_label_synonym	cystylation [MOP:0000009]	hasExactSynonym [oboInOwl:hasExactSynonym]	cystylation	
WARN	duplicate_label_synonym	cysteinylation [MOP:0000010]	hasExactSynonym [oboInOwl:hasExactSynonym]	cysteinylation	
WARN	duplicate_label_synonym	L-cysteinylation [MOP:0000011]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-cysteinylation	
WARN	duplicate_label_synonym	D-cysteinylation [MOP:0000012]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-cysteinylation	
WARN	duplicate_label_synonym	cystein-S-ylation [MOP:0000013]	hasExactSynonym [oboInOwl:hasExactSynonym]	cystein-S-ylation	
WARN	duplicate_label_synonym	D-cystein-S-ylation [MOP:0000014]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-cystein-S-ylation	
WARN	duplicate_label_synonym	L-cystein-S-ylation [MOP:0000015]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-cystein-S-ylation	
WARN	duplicate_label_synonym	methionylation [MOP:0000016]	hasExactSynonym [oboInOwl:hasExactSynonym]	methionylation	
WARN	duplicate_label_synonym	L-methionylation [MOP:0000017]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-methionylation	
WARN	duplicate_label_synonym	N-formyl-L-methionylation [MOP:0000018]	hasExactSynonym [oboInOwl:hasExactSynonym]	N-formyl-L-methionylation	
WARN	duplicate_label_synonym	D-methionylation [MOP:0000019]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-methionylation	
WARN	duplicate_label_synonym	(R)-lipoylation [MOP:0000020]	hasExactSynonym [oboInOwl:hasExactSynonym]	(R)-lipoylation	
WARN	duplicate_label_synonym	(S)-lipoylation [MOP:0000021]	hasExactSynonym [oboInOwl:hasExactSynonym]	(S)-lipoylation	
WARN	duplicate_label_synonym	lipoylation [MOP:0000022]	hasExactSynonym [oboInOwl:hasExactSynonym]	lipoylation	
WARN	duplicate_label_synonym	(R)-dihydrolipoylation [MOP:0000023]	hasExactSynonym [oboInOwl:hasExactSynonym]	(R)-dihydrolipoylation	
WARN	duplicate_label_synonym	(S)-dihydrolipoylation [MOP:0000024]	hasExactSynonym [oboInOwl:hasExactSynonym]	(S)-dihydrolipoylation	
WARN	duplicate_label_synonym	alpha-sialoylation [MOP:0000025]	hasExactSynonym [oboInOwl:hasExactSynonym]	alpha-sialoylation	
WARN	duplicate_label_synonym	beta-sialoylation [MOP:0000026]	hasExactSynonym [oboInOwl:hasExactSynonym]	beta-sialoylation	
WARN	duplicate_label_synonym	glyceroylation [MOP:0000027]	hasExactSynonym [oboInOwl:hasExactSynonym]	glyceroylation	
WARN	duplicate_label_synonym	carboacylation [MOP:0000028]	hasExactSynonym [oboInOwl:hasExactSynonym]	carboacylation	
WARN	duplicate_label_synonym	univalent carboacylation [MOP:0000029]	hasExactSynonym [oboInOwl:hasExactSynonym]	univalent carboacylation	
WARN	duplicate_label_synonym	acetylation [MOP:0000030]	hasExactSynonym [oboInOwl:hasExactSynonym]	acetylation	
WARN	duplicate_label_synonym	alpha-aminoacylation [MOP:0000031]	hasExactSynonym [oboInOwl:hasExactSynonym]	alpha-aminoacylation	
WARN	duplicate_label_synonym	alanylation [MOP:0000032]	hasExactSynonym [oboInOwl:hasExactSynonym]	alanylation	
WARN	duplicate_label_synonym	L-alanylation [MOP:0000033]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-alanylation	
WARN	duplicate_label_synonym	D-alanylation [MOP:0000034]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-alanylation	
WARN	duplicate_label_synonym	alpha-aspartylation [MOP:0000035]	hasExactSynonym [oboInOwl:hasExactSynonym]	alpha-aspartylation	
WARN	duplicate_label_synonym	L-alpha-aspartylation [MOP:0000036]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-alpha-aspartylation	
WARN	duplicate_label_synonym	D-alpha-aspartylation [MOP:0000037]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-alpha-aspartylation	
WARN	duplicate_label_synonym	alpha-glutamylation [MOP:0000038]	hasExactSynonym [oboInOwl:hasExactSynonym]	alpha-glutamylation	
WARN	duplicate_label_synonym	L-alpha-glutamylation [MOP:0000039]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-alpha-glutamylation	
WARN	duplicate_label_synonym	D-alpha-glutamylation [MOP:0000040]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-alpha-glutamylation	
WARN	duplicate_label_synonym	pteroylglutamylation [MOP:0000041]	hasExactSynonym [oboInOwl:hasExactSynonym]	pteroylglutamylation	
WARN	duplicate_label_synonym	phenylalanylation [MOP:0000042]	hasExactSynonym [oboInOwl:hasExactSynonym]	phenylalanylation	
WARN	duplicate_label_synonym	L-phenylalanylation [MOP:0000043]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-phenylalanylation	
WARN	duplicate_label_synonym	D-phenylalanylation [MOP:0000044]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-phenylalanylation	
WARN	duplicate_label_synonym	glycylation [MOP:0000045]	hasExactSynonym [oboInOwl:hasExactSynonym]	glycylation	
WARN	duplicate_label_synonym	histidylation [MOP:0000046]	hasExactSynonym [oboInOwl:hasExactSynonym]	histidylation	
WARN	duplicate_label_synonym	L-histidylation [MOP:0000047]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-histidylation	
WARN	duplicate_label_synonym	D-histidylation [MOP:0000048]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-histidylation	
WARN	duplicate_label_synonym	isoleucylation [MOP:0000049]	hasExactSynonym [oboInOwl:hasExactSynonym]	isoleucylation	
WARN	duplicate_label_synonym	L-isoleucylation [MOP:0000050]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-isoleucylation	
WARN	duplicate_label_synonym	D-isoleucylation [MOP:0000051]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-isoleucylation	
WARN	duplicate_label_synonym	lysylation [MOP:0000052]	hasExactSynonym [oboInOwl:hasExactSynonym]	lysylation	
WARN	duplicate_label_synonym	L-lysylation [MOP:0000053]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-lysylation	
WARN	duplicate_label_synonym	deoxyhypusinylation [MOP:0000054]	hasExactSynonym [oboInOwl:hasExactSynonym]	deoxyhypusinylation	
WARN	duplicate_label_synonym	D-lysylation [MOP:0000055]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-lysylation	
WARN	duplicate_label_synonym	leucylation [MOP:0000056]	hasExactSynonym [oboInOwl:hasExactSynonym]	leucylation	
WARN	duplicate_label_synonym	L-leucylation [MOP:0000057]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-leucylation	
WARN	duplicate_label_synonym	D-leucylation [MOP:0000058]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-leucylation	
WARN	duplicate_label_synonym	asparaginylation [MOP:0000059]	hasExactSynonym [oboInOwl:hasExactSynonym]	asparaginylation	
WARN	duplicate_label_synonym	L-asparaginylation [MOP:0000060]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-asparaginylation	
WARN	duplicate_label_synonym	D-asparaginylation [MOP:0000061]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-asparaginylation	
WARN	duplicate_label_synonym	prolylation [MOP:0000062]	hasExactSynonym [oboInOwl:hasExactSynonym]	prolylation	
WARN	duplicate_label_synonym	L-prolylation [MOP:0000063]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-prolylation	
WARN	duplicate_label_synonym	D-prolylation [MOP:0000064]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-prolylation	
WARN	duplicate_label_synonym	glutaminylation [MOP:0000065]	hasExactSynonym [oboInOwl:hasExactSynonym]	glutaminylation	
WARN	duplicate_label_synonym	L-glutaminylation [MOP:0000066]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-glutaminylation	
WARN	duplicate_label_synonym	D-glutaminylation [MOP:0000067]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-glutaminylation	
WARN	duplicate_label_synonym	serylation [MOP:0000068]	hasExactSynonym [oboInOwl:hasExactSynonym]	serylation	
WARN	duplicate_label_synonym	L-serylation [MOP:0000069]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-serylation	
WARN	duplicate_label_synonym	D-serylation [MOP:0000070]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-serylation	
WARN	duplicate_label_synonym	threonylation [MOP:0000071]	hasExactSynonym [oboInOwl:hasExactSynonym]	threonylation	
WARN	duplicate_label_synonym	L-threonylation [MOP:0000072]	hasExactSynonym [oboInOwl:hasExactSynonym]	L-threonylation	
WARN	duplicate_label_synonym	D-threonylation [MOP:0000073]	hasExactSynonym [oboInOwl:hasExactSynonym]	D-threonylation	
WARN	duplicate_label_synonym	selenocysteinylation [MOP:0000074]	hasExactSynonym [oboInOwl:hasExactSynonym]	selenocysteinylation	
