Level	Rule Name	Subject	Property	Value
WARN	duplicate_exact_synonym	skin edema [MP:0001786]	hasExactSynonym [oboInOwl:hasExactSynonym]	subcutaneous oedema	
WARN	duplicate_exact_synonym	subcutaneous edema [MP:0013848]	hasExactSynonym [oboInOwl:hasExactSynonym]	subcutaneous oedema	
WARN	duplicate_exact_synonym	persistent truncus arteriosis [MP:0002633]	hasExactSynonym [oboInOwl:hasExactSynonym]	PTA	
WARN	duplicate_exact_synonym	persistent trigeminal artery [MP:0020500]	hasExactSynonym [oboInOwl:hasExactSynonym]	PTA	
WARN	duplicate_exact_synonym	heart hypoplasia [MP:0002740]	hasExactSynonym [oboInOwl:hasExactSynonym]	myocardial hypoplasia	
WARN	duplicate_exact_synonym	myocardium hypoplasia [MP:0010500]	hasExactSynonym [oboInOwl:hasExactSynonym]	myocardial hypoplasia	
WARN	duplicate_exact_synonym	abnormal gonadal ridge morphology [MP:0011411]	hasExactSynonym [oboInOwl:hasExactSynonym]	abnormal genital cord morphology	
WARN	duplicate_exact_synonym	abnormal sex cord morphology [MP:0030607]	hasExactSynonym [oboInOwl:hasExactSynonym]	abnormal genital cord morphology	
WARN	duplicate_exact_synonym	abnormal epidermal-dermal junction morphology [MP:0011159]	hasExactSynonym [oboInOwl:hasExactSynonym]	abnormal DEJ morphology	
WARN	duplicate_exact_synonym	abnormal dentinoenamel junction morphology [MP:0030511]	hasExactSynonym [oboInOwl:hasExactSynonym]	abnormal DEJ morphology	
WARN	missing_definition	normal phenotype [MP:0002873]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal renal sympathetic nerve activity [MP:0004050]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	increased renal sympathetic nerve activity [MP:0004051]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	decreased renal sympathetic nerve activity [MP:0004052]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	absent hippocampus CA1 region [MP:0008264]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	absent hippocampus CA2 region [MP:0008266]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal hippocampus CA3 region morphology [MP:0008267]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	absent hippocampus CA3 region [MP:0008268]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	absent hippocampus CA4 region [MP:0008270]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal hippocampus granule cell layer [MP:0008285]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal parafascicular nucleus morphology [MP:0008927]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal paraventricular thalamic nucleus morphology [MP:0008931]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal right lung cranial lobe morphology [MP:0009572]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal right lung middle lobe morphology [MP:0009573]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal right lung caudal lobe morphology [MP:0009574]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal submandibular lymph node morphology [MP:0009627]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal olfactory lobe morphology [MP:0009944]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal olfactory bulb glomerular layer morphology [MP:0009948]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal olfactory bulb granule cell layer morphology [MP:0009949]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal olfactory bulb internal plexiform layer morphology [MP:0009950]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal olfactory bulb mitral cell layer morphology [MP:0009951]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal cerebellum white matter morphology [MP:0009978]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal cerebellum vermis lobule I morphology [MP:0009988]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal cerebellum vermis lobule II morphology [MP:0009989]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal cerebellum vermis lobule III morphology [MP:0009990]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal cerebellum vermis lobule IV morphology [MP:0009991]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abnormal cerebellum vermis lobule IX morphology [MP:0009992]	IAO_0000115 [IAO:0000115]		
