Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	mpath.owl	dc11:description		
ERROR	duplicate_label	systemic plasmacytosis [MPATH:853]	label [rdfs:label]	systemic plasmacytosis	
ERROR	duplicate_label	systemic plasmacytosis [MPATH:876]	label [rdfs:label]	systemic plasmacytosis	
ERROR	duplicate_label	sarcoma [MPATH:550]	label [rdfs:label]	sarcoma	
ERROR	duplicate_label	sarcoma [MPATH:551]	label [rdfs:label]	sarcoma	
ERROR	duplicate_label	plasmacytosis [MPATH:852]	label [rdfs:label]	plasmacytosis	
ERROR	duplicate_label	plasmacytosis [MPATH:874]	label [rdfs:label]	plasmacytosis	
ERROR	duplicate_label	odontogenic tumor [MPATH:379]	label [rdfs:label]	odontogenic tumor	
ERROR	duplicate_label	odontogenic tumor [MPATH:386]	label [rdfs:label]	odontogenic tumor	
ERROR	duplicate_label	nephroblastomatosis [MPATH:574]	label [rdfs:label]	nephroblastomatosis	
ERROR	duplicate_label	nephroblastomatosis [MPATH:88]	label [rdfs:label]	nephroblastomatosis	
ERROR	duplicate_label	histiocytic sarcoma [MPATH:414]	label [rdfs:label]	histiocytic sarcoma	
ERROR	duplicate_label	histiocytic sarcoma [MPATH:506]	label [rdfs:label]	histiocytic sarcoma	
ERROR	duplicate_label	granular cell tumor [MPATH:413]	label [rdfs:label]	granular cell tumor	
ERROR	duplicate_label	granular cell tumor [MPATH:569]	label [rdfs:label]	granular cell tumor	
ERROR	duplicate_label	developmental hypoplasia [MPATH:65]	label [rdfs:label]	developmental hypoplasia	
ERROR	duplicate_label	developmental hypoplasia [MPATH:703]	label [rdfs:label]	developmental hypoplasia	
ERROR	duplicate_label	cutaneous plasmacytosis [MPATH:854]	label [rdfs:label]	cutaneous plasmacytosis	
ERROR	duplicate_label	cutaneous plasmacytosis [MPATH:875]	label [rdfs:label]	cutaneous plasmacytosis	
ERROR	missing_ontology_license	mpath.owl	dc:license		
ERROR	missing_ontology_title	mpath.owl	dc11:title		
WARN	annotation_whitespace	embryonal rhabdomyosarcoma [MPATH:710]	hasExactSynonym [oboInOwl:hasExactSynonym]	Myosarcoma 	
WARN	annotation_whitespace	embryonal rhabdomyosarcoma [MPATH:710]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	 Rhabdopoietic Sarcoma	
WARN	annotation_whitespace	embryonal rhabdomyosarcoma [MPATH:710]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	 Sarcoma Botryoides [Soft Tissues]	
WARN	annotation_whitespace	fibromatosis [MPATH:723]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	 Musculoaponeurotic Fibromatosis	
WARN	missing_definition	autoimmune mediated disease [MPATH:346]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	blepharitis [MPATH:546]	IAO_0000115 [IAO:0000115]		
