Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	MALDI Synapt G2 MS [MS:1001772]	IAO_0000115 [IAO:0000115]	Waters oa-ToF based MALDI Synapt G2 MS.	
ERROR	duplicate_definition	MALDI Synapt G2-S HDMS [MS:1001773]	IAO_0000115 [IAO:0000115]	Waters oa-ToF based MALDI Synapt G2 MS.	
ERROR	duplicate_definition	The allowed value-type for this CV term. [MS:1001690]	IAO_0000115 [IAO:0000115]	Uses c ions for spectrum matching with this relative factor.	
ERROR	duplicate_definition	The allowed value-type for this CV term. [MS:1001691]	IAO_0000115 [IAO:0000115]	Uses c ions for spectrum matching with this relative factor.	
ERROR	duplicate_definition	ProteomeDiscoverer:SEQUEST:Weight of v Ions [MS:1001692]	IAO_0000115 [IAO:0000115]	Uses c ions for spectrum matching with this relative factor.	
ERROR	duplicate_definition	ProteomeDiscoverer:SEQUEST:Weight of w Ions [MS:1001693]	IAO_0000115 [IAO:0000115]	Uses c ions for spectrum matching with this relative factor.	
ERROR	duplicate_definition	fragment neutral loss [MS:1001524]	IAO_0000115 [IAO:0000115]	This term can describe a neutral loss m/z value that is lost from an ion.	
ERROR	duplicate_definition	precursor neutral loss [MS:1001525]	IAO_0000115 [IAO:0000115]	This term can describe a neutral loss m/z value that is lost from an ion.	
ERROR	duplicate_definition	Q Exactive [MS:1001911]	IAO_0000115 [IAO:0000115]	Thermo Scientific Q Exactive.	
ERROR	duplicate_definition	Q Exactive HF [MS:1002523]	IAO_0000115 [IAO:0000115]	Thermo Scientific Q Exactive.	
ERROR	duplicate_definition	Xcalibur [MS:1000532]	IAO_0000115 [IAO:0000115]	Thermo Finnigan software for data acquisition and analysis.	
ERROR	duplicate_definition	Thermo Finnigan software [MS:1000693]	IAO_0000115 [IAO:0000115]	Thermo Finnigan software for data acquisition and analysis.	
ERROR	duplicate_definition	TopPIC:mod file [MS:1002925]	IAO_0000115 [IAO:0000115]	The text file containing the information of common PTMs.	
ERROR	duplicate_definition	TopMG:mod file [MS:1002943]	IAO_0000115 [IAO:0000115]	The text file containing the information of common PTMs.	
ERROR	duplicate_definition	count of identified clusters [MS:1002406]	IAO_0000115 [IAO:0000115]	The number of protein clusters that have been identified, which must match the number of clusters that pass the threshold in the file.	
ERROR	duplicate_definition	number of distinct protein sequences [MS:1002408]	IAO_0000115 [IAO:0000115]	The number of protein clusters that have been identified, which must match the number of clusters that pass the threshold in the file.	
ERROR	duplicate_definition	plasma desorption [MS:1000134]	IAO_0000115 [IAO:0000115]	The ionization of material in a solid sample by bombarding it with ionic or neutral atoms formed as a result of the fission of a suitable nuclide, typically 252Cf. Synonymous with fission fragment ionization.	
ERROR	duplicate_definition	plasma desorption ionization [MS:1000400]	IAO_0000115 [IAO:0000115]	The ionization of material in a solid sample by bombarding it with ionic or neutral atoms formed as a result of the fission of a suitable nuclide, typically 252Cf. Synonymous with fission fragment ionization.	
ERROR	duplicate_definition	accelerating voltage [MS:1000304]	IAO_0000115 [IAO:0000115]	The electrical potential used to impart kinetic energy to ions in a mass spectrometer.	
ERROR	duplicate_definition	ion optics type [MS:1000597]	IAO_0000115 [IAO:0000115]	The electrical potential used to impart kinetic energy to ions in a mass spectrometer.	
ERROR	duplicate_definition	TopPIC:spectral cutoff value [MS:1002920]	IAO_0000115 [IAO:0000115]	Spectrum-level cutoff value for filtering identified proteoform spectrum matches.	
ERROR	duplicate_definition	TopMG:spectral cutoff value [MS:1002940]	IAO_0000115 [IAO:0000115]	Spectrum-level cutoff value for filtering identified proteoform spectrum matches.	
ERROR	duplicate_definition	TopPIC:spectral cutoff type [MS:1002919]	IAO_0000115 [IAO:0000115]	Spectrum-level cutoff type for filtering identified proteoform spectrum matches.	
ERROR	duplicate_definition	TopMG:spectral cutoff type [MS:1002939]	IAO_0000115 [IAO:0000115]	Spectrum-level cutoff type for filtering identified proteoform spectrum matches.	
ERROR	duplicate_definition	Genespring MS [MS:1000684]	IAO_0000115 [IAO:0000115]	Software for quantitation and statistical analysis of TOF and Q-TOF LC/MS data.	
ERROR	duplicate_definition	MassHunter Mass Profiler [MS:1000685]	IAO_0000115 [IAO:0000115]	Software for quantitation and statistical analysis of TOF and Q-TOF LC/MS data.	
ERROR	duplicate_definition	ChromaTOF software [MS:1001799]	IAO_0000115 [IAO:0000115]	Software for acquisition, processing and analysis of data for LECO instruments.	
ERROR	duplicate_definition	ChromaTOF HRT software [MS:1001877]	IAO_0000115 [IAO:0000115]	Software for acquisition, processing and analysis of data for LECO instruments.	
ERROR	duplicate_definition	MALDI Solutions [MS:1001558]	IAO_0000115 [IAO:0000115]	Shimadzu Biotech software for data acquisition, processing, and analysis.	
ERROR	duplicate_definition	MALDI Solutions Microbial Identification [MS:1001878]	IAO_0000115 [IAO:0000115]	Shimadzu Biotech software for data acquisition, processing, and analysis.	
ERROR	duplicate_definition	4000 Series Explorer Software [MS:1000659]	IAO_0000115 [IAO:0000115]	SCIEX or Applied Biosystems software for data acquisition and analysis.	
ERROR	duplicate_definition	GPS Explorer [MS:1000661]	IAO_0000115 [IAO:0000115]	SCIEX or Applied Biosystems software for data acquisition and analysis.	
ERROR	duplicate_definition	SCIEX software [MS:1000690]	IAO_0000115 [IAO:0000115]	SCIEX or Applied Biosystems software for data acquisition and analysis.	
ERROR	duplicate_definition	TopPIC:proteoform-level cutoff value [MS:1002922]	IAO_0000115 [IAO:0000115]	Proteoform-level cutoff value for filtering identified proteoform spectrum matches.	
ERROR	duplicate_definition	TopMG:proteoform-level cutoff value [MS:1002942]	IAO_0000115 [IAO:0000115]	Proteoform-level cutoff value for filtering identified proteoform spectrum matches.	
ERROR	duplicate_definition	The allowed value-type for this CV term. [MS:1002921]	IAO_0000115 [IAO:0000115]	Proteoform-level cutoff type for filtering identified proteoform spectrum matches.	
ERROR	duplicate_definition	TopMG:proteoform-level cutoff type [MS:1002941]	IAO_0000115 [IAO:0000115]	Proteoform-level cutoff type for filtering identified proteoform spectrum matches.	
ERROR	duplicate_definition	TopPIC:use TopFD feature [MS:1002927]	IAO_0000115 [IAO:0000115]	Proteoform identification using TopFD feature file.	
ERROR	duplicate_definition	TopMG:use TopFD feature [MS:1002945]	IAO_0000115 [IAO:0000115]	Proteoform identification using TopFD feature file.	
ERROR	duplicate_definition	ProteomeDiscoverer:Mascot:Number of attempts to submit the search [MS:1001650]	IAO_0000115 [IAO:0000115]	Number of attempts to submit the Mascot search.	
ERROR	duplicate_definition	ProteomeDiscoverer:Mascot:X Static Modification [MS:1001651]	IAO_0000115 [IAO:0000115]	Number of attempts to submit the Mascot search.	
ERROR	duplicate_definition	Bruker/Agilent YEP nativeID format [MS:1000771]	IAO_0000115 [IAO:0000115]	Native format defined by scan=xsd:nonNegativeInteger.	
ERROR	duplicate_definition	Bruker BAF nativeID format [MS:1000772]	IAO_0000115 [IAO:0000115]	Native format defined by scan=xsd:nonNegativeInteger.	
