Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	active foraging behavior [NBO:0015003]	IAO_0000115 [IAO:0000115]	Feeding behavior during which a living entity acquires food and energy by actively searching for food resources.	
ERROR	duplicate_definition	active foraging behavior [NBO:0015004]	IAO_0000115 [IAO:0000115]	Feeding behavior during which a living entity acquires food and energy by actively searching for food resources.	
ERROR	duplicate_definition	smoking behavior [NBO:0015005]	IAO_0000115 [IAO:0000115]	Consumption behavior that involves inhaling a material (such as finely ground tobacco leaves) through the nose.	
ERROR	duplicate_definition	snuffing behavior [NBO:0015009]	IAO_0000115 [IAO:0000115]	Consumption behavior that involves inhaling a material (such as finely ground tobacco leaves) through the nose.	
ERROR	missing_ontology_description	nbo.owl	dc11:description		
ERROR	duplicate_label	active foraging behavior [NBO:0015003]	label [rdfs:label]	active foraging behavior@en	
ERROR	duplicate_label	active foraging behavior [NBO:0015004]	label [rdfs:label]	active foraging behavior@en	
ERROR	missing_ontology_license	nbo.owl	dc:license		
ERROR	missing_ontology_title	nbo.owl	dc11:title		
WARN	duplicate_exact_synonym	seizures [NBO:0000025]	hasExactSynonym [oboInOwl:hasExactSynonym]	unprovoked seizure	
WARN	duplicate_exact_synonym	epilepsy [NBO:0000642]	hasExactSynonym [oboInOwl:hasExactSynonym]	unprovoked seizure	
WARN	duplicate_exact_synonym	REM sleep behavior disorder [NBO:0000503]	hasExactSynonym [oboInOwl:hasExactSynonym]	RBD	
WARN	duplicate_exact_synonym	recurrent brief depression [NBO:0000524]	hasExactSynonym [oboInOwl:hasExactSynonym]	RBD	
WARN	duplicate_exact_synonym	pathological anxiety [NBO:0000244]	hasExactSynonym [oboInOwl:hasExactSynonym]	hysteria	
WARN	duplicate_exact_synonym	conversion disorder [NBO:0000250]	hasExactSynonym [oboInOwl:hasExactSynonym]	hysteria	
WARN	duplicate_exact_synonym	discriminatory behavior [NBO:0000277]	hasExactSynonym [oboInOwl:hasExactSynonym]	<new synonym>	
WARN	duplicate_exact_synonym	bruxism [NBO:0000420]	hasExactSynonym [oboInOwl:hasExactSynonym]	<new synonym>	
WARN	duplicate_label_synonym	aggressive behavior towards humans [NBO:0000104]	hasExactSynonym [oboInOwl:hasExactSynonym]	aggressive behavior towards humans	
WARN	duplicate_label_synonym	aggressive behavior towards animals [NBO:0000105]	hasExactSynonym [oboInOwl:hasExactSynonym]	aggressive behavior towards animals	
WARN	duplicate_label_synonym	aggressive behavior towards objects [NBO:0000106]	hasExactSynonym [oboInOwl:hasExactSynonym]	aggressive behavior towards objects	
WARN	duplicate_label_synonym	aggressive behavior towards mice [NBO:0000107]	hasExactSynonym [oboInOwl:hasExactSynonym]	aggressive behavior towards mice	
WARN	duplicate_label_synonym	aggressive behavior towards women [NBO:0000108]	hasExactSynonym [oboInOwl:hasExactSynonym]	aggressive behavior towards women	
WARN	duplicate_label_synonym	aggressive behavior towards men [NBO:0000109]	hasExactSynonym [oboInOwl:hasExactSynonym]	aggressive behavior towards men	
WARN	duplicate_label_synonym	aggressive behavior towards male mice [NBO:0000110]	hasExactSynonym [oboInOwl:hasExactSynonym]	aggressive behavior towards male mice	
WARN	duplicate_label_synonym	aggressive behavior towards female mice [NBO:0000111]	hasExactSynonym [oboInOwl:hasExactSynonym]	aggressive behavior towards female mice	
WARN	duplicate_label_synonym	aggressive behavior towards inanimate objects [NBO:0000112]	hasExactSynonym [oboInOwl:hasExactSynonym]	aggressive behavior towards inanimate objects	
WARN	duplicate_label_synonym	aggressive behavior towards animate objects [NBO:0000113]	hasExactSynonym [oboInOwl:hasExactSynonym]	aggressive behavior towards animate objects	
WARN	duplicate_label_synonym	aggressive behavior towards children [NBO:0000114]	hasExactSynonym [oboInOwl:hasExactSynonym]	aggressive behavior towards children	
WARN	duplicate_label_synonym	aggressive behavior towards pups [NBO:0000115]	hasExactSynonym [oboInOwl:hasExactSynonym]	aggressive behavior towards pups	
WARN	duplicate_label_synonym	aggressive behavior towards males [NBO:0000118]	hasExactSynonym [oboInOwl:hasExactSynonym]	aggressive behavior towards males	
WARN	duplicate_label_synonym	submissive behavior towards males [NBO:0000123]	hasExactSynonym [oboInOwl:hasExactSynonym]	submissive behavior towards males	
WARN	duplicate_label_synonym	submissive behavior towards females [NBO:0000124]	hasExactSynonym [oboInOwl:hasExactSynonym]	submissive behavior towards females	
WARN	duplicate_label_synonym	submissive behavior towards male mice [NBO:0000125]	hasExactSynonym [oboInOwl:hasExactSynonym]	submissive behavior towards male mice	
WARN	missing_definition	body part movement [NBO:0000001]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	whole body movement [NBO:0000002]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	emotional behavior [NBO:0000003]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	reflexive behavior phenotype [NBO:0000005]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	learning and/or memory behavior [NBO:0000006]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mouth movement [NBO:0000007]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	rhythmic behavior [NBO:0000008]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	locomotory behavior phenotype [NBO:0000009]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	reproductive behavior [NBO:0000010]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	social behavior [NBO:0000011]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	seizures/epilepsy [NBO:0000012]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	locomotory behavior [NBO:0000013]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mating behavior [NBO:0000014]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	aggressive behavior [NBO:0000015]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	jumping behavior [NBO:0000016]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	biting [NBO:0000017]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	fear/anxiety related behavior [NBO:0000018]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	licking [NBO:0000019]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	head movement [NBO:0000020]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	learning behavior [NBO:0000022]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	head shaking [NBO:0000023]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	sleeping behavior [NBO:0000024]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	seizures [NBO:0000025]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	head rotation [NBO:0000026]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	grooming behavior [NBO:0000027]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	akinesia [NBO:0000028]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bradykinesia [NBO:0000029]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hyperactivity [NBO:0000030]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hypoactivity [NBO:0000031]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	paralysis [NBO:0000032]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	carpoptosis [NBO:0000033]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	sexual activity [NBO:0000034]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	emission behavior [NBO:0000035]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	behavioral control of production of sound [NBO:0000036]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	vocalization behavior [NBO:0000037]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	behavioral control of excretion [NBO:0000038]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	behavioral control of defecation [NBO:0000039]	IAO_0000115 [IAO:0000115]		
