Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	ncro.owl	dc11:description		
ERROR	missing_ontology_license	ncro.owl	dc:license		
ERROR	missing_ontology_title	ncro.owl	dc11:title		
WARN	annotation_whitespace	carcinogenicity [NCRO:0000044]	IAO_0000115 [IAO:0000115]	 The ability or tendency to produce cancer.	
WARN	missing_definition	miRNA_target_gene_primary_transcript [NCRO:0000001]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	miRNA_target_gene_mRNA [NCRO:0000002]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	miRNA_and_target_gene_binding [NCRO:0000003]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	fly_miRNA [NCRO:0000004]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	c_elegans_miRNA [NCRO:0000005]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bacterial_miRNA [NCRO:0000006]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	virus_miRNA [NCRO:0000007]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	non_mammalian_miRNA [NCRO:0000008]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mammalian_miRNA [NCRO:0000009]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	miRNA_expression [NCRO:0000010]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	protein_miRNA_promoter_binding [NCRO:0000011]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	promoter_of_miRNA [NCRO:0000012]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	miRNA_transcription_initiation [NCRO:0000013]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	transcription_of_miRNA [NCRO:0000014]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	animal_study_model [NCRO:0000015]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	miRNA_target_gene [NCRO:0000025]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	gene_sequence [NCRO:0000027]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	high_pressure [NCRO:0000030]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	low_pressure [NCRO:0000031]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	normal_pressure [NCRO:0000032]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	high_temperature [NCRO:0000033]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	low_temperature [NCRO:0000034]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	normal_temperature [NCRO:0000035]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	harmful_role [NCRO:0000040]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	harmful_environmental_effect [NCRO:0000041]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	toxic_activity [NCRO:0000043]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	adult_tissue [NCRO:0000098]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	treatment [NCRO:0000123]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pharmaceutical_treatment [NCRO:0000225]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	psychological_treatment [NCRO:0000227]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	analgesic_treatment [NCRO:0000229]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	antibiotic_treatment [NCRO:0000230]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	antihyperlipidemic_treatment [NCRO:0000231]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	antihypertensive_treatment [NCRO:0000232]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	mouse_miRNA [NCRO:0000701]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	TE_juxtaposition [NCRO:0000801]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	TE_insertion [NCRO:0000803]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	positive_strand_insertion [NCRO:0000807]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	negative_strand_insertion [NCRO:0000809]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	human_miRNA [NCRO:0000810]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-585 [NCRO:0000811]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-620 [NCRO:0000812]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-659 [NCRO:0000813]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-2113 [NCRO:0000814]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-1229 [NCRO:0000815]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-1234 [NCRO:0000816]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-548o [NCRO:0000817]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-1279 [NCRO:0000818]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-1321 [NCRO:0000819]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-1470 [NCRO:0000820]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-1539 [NCRO:0000821]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-1973 [NCRO:0000822]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-2052 [NCRO:0000823]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-2053 [NCRO:0000824]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-2054 [NCRO:0000825]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-2115 [NCRO:0000826]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-2116 [NCRO:0000827]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-2117 [NCRO:0000828]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-2276 [NCRO:0000829]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-2277 [NCRO:0000830]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-2681 [NCRO:0000831]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-2682 [NCRO:0000832]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-2909 [NCRO:0000833]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-3115 [NCRO:0000834]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-3123 [NCRO:0000835]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-3124 [NCRO:0000836]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-3125 [NCRO:0000837]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-3128 [NCRO:0000838]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-3131 [NCRO:0000839]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-3133 [NCRO:0000840]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-3134 [NCRO:0000841]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-3137 [NCRO:0000842]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	hsa-mir-3139 [NCRO:0000843]	IAO_0000115 [IAO:0000115]		
