Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	NOMEN	dc11:description		
ERROR	duplicate_label	ICZN incorrect original spelling [NOMEN:0000044]	label [rdfs:label]	ICZN incorrect original spelling@en	
ERROR	duplicate_label	ICZN incorrect original spelling [NOMEN:0000217]	label [rdfs:label]	ICZN incorrect original spelling@en	
ERROR	duplicate_label	ICZN homonym [NOMEN:0000043]	label [rdfs:label]	ICZN homonym@en	
ERROR	duplicate_label	ICZN homonym [NOMEN:0000289]	label [rdfs:label]	ICZN homonym@en	
ERROR	duplicate_label	ICNP homonym [NOMEN:0000091]	label [rdfs:label]	ICNP homonym@en	
ERROR	duplicate_label	ICNP homonym [NOMEN:0000097]	label [rdfs:label]	ICNP homonym@en	
ERROR	duplicate_label	ICN sanctioned name [NOMEN:0000035]	label [rdfs:label]	ICN sanctioned name@en	
ERROR	duplicate_label	ICN sanctioned name [NOMEN:0000385]	label [rdfs:label]	ICN sanctioned name@en	
ERROR	duplicate_label	ICN homonym [NOMEN:0000016]	label [rdfs:label]	ICN homonym@en	
ERROR	duplicate_label	ICN homonym [NOMEN:0000391]	label [rdfs:label]	ICN homonym@en	
ERROR	duplicate_label	ICN conserved name [NOMEN:0000009]	label [rdfs:label]	ICN conserved name@en	
ERROR	duplicate_label	ICN conserved name [NOMEN:0000389]	label [rdfs:label]	ICN conserved name@en	
ERROR	missing_ontology_license	NOMEN	dc:license		
ERROR	missing_ontology_title	NOMEN	dc11:title		
WARN	missing_definition	code applicablility start date [NOMEN:0000000]	IAO:0000115		
WARN	missing_definition	code applicability end date [NOMEN:0000001]	IAO:0000115		
WARN	missing_definition	ICZN article [NOMEN:0000002]	IAO:0000115		
WARN	missing_definition	ICZN nonorder [NOMEN:0000003]	IAO:0000115		
WARN	missing_definition	ICN basionym [NOMEN:0000004]	IAO:0000115		
WARN	missing_definition	ICN autonym [NOMEN:0000005]	IAO:0000115		
WARN	missing_definition	ICN subdivision of species and infraspecies [NOMEN:0000006]	IAO:0000115		
WARN	missing_definition	ICN validly published name [NOMEN:0000007]	IAO:0000115		
WARN	missing_definition	ICN invalidly published name [NOMEN:0000008]	IAO:0000115		
WARN	missing_definition	ICN conserved name [NOMEN:0000009]	IAO:0000115		
WARN	missing_definition	ICN correct name [NOMEN:0000010]	IAO:0000115		
WARN	missing_definition	ICN incorrect name [NOMEN:0000011]	IAO:0000115		
WARN	missing_definition	ICN article [NOMEN:0000012]	IAO:0000115		
WARN	missing_definition	ICN not Latin [NOMEN:0000013]	IAO:0000115		
WARN	missing_definition	ICN incorrect original spelling [NOMEN:0000014]	IAO:0000115		
WARN	missing_definition	ICN superfluous [NOMEN:0000015]	IAO:0000115		
WARN	missing_definition	ICN homonym [NOMEN:0000016]	IAO:0000115		
WARN	missing_definition	synonym [NOMEN:0000017]	IAO:0000115		
WARN	missing_definition	abbreviation [NOMEN:0000018]	IAO:0000115		
WARN	missing_definition	ICN as synonym [NOMEN:0000019]	IAO:0000115		
WARN	missing_definition	ICN conserved spelling [NOMEN:0000020]	IAO:0000115		
WARN	missing_definition	ICN adopted by Fries [NOMEN:0000021]	IAO:0000115		
WARN	missing_definition	ICN adopted by Persoon [NOMEN:0000022]	IAO:0000115		
WARN	missing_definition	ICZN conserved work [NOMEN:0000023]	IAO:0000115		
