Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	vocalization behavior quality [OBA:1000870]	IAO_0000115 [IAO:0000115]	The quality of a vocalization behavior.	
ERROR	duplicate_definition	vocalization trait [OBA:VT0001529]	IAO_0000115 [IAO:0000115]	The quality of a vocalization behavior.	
ERROR	duplicate_definition	parental behavior quality [OBA:1000791]	IAO_0000115 [IAO:0000115]	The quality of a parental behavior.	
ERROR	duplicate_definition	parental behavior trait [OBA:VT0002068]	IAO_0000115 [IAO:0000115]	The quality of a parental behavior.	
ERROR	duplicate_definition	grooming behavior quality [OBA:1000803]	IAO_0000115 [IAO:0000115]	The quality of a grooming behavior.	
ERROR	duplicate_definition	grooming behavior trait [OBA:VT0001440]	IAO_0000115 [IAO:0000115]	The quality of a grooming behavior.	
ERROR	duplicate_definition	myelin sheath morphology [OBA:0003880]	IAO_0000115 [IAO:0000115]	The morphology of a myelin sheath.	
ERROR	duplicate_definition	myelin sheath morphology trait [OBA:VT0003871]	IAO_0000115 [IAO:0000115]	The morphology of a myelin sheath.	
ERROR	duplicate_definition	protein amount [OBA:1001016]	IAO_0000115 [IAO:0000115]	The amount of a protein.	
ERROR	duplicate_definition	protein amount [OBA:VT0010120]	IAO_0000115 [IAO:0000115]	The amount of a protein.	
ERROR	duplicate_definition	neurotransmitter levels [OBA:0000116]	IAO_0000115 [IAO:0000115]	The amount of a neurotransmitter.	
ERROR	duplicate_definition	neurotransmitter amount [OBA:1000993]	IAO_0000115 [IAO:0000115]	The amount of a neurotransmitter.	
ERROR	misused_obsolete_label	obsolete podocyte foot process morphology [OBA:0004288]	label [rdfs:label]	obsolete podocyte foot process morphology	
ERROR	misused_obsolete_label	obsolete podocyte foot process amount [OBA:0004312]	label [rdfs:label]	obsolete podocyte foot process amount	
ERROR	missing_ontology_description	oba.owl	dc11:description		
ERROR	duplicate_label	thymus mass [OBA:1001040]	label [rdfs:label]	thymus mass	
ERROR	duplicate_label	thymus mass [OBA:VT0004954]	label [rdfs:label]	thymus mass	
ERROR	duplicate_label	spleen mass [OBA:1001032]	label [rdfs:label]	spleen mass	
ERROR	duplicate_label	spleen mass [OBA:VT0004951]	label [rdfs:label]	spleen mass	
ERROR	duplicate_label	protein amount [OBA:1001016]	label [rdfs:label]	protein amount	
ERROR	duplicate_label	protein amount [OBA:VT0010120]	label [rdfs:label]	protein amount	
ERROR	duplicate_label	placenta mass [OBA:1001031]	label [rdfs:label]	placenta mass	
ERROR	duplicate_label	placenta mass [OBA:VT0004257]	label [rdfs:label]	placenta mass	
ERROR	duplicate_label	lung mass [OBA:1001024]	label [rdfs:label]	lung mass	
ERROR	duplicate_label	lung mass [OBA:VT0005629]	label [rdfs:label]	lung mass	
ERROR	duplicate_label	liver mass [OBA:1001039]	label [rdfs:label]	liver mass	
ERROR	duplicate_label	liver mass [OBA:VT0003402]	label [rdfs:label]	liver mass	
ERROR	duplicate_label	kidney mass [OBA:1001025]	label [rdfs:label]	kidney mass	
ERROR	duplicate_label	kidney mass [OBA:VT0002707]	label [rdfs:label]	kidney mass	
ERROR	duplicate_label	heart mass [OBA:1001020]	label [rdfs:label]	heart mass	
ERROR	duplicate_label	heart mass [OBA:VT0007028]	label [rdfs:label]	heart mass	
ERROR	duplicate_label	copper amount [OBA:1000943]	label [rdfs:label]	copper amount	
ERROR	duplicate_label	copper amount [OBA:VT0003952]	label [rdfs:label]	copper amount	
ERROR	duplicate_label	brain mass [OBA:1001029]	label [rdfs:label]	brain mass	
ERROR	duplicate_label	brain mass [OBA:VT0002176]	label [rdfs:label]	brain mass	
ERROR	duplicate_label	aorta mass [OBA:0003746]	label [rdfs:label]	aorta mass	
ERROR	duplicate_label	aorta mass [OBA:VT0002845]	label [rdfs:label]	aorta mass	
ERROR	duplicate_label	abdominal fat pad mass [OBA:1001036]	label [rdfs:label]	abdominal fat pad mass	
ERROR	duplicate_label	abdominal fat pad mass [OBA:VT1000711]	label [rdfs:label]	abdominal fat pad mass	
ERROR	missing_ontology_license	oba.owl	dc:license		
ERROR	missing_ontology_title	oba.owl	dc11:title		
ERROR	multiple_labels	membrane potential in photoreceptor cell [OBA:0000100]	label [rdfs:label]	membrane potential in photoreceptor cell	
ERROR	multiple_labels	membrane potential in photoreceptor cell [OBA:0000100]	label [rdfs:label]	photoreceptor cell membrane potential	
