Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	data set following probability distribution [OBCS:0000224]	IAO_0000115 [IAO:0000115]	A data set that follows a probability distribution@en	
ERROR	duplicate_definition	normally distributed data set [OBCS:0000225]	IAO_0000115 [IAO:0000115]	A data set that follows a probability distribution@en	
ERROR	multiple_definitions	intent-to-treat analysis [OBCS:0000240]	IAO_0000115 [IAO:0000115]	An inferential statistical data analysis that  includes all randomized patients in the groups to which they were randomly assigned. The intent-to-treat analysis  is based on the initial treatment assignment and not on the treatment eventually received.  ITT analysis includes every subject who is randomized according to randomized treatment assignment. It ignores noncompliance, protocol deviations, withdrawal, and anything that happens after randomization.	
ERROR	multiple_definitions	intent-to-treat analysis [OBCS:0000240]	IAO_0000115 [IAO:0000115]	HL, QL, YH	
ERROR	missing_ontology_title	obcs.owl	dc11:title		
WARN	annotation_whitespace	statistical data analysis [OBCS:0000001]	IAO_0000115 [IAO:0000115]	a data transformation that has input of mulitple data and report overall trend of the data. 	
WARN	annotation_whitespace	data collection [OBCS:0000002]	IAO_0000119 [IAO:0000119]	WEB: http://en.wikipedia.org/wiki/Data_collection 	
WARN	annotation_whitespace	sensitivity [OBCS:0000058]	IAO_0000115 [IAO:0000115]	A data item that measures the proportion of actual positives which are correctly identified as such (e.g. the percentage of sick people who are correctly identified as having the condition). 	
WARN	annotation_whitespace	validity [OBCS:0000060]	IAO_0000115 [IAO:0000115]	A data item that refers to the extent to which a concept conclusion or measurement is well-founded and corresponds accurately to the real world. 	
WARN	annotation_whitespace	data sampling design [OBCS:0000062]	IAO_0000115 [IAO:0000115]	A plan specification that provides a detailed outline of which measurements will be taken at what times, on which material, in what manner, and by whom. Sampling plans should be designed in such a way that the resulting data will contain a representative sample of the parameters of interest and allow for all questions, as stated in the goals, to be answered. 	
WARN	annotation_whitespace	likelihood ratio [OBCS:0000118]	IAO_0000115 [IAO:0000115]	A quantitative confidence value that expresses how many times more likely the data are under one model than the other. 	
WARN	annotation_whitespace	inferential statistical data analysis objective [OBCS:0000124]	IAO_0000115 [IAO:0000115]	A statistical data analysis objective where the aim is to make inference using population sample data. 	
WARN	annotation_whitespace	random variable [OBCS:0000126]	IAO_0000119 [IAO:0000119]	WEB: http://en.wikipedia.org/wiki/Random_variable  	
WARN	annotation_whitespace	data collection objective [OBCS:0000127]	IAO_0000115 [IAO:0000115]	An objective specification where the aim is to collect data. 	
WARN	annotation_whitespace	continuous random variable [OBCS:0000134]	IAO_0000119 [IAO:0000119]	WEB: http://www.stats.gla.ac.uk/steps/glossary/probability_distributions.html#contvar 	
WARN	annotation_whitespace	discrete random variable [OBCS:0000135]	IAO_0000119 [IAO:0000119]	WEB: http://www.stats.gla.ac.uk/steps/glossary/probability_distributions.html#contvar 	
WARN	annotation_whitespace	robust multi-array average normalization [OBCS:0000140]	IAO_0000115 [IAO:0000115]	A normalization data transformation that used to create normalized gene expression level from microarray raw data. The raw intensity values are background corrected, log2 transformed and then quantile normalized in the RMA normalization process. 	
WARN	annotation_whitespace	Patterns from Gene Expression software [OBCS:0000165]	IAO_0000116 [IAO:0000116]	The input consists of (replicated) intensities from a collection of array experiments from two or more conditions (or from a collection of direct comparisons on 2-channel arrays). The output consists of patterns, one for each row identifier in the data file. One condition is used as a reference to which the other types are compared. The length of a pattern equals the number of non-reference sample types. The symbols in the patterns are integers, where positive integers represent up-regulation as compared to the reference sample type and negative integers represent down-regulation. The patterns are based on the false discovery rates for each position in the pattern, so that the number of positive and negative symbols that appear in each position of the pattern is as descriptive as the data variability allows. The patterns generated are easily interpretable in that integers are used to represent different levels of up- or down-regulation as compared to the reference sample type. 	
WARN	annotation_whitespace	numerical data set [OBCS:0000226]	IAO_0000115 [IAO:0000115]	A data set that is an aggregate of numerical data item. 	
