Level	Rule Name	Subject	Property	Value
ERROR	missing_ontology_description	ohd.owl	dc11:description		
ERROR	multiple_definitions	dental restoration material role [OHD:0000191]	IAO_0000115 [IAO:0000115]	A functional prothetic role that is borne by a portion of dental restoration material and is realized in a tooth restoration procedure in which the restoration material becomes part of a restored tooth.@en	
ERROR	multiple_definitions	dental restoration material role [OHD:0000191]	IAO_0000115 [IAO:0000115]	Bill Duncan 12/11/2014:    Changed definition to read that a \"portion of dental restoration material\" is realized by a \"tooth restoration procedure\".	
ERROR	missing_ontology_license	ohd.owl	dc:license		
ERROR	missing_ontology_title	ohd.owl	dc11:title		
WARN	annotation_whitespace	dental hygienist role [OHD:0000016]	IAO_0000116 [IAO:0000116]	Bill Duncan 09/30/2015:    Professional prophylaxis, radiographs, sealants, and nonsurgical periodontal therapy are among the procedures performed by a hygienist. Most are licensed to administer local anesthesia, depending on applicable regulations in their area. They usually work for a dentist in a dental office or clinic under a form of supervision. In some locations hygienists are allowed to practice without a dentist's supervision. 	
WARN	annotation_whitespace	dental exam [OHD:0000019]	IAO_0000115 [IAO:0000115]	A conversational, visual and tactile examination in which the clinician evaluates the status of the patient's medical, dental and oral health. @en	
WARN	annotation_whitespace	missing tooth finding [OHD:0000026]	IAO_0000116 [IAO:0000116]	Bill Duncan 5/14/2012: We have added the necessary condtion that a missing tooth finding is about 'exactly 1 Secondary Dentition'.  	
WARN	annotation_whitespace	dental caries [OHD:0000031]	IAO_0000116 [IAO:0000116]	 Titus Schleyer 3/4/2014: definition updated	
WARN	annotation_whitespace	direct dental material insertion process [OHD:0000037]	IAO_0000115 [IAO:0000115]	A material combination in which a moldable restorative material is placed directly into or on the tooth. The material then hardens and becomes (essentially) part of the tooth. 	
WARN	annotation_whitespace	dental material tooth attachment process [OHD:0000038]	IAO_0000115 [IAO:0000115]	A material combination in which a rigid piece of restoration material is attached to a tooth. The restoration is attached to the tooth by mechanical forces or some form of cement or glue. 	
WARN	annotation_whitespace	OHD:0000092	IAO_0000115 [IAO:0000115]	This annotation is used to indicate that an individual is asserted to be a member of a class.  This is useful when needing to find only the non-inferred type of an individual, and not the all the inferred types.  For example, suppose x is a member of the class 'material entity' and 'material entity' is a subclass of 'independent continuant'.  This entails that x will be a member of 'independent continuant'.  However, by using this annotation to assert that x is a member of 'material entity', you can query for x's 'asserted type' and ignore the other inferred types in the class hierarchy.  	
WARN	annotation_whitespace	Universal tooth number [OHD:0000100]	IAO_0000115 [IAO:0000115]	A label naming a type of secondary tooth canonically found in humans, adopted by the American Dental Association, and commonly used as labels on odontograms (toothcharts) and clinical notes. The Universal Numbering System uses No. 1 through 32 for the 32 teeth in the permanent dentition, starting with 1 for the maxillary right third molar, going around the arch to the maxillary left third molar as 16; dropping down on the same side, the left mandibular third molar becomes 17, and then the numbers increase around the lower arch to 32, which is the lower right third molar. @en	
