Level	Rule Name	Subject	Property	Value
WARN	missing_definition	has disease [OHMI:0000060]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has phenotype [OHMI:0000252]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	microbe susceptibly expanded in rat with disease [OHMI:0000301]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	microbe susceptibly expanded in mouse with disease [OHMI:0000358]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	microbe susceptibly expanded in gut of mouse with disease [OHMI:0000359]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	microbe susceptibly depleted in mouse with disease [OHMI:0000363]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	microbe susceptibly depleted in gut of mouse with disease [OHMI:0000364]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	microbe susceptibly depleted (compared to fibromyalgia patients) in gut of human with disease [OHMI:0000453]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	dysbiosis [OHMI:0000461]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	microbial species diversity [OHMI:0000466]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has host [OHMI:0000481]	IAO_0000115 [IAO:0000115]		
INFO	lowercase_definition	microbiome in human lung [OHMI:0000013]	IAO_0000115 [IAO:0000115]	a human microbiome that is located in a human respiratory system	
INFO	lowercase_definition	microbiome in human respiratory system [OHMI:0000014]	IAO_0000115 [IAO:0000115]	a human microbiome that is located in a human lung	
INFO	lowercase_definition	microbiome in human oral [OHMI:0000015]	IAO_0000115 [IAO:0000115]	a human microbiome that is located in a human oral system	
INFO	lowercase_definition	microbiome in human gastrointestinal system [OHMI:0000016]	IAO_0000115 [IAO:0000115]	a human microbiome that is located in a human gastrointestinal system	
INFO	lowercase_definition	microbiome in human cutaneous system [OHMI:0000017]	IAO_0000115 [IAO:0000115]	a human microbiome that is located in a human cutaneous system	
INFO	lowercase_definition	microbiome in human urogenital system [OHMI:0000018]	IAO_0000115 [IAO:0000115]	a human microbiome that is located in a human urogenital system	
