Level	Rule Name	Subject	Property	Value
WARN	missing_definition	host bacterial pathogen interaction [OHPI:0000006]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host viral pathogen interaction [OHPI:0000010]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host parasitic pathogen interaction [OHPI:0000011]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host fungal pathogen interaction [OHPI:0000012]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host B. anthracis pathogen interaction [OHPI:0000013]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host Brucella spp. pathogen interaction [OHPI:0000014]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host Y. pestis pathogen interaction [OHPI:0000015]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host F. tularensis pathogen interaction [OHPI:0000016]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host C. botulinum pathogen interaction [OHPI:0000017]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host C. jejuni pathogen interaction [OHPI:0000018]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host E. coli pathogen interaction [OHPI:0000019]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host M. tuberculosis pathogen interaction [OHPI:0000020]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host H. influenzae pathogen interaction [OHPI:0000021]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host C. burnetii pathogen interaction [OHPI:0000022]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host C. tetani pathogen interaction [OHPI:0000023]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host Salmonella spp. pathogen interaction [OHPI:0000024]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has microbe mutated gene [OHPI:0000025]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host Shigella pathogen interaction [OHPI:0000027]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host N. meningitidis pathogen interaction [OHPI:0000028]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host S. pneumoniae pathogen interaction [OHPI:0000030]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host C. diphtheriae pathogen interaction [OHPI:0000031]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host A. salmonicida pathogen interaction [OHPI:0000032]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has HPI host organism [OHPI:0000033]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host S. equi pathogen interaction [OHPI:0000034]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has HPI host cell [OHPI:0000035]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	has HPI host cell line cell [OHPI:0000036]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host M. gallisepticum pathogen interaction [OHPI:0000037]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host B. avium pathogen interaction [OHPI:0000038]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host A. pleuropneumoniae pathogen interaction [OHPI:0000039]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host V. cholerae pathogen interaction [OHPI:0000040]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host Rickettsia spp. pathogen interaction [OHPI:0000041]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host B. pertussis pathogen interaction [OHPI:0000042]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host Y. pseudotuberculosis pathogen interaction [OHPI:0000043]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host C. pneumoniae pathogen interaction [OHPI:0000044]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host M. avium pathogen interaction [OHPI:0000045]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host B. pseudomallei pathogen interaction [OHPI:0000046]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host Y. enterocolitica pathogen interaction [OHPI:0000047]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host H. pylori pathogen interaction [OHPI:0000048]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host B. burgdorferi pathogen interaction [OHPI:0000049]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host L. monocytogenes pathogen interaction [OHPI:0000050]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host P. aeruginosa pathogen interaction [OHPI:0000051]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host S. aureus pathogen interaction [OHPI:0000052]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host S. agalactiae pathogen interaction [OHPI:0000053]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host S. pyogenes pathogen interaction [OHPI:0000054]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host P. multocida pathogen interaction [OHPI:0000055]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host B. bronchiseptica pathogen interaction [OHPI:0000056]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	host Leptospira spp. pathogen interaction [OHPI:0000057]	IAO_0000115 [IAO:0000115]		
