Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	presence of acid-fast stain [OMP:0007298]	IAO_0000115 [IAO:0000115]	An acid-fast stain phenotype where a cell or cells that have been stained, typically with carbolfuchsin, are not easily decolorized by acid--alcohol.	
ERROR	duplicate_definition	absence of acid-fast stain [OMP:0007299]	IAO_0000115 [IAO:0000115]	An acid-fast stain phenotype where a cell or cells that have been stained, typically with carbolfuchsin, are not easily decolorized by acid--alcohol.	
ERROR	duplicate_definition	decreased lethality in mice [OMP:0007446]	IAO_0000115 [IAO:0000115]	A decreased lethality phenotype where the ability of an infectious microbe to cause death of its murine host is decreased relative to a designated control.	
ERROR	duplicate_definition	increased lethality in mice [OMP:0007450]	IAO_0000115 [IAO:0000115]	A decreased lethality phenotype where the ability of an infectious microbe to cause death of its murine host is decreased relative to a designated control.	
ERROR	missing_ontology_description	omp.owl	dc11:description		
ERROR	duplicate_label	presence of vegetative cell population growth [OMP:0007793]	label [rdfs:label]	presence of vegetative cell population growth	
ERROR	duplicate_label	presence of vegetative cell population growth [OMP:0007796]	label [rdfs:label]	presence of vegetative cell population growth	
ERROR	duplicate_label	plaque size phenotype [OMP:0008044]	label [rdfs:label]	plaque size phenotype	
ERROR	duplicate_label	plaque size phenotype [OMP:0008050]	label [rdfs:label]	plaque size phenotype	
ERROR	duplicate_label	plaque size phenotype [OMP:0008059]	label [rdfs:label]	plaque size phenotype	
ERROR	duplicate_label	plaque morphology phenotype [OMP:0008043]	label [rdfs:label]	plaque morphology phenotype	
ERROR	duplicate_label	plaque morphology phenotype [OMP:0008057]	label [rdfs:label]	plaque morphology phenotype	
ERROR	duplicate_label	plaque appearance phenotype [OMP:0008047]	label [rdfs:label]	plaque appearance phenotype	
ERROR	duplicate_label	plaque appearance phenotype [OMP:0008058]	label [rdfs:label]	plaque appearance phenotype	
ERROR	duplicate_label	inviable vegetative cell population [OMP:0007461]	label [rdfs:label]	nonviable vegetative cell population	
ERROR	duplicate_label	nonviable vegetative cell population [OMP:0007700]	label [rdfs:label]	nonviable vegetative cell population	
ERROR	duplicate_label	nonviable cell population [OMP:0007458]	label [rdfs:label]	nonviable cell population	
ERROR	duplicate_label	nonviable cell population [OMP:0007699]	label [rdfs:label]	nonviable cell population	
ERROR	duplicate_label	increased cellular pigment accumulation [OMP:0007815]	label [rdfs:label]	increased cellular pigment accumulation	
ERROR	duplicate_label	increased cellular pigment accumulation [OMP:0007816]	label [rdfs:label]	increased cellular pigment accumulation	
ERROR	duplicate_label	cell wall morphology phenotype [OMP:0005233]	label [rdfs:label]	cell wall morphology phenotype	
ERROR	duplicate_label	cell wall morphology phenotype [OMP:0007277]	label [rdfs:label]	cell wall morphology phenotype	
ERROR	duplicate_label	altered plaque size phenotype [OMP:0008046]	label [rdfs:label]	altered plaque size phenotype	
ERROR	duplicate_label	altered plaque size phenotype [OMP:0008049]	label [rdfs:label]	altered plaque size phenotype	
ERROR	duplicate_label	altered plaque morphology phenotype [OMP:0008045]	label [rdfs:label]	altered plaque morphology phenotype	
ERROR	duplicate_label	altered plaque morphology phenotype [OMP:0008048]	label [rdfs:label]	altered plaque morphology phenotype	
ERROR	duplicate_label	altered actin cytoskeleton [OMP:0007753]	label [rdfs:label]	altered actin cytoskeleton	
ERROR	duplicate_label	altered actin cytoskeleton [OMP:0007760]	label [rdfs:label]	altered actin cytoskeleton	
ERROR	missing_ontology_license	omp.owl	dc:license		
ERROR	missing_ontology_title	omp.owl	dc11:title		
WARN	annotation_whitespace	decreased resistance to dessication stress [OMP:0005088]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	increased dessication sensitivity 	
WARN	annotation_whitespace	decreased resistance to freeze/thawing stress [OMP:0005090]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	decreased freeze/thaw sensitivity. 	
WARN	annotation_whitespace	decreased resistance to x-ray radiation [OMP:0005096]	hasNarrowSynonym [oboInOwl:hasNarrowSynonym]	increased x-ray sensitivity 	
WARN	annotation_whitespace	increased resistance to UV radiation [OMP:0005097]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	decreased UV sensitivity 	
WARN	annotation_whitespace	decreased resistance to UV radiation [OMP:0005098]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	increased UV sensitivity 	
WARN	annotation_whitespace	cell cycle [OMP:0005115]	hasExactSynonym [oboInOwl:hasExactSynonym]	cell division cycle 	
WARN	annotation_whitespace	abolished endocytosis [OMP:0005265]	hasNarrowSynonym [oboInOwl:hasNarrowSynonym]	abolished endocytosis during vegetative growth 	
WARN	annotation_whitespace	delayed onset of endocytosis [OMP:0005266]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	delayed onset of endocytosis during vegetative growth 	
WARN	annotation_whitespace	carbon source utilization phenotype [OMP:0006023]	hasNarrowSynonym [oboInOwl:hasNarrowSynonym]	succinate 	
WARN	annotation_whitespace	quinolone resistance phenotype [OMP:0006029]	hasBroadSynonym [oboInOwl:hasBroadSynonym]	quinolines 	
WARN	annotation_whitespace	presence of outer membrane vesicles [OMP:0006107]	hasExactSynonym [oboInOwl:hasExactSynonym]	vesiculation 	
WARN	annotation_whitespace	inorganic nitrogen source utilization phenotype [OMP:0007013]	hasNarrowSynonym [oboInOwl:hasNarrowSynonym]	nitrate utilization, phenotype 	
WARN	annotation_whitespace	phototrophic phenotype [OMP:0007064]	hasRelatedSynonym [oboInOwl:hasRelatedSynonym]	phototroph 	
WARN	annotation_whitespace	decreased resistance to a chemical [OMP:0007249]	hasExactSynonym [oboInOwl:hasExactSynonym]	 increased sensitivity to a chemical	
WARN	annotation_whitespace	attached lifestyle phenotype [OMP:0007647]	hasExactSynonym [oboInOwl:hasExactSynonym]	anchored lifestyle phenotype 	
WARN	missing_definition	response to oxidative stress phenotype [OMP:0005038]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	viable but nonculturable cell [OMP:0007263]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	increased mucoidy [OMP:0007322]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	absence of survival in macrophage [OMP:0007453]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	altered survival in macrophage [OMP:0007454]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	survival in macrophage phenotype [OMP:0007455]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	clamp connection morphology phenotype [OMP:0007559]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	resistant to mitomycin [OMP:0007650]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	not resistant to mitomycin [OMP:0007651]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	level of substance in cell phenotype [OMP:0007656]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	presence of cellular reactive oxygen species [OMP:0007658]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	absence of cellular reactive oxygen species [OMP:0007659]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	decreased level of cellular reactive oxygen species [OMP:0007662]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abolished cellular reactive oxygen species [OMP:0007663]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	bending cell morphology [OMP:0007683]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abolished cell population viability [OMP:0007704]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	altered vegetative cell size [OMP:0007713]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	increased cell volume [OMP:0007721]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	presence of a septation index [OMP:0007733]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	presence of cellular process during vegetative growth [OMP:0007785]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	presence of cell separation after cell division during vegetative growth [OMP:0007787]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	presence of vegetative cell population growth [OMP:0007796]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	absence of vegetative cell population growth [OMP:0007797]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	altered vegetative cell population growth [OMP:0007798]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	altered vegetative cell population growth rate [OMP:0007801]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	increased vegetative cell population growth rate [OMP:0007802]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	decreased vegetative cell population growth rate [OMP:0007803]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	decreased cell population viablity upon starvation [OMP:0007807]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cell population growth rate phenotype [OMP:0007810]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	absence of organic carbon source utilization [OMP:0007849]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	absence of inorganic carbon source utilization [OMP:0007850]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	altered nitrogen source utilization [OMP:0007905]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	altered organic nitrogen source utilization [OMP:0007906]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	chelator resistance phenotype [OMP:0007908]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	resistant to a chelator [OMP:0007909]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	not resistant to a chelator [OMP:0007910]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	altered resistance to a chelator [OMP:0007911]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	decreased resistance to a chelator [OMP:0007912]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	increased resistance to a chelator [OMP:0007913]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	abolished resistance to a chelator [OMP:0007914]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	cell size variability within a cell population phenotype [OMP:0007917]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	altered variability in cell size within a cell population [OMP:0007918]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	presence of cell population growth [OMP:0007919]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	absence of cell population growth [OMP:0007920]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	presence of cell size variability within a cell population [OMP:0007921]	IAO_0000115 [IAO:0000115]		
