Level	Rule Name	Subject	Property	Value
ERROR	missing_label	BFO_0000075 [BFO:0000075]	label [rdfs:label]		
ERROR	misused_obsolete_label	obsolete_hospital role [OMRSE:00000018]	label [rdfs:label]	obsolete_hospital role@en	
ERROR	missing_ontology_description	omrse.owl	dc11:description		
ERROR	missing_ontology_license	omrse.owl	dc:license		
ERROR	missing_ontology_title	omrse.owl	dc11:title		
WARN	annotation_whitespace	human health care role [OMRSE:00000010]	IAO_0000115 [IAO:0000115]	A role in human social processes that is realized by health care processes such as seeking or providing treatment for disease and injury, diagnosing disease and injury, or undergoing diagnosis. @en	
WARN	missing_definition	BFO_0000075 [BFO:0000075]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	party to a legal entity [OMRSE:00000002]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	party to a legal proceeding [OMRSE:00000003]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	party to a legal agreement [OMRSE:00000004]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	party to a marriage contract [OMRSE:00000005]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	party to a power of attorney [OMRSE:00000006]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	person health care provider role [OMRSE:00000016]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	is-aggregate-of [OMRSE:00000020]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	is-component-of-aggregate [OMRSE:00000021]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	collection of humans [OMRSE:00000023]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	geopoli organization [OMRSE:00000029]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	intravenous drug user [OMRSE:00000040]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	private governance organizations [OMRSE:00000043]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	supranational entity [OMRSE:00000047]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	material entity role [OMRSE:00000048]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	organism role [OMRSE:00000049]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	Homo sapiens role [OMRSE:00000050]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	organization role [OMRSE:00000051]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	school role [OMRSE:00000055]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	nursery school role [OMRSE:00000059]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	primary school role [OMRSE:00000060]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	secondary school role [OMRSE:00000065]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	is administered by [OMRSE:00000068]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	is enrolled in school [OMRSE:00000070]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	is admitted to hospital [OMRSE:00000071]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	workplace facility [OMRSE:00000078]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	US census householder role [OMRSE:00000081]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	enrollment end date [OMRSE:00000084]	IAO_0000115 [IAO:0000115]		
