Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	aggregate of level 1 trauma centers [OOSTT:00000146]	IAO_0000115 [IAO:0000115]	An aggregate of organizations whose members are all bearer of a level 1 trauma center role.@en	
ERROR	duplicate_definition	aggregate of level 2 trauma centers [OOSTT:00000161]	IAO_0000115 [IAO:0000115]	An aggregate of organizations whose members are all bearer of a level 1 trauma center role.@en	
ERROR	duplicate_definition	aggregate of emergency medical services pediatric ground transportation agencies [OOSTT:00000304]	IAO_0000115 [IAO:0000115]	An aggregate of organization that consists only of emergencny medical service pediatric ground transportation agencies.@en	
ERROR	duplicate_definition	aggregate of emergency medical services pediatric air transportation agencies [OOSTT:00000305]	IAO_0000115 [IAO:0000115]	An aggregate of organization that consists only of emergencny medical service pediatric ground transportation agencies.@en	
ERROR	duplicate_definition	trauma multidisciplinary peer review committee [OOSTT:00000006]	IAO_0000115 [IAO:0000115]	A committee with members from multiple specialties that engages in case review of trauma cases.@en	
ERROR	duplicate_definition	trauma peer review committee [OOSTT:00000052]	IAO_0000115 [IAO:0000115]	A committee with members from multiple specialties that engages in case review of trauma cases.@en	
ERROR	deprecated_class_reference	blank node <cbc9d971693b076db20b9a68dea8fec1>	owl:someValuesFrom	obsolete_anesthesia services availability plan specification [OOSTT:00000133]	
ERROR	missing_ontology_description	oostt.owl	dc11:description		
ERROR	missing_ontology_license	oostt.owl	dc:license		
WARN	missing_definition	OOSTT user-centered description [OOSTT:00000030]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	authority role [OOSTT:00000058]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	governmental organization [OOSTT:00000111]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	prescribes [OOSTT:00000113]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	department of fire administration [OOSTT:00000277]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	trauma system manager role [OOSTT:00000282]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	emergency medical services pediatric air transportation agency [OOSTT:00000303]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	pediatric burn center role [OOSTT:00000308]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	traumatic brain injury rehabilitation organization role [OOSTT:00000311]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	spinal cord injury center role [OOSTT:00000313]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	board certified neurosurgeon role [OOSTT:00000365]	IAO_0000115 [IAO:0000115]		
INFO	lowercase_definition	organize [OOSTT:00000042]	IAO_0000115 [IAO:0000115]	'organize' holds between an independent continuant and a planned process, iff the independent continuant particpates in the planned process and also participated in the creation of the plan specification that the planned process realizes.@en	
INFO	lowercase_definition	authority [OOSTT:00000100]	IAO_0000115 [IAO:0000115]	a socio-legal generically dependent continuant that is concretized in a role within an organizational context and which legally, normatively, or ethically permits some action.@en	
INFO	lowercase_definition	statutory authority [OOSTT:00000101]	IAO_0000115 [IAO:0000115]	authority prescribed by some enabling legislation@en	
INFO	lowercase_definition	legislature [OOSTT:00000110]	IAO_0000115 [IAO:0000115]	a governmental organization that has the authority to create, amend, fund, and repeal laws.@en	
INFO	lowercase_definition	committee [OOSTT:00000114]	IAO_0000115 [IAO:0000115]	an organization consisting of persons who bear committee member role where that organization is appointed by an organization or members of an organization to realize a role.@en	
INFO	lowercase_definition	performance improvement committee [OOSTT:00000115]	IAO_0000115 [IAO:0000115]	a committee whose function is to evaluate the system of care within a trauma center.@en	
INFO	lowercase_definition	registrar role [OOSTT:00000116]	IAO_0000115 [IAO:0000115]	a role that inheres in a homo sapiens that, if realized, is realized by preparing, keeping, and overseeing records made in a register.@en	
INFO	lowercase_definition	committee member role [OOSTT:00000117]	IAO_0000115 [IAO:0000115]	a role that, if realized, is realized in the organization context of a committee.@en	
INFO	lowercase_definition	patient safety [OOSTT:00000118]	IAO_0000115 [IAO:0000115]	a disposition realized in process profiles that have participants the biological qualities of patients and the practices and instruments of medical professionals.@en	
INFO	lowercase_definition	has policy [OOSTT:00000123]	IAO_0000115 [IAO:0000115]	'has policy' holds between an organization and a directive information entity, iff the directive information entity is the outcome of a document act and it is meant to regulate the actions of the organization or its organizational members.@en	
INFO	lowercase_definition	services geographical region [OOSTT:00000145]	IAO_0000115 [IAO:0000115]	'services area' holds iff a an organization performing or organizing paid or unpaid planned processes that benefit 3rd parties and b is a geographical region and a performs or organizes said planned process in the site of b.@en	
INFO	lowercase_definition	policy of [OOSTT:00000278]	IAO_0000115 [IAO:0000115]	'policy of' holds between a directive information entity and an organization iff the directive information entity is the outcome of a document act and it is meant to regulate the actions of the organization or its organizational members.@en	
INFO	missing_superclass	BFO_0000001 [BFO:0000001]	rdfs:subClassOf		
INFO	missing_superclass	BFO_0000016 [BFO:0000016]	rdfs:subClassOf		
INFO	missing_superclass	BFO_0000023 [BFO:0000023]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000001 [IAO:0000001]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000005 [IAO:0000005]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000007 [IAO:0000007]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000030 [IAO:0000030]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000033 [IAO:0000033]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000104 [IAO:0000104]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0000310 [IAO:0000310]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0021002 [IAO:0021002]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0021003 [IAO:0021003]	rdfs:subClassOf		
INFO	missing_superclass	IAO_0021004 [IAO:0021004]	rdfs:subClassOf		
