Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	Plasmodium sporozoite stage [OPL:0000300]	IAO_0000115 [IAO:0000115]	A sporozoite stage in the Plasmodium lifecycle that occurs in the salivary glands of the mosquito and invades hepatocytes in the vertebrate host.	
ERROR	duplicate_definition	Plasmodium salivary gland-derived sporozoite stage [OPL:0000302]	IAO_0000115 [IAO:0000115]	A sporozoite stage in the Plasmodium lifecycle that occurs in the salivary glands of the mosquito and invades hepatocytes in the vertebrate host.	
ERROR	missing_ontology_description	opl.owl	dc11:description		
ERROR	missing_ontology_license	opl.owl	dc:license		
ERROR	missing_ontology_title	opl.owl	dc11:title		
WARN	annotation_whitespace	Leishmania major metacyclic promastigote [OPL:0000002]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	Leishmania major metacyclic promastigote [OPL:0000002]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	metacyclic promastigote stage [OPL:0000006]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	metacyclic promastigote stage [OPL:0000006]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	Plasmodium falciparum exflagellated microgametocyte stage [OPL:0000007]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	Plasmodium falciparum exflagellated microgametocyte stage [OPL:0000007]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	Schistosoma haematobium sporocyst stage [OPL:0000008]	IAO_0000117 [IAO:0000117]	 Anna Protasio	
WARN	annotation_whitespace	Schistosoma haematobium sporocyst stage [OPL:0000008]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	Schistosoma haematobium sporocyst stage [OPL:0000008]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	Schistosoma japonicum cercaria stage [OPL:0000009]	IAO_0000117 [IAO:0000117]	 Anna Protasio	
WARN	annotation_whitespace	Schistosoma japonicum cercaria stage [OPL:0000009]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	Schistosoma japonicum cercaria stage [OPL:0000009]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	Plasmodium falciparum microgametocyte stage [OPL:0000010]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	Plasmodium falciparum microgametocyte stage [OPL:0000010]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	Plasmodium falciparum microgametocyte stage [OPL:0000010]	IAO_0000117 [IAO:0000117]	 S. Khan. C. Janse	
WARN	annotation_whitespace	Schistosoma haematobium 3 hour schistosomulum [OPL:0000011]	IAO_0000117 [IAO:0000117]	 Anna Protasio	
WARN	annotation_whitespace	Schistosoma haematobium 3 hour schistosomulum [OPL:0000011]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	Schistosoma haematobium 3 hour schistosomulum [OPL:0000011]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	Schistosoma haematobium miracidium [OPL:0000012]	IAO_0000117 [IAO:0000117]	 Anna Protasio	
WARN	annotation_whitespace	Schistosoma haematobium miracidium [OPL:0000012]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	Schistosoma haematobium miracidium [OPL:0000012]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	Schistosoma mansoni 3 day schistosomulum stage [OPL:0000014]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	Schistosoma mansoni 3 day schistosomulum stage [OPL:0000014]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	Leishmania major promastigote [OPL:0000016]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	Leishmania major promastigote [OPL:0000016]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	3 hour schistosomulum stage [OPL:0000017]	IAO_0000117 [IAO:0000117]	 Anna Protasio	
WARN	annotation_whitespace	3 hour schistosomulum stage [OPL:0000017]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	3 hour schistosomulum stage [OPL:0000017]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	miracidium stage [OPL:0000018]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	miracidium stage [OPL:0000018]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	Schistosoma japonicum 3 day schistosomulum [OPL:0000020]	IAO_0000117 [IAO:0000117]	 Anna Protasio	
WARN	annotation_whitespace	Schistosoma japonicum 3 day schistosomulum [OPL:0000020]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	Schistosoma japonicum 3 day schistosomulum [OPL:0000020]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	Schistosoma japonicum 3 hour schistosomulum [OPL:0000021]	IAO_0000117 [IAO:0000117]	 Anna Protasio	
WARN	annotation_whitespace	Schistosoma japonicum 3 hour schistosomulum [OPL:0000021]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	Schistosoma japonicum 3 hour schistosomulum [OPL:0000021]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	bloodstream trypomastigote stage [OPL:0000022]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	bloodstream trypomastigote stage [OPL:0000022]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	Schistosoma japonicum miracidium stage [OPL:0000023]	IAO_0000117 [IAO:0000117]	 Anna Protasio	
WARN	annotation_whitespace	Schistosoma japonicum miracidium stage [OPL:0000023]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	Schistosoma japonicum miracidium stage [OPL:0000023]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	Schistosoma japonicum daughter sporocyst stage [OPL:0000024]	IAO_0000117 [IAO:0000117]	 Anna Protasio	
WARN	annotation_whitespace	Schistosoma japonicum daughter sporocyst stage [OPL:0000024]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	Schistosoma japonicum daughter sporocyst stage [OPL:0000024]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	Schistosoma mansoni 24 hour schistosomulum [OPL:0000025]	IAO_0000117 [IAO:0000117]	 Anna Protasio	
WARN	annotation_whitespace	Schistosoma mansoni 24 hour schistosomulum [OPL:0000025]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	Schistosoma mansoni 24 hour schistosomulum [OPL:0000025]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	microgamete stage [OPL:0000026]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	microgamete stage [OPL:0000026]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	macrogametocyte stage [OPL:0000028]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	macrogametocyte stage [OPL:0000028]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	Schistosoma haematobium 24 hour schistosomulum [OPL:0000029]	IAO_0000117 [IAO:0000117]	 Anna Protasio	
WARN	annotation_whitespace	Schistosoma haematobium 24 hour schistosomulum [OPL:0000029]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	Schistosoma haematobium 24 hour schistosomulum [OPL:0000029]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	Schistosoma japonicum daughter sporocyst [OPL:0000030]	IAO_0000117 [IAO:0000117]	 Anna Protasio	
WARN	annotation_whitespace	Schistosoma japonicum daughter sporocyst [OPL:0000030]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
WARN	annotation_whitespace	Schistosoma japonicum daughter sporocyst [OPL:0000030]	IAO_0000117 [IAO:0000117]	 Jie Zheng	
WARN	annotation_whitespace	Trypanosoma brucei procyclic trypomastigote [OPL:0000031]	IAO_0000117 [IAO:0000117]	 Chris Stoeckert	
