Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	recruitment status [OPMI:0000304]	IAO_0000115 [IAO:0000115]	The current stage of a clinical study and whether it is or will be open for enrollment	
ERROR	duplicate_definition	study status [OPMI:0000327]	IAO_0000115 [IAO:0000115]	The current stage of a clinical study and whether it is or will be open for enrollment	
ERROR	duplicate_definition	Whether self owns email address [OPMI:0000220]	IAO_0000115 [IAO:0000115]	An email question that asks whether the email address provided belongs to the person being surveyed.	
ERROR	duplicate_definition	Who owns email address [OPMI:0000221]	IAO_0000115 [IAO:0000115]	An email question that asks whether the email address provided belongs to the person being surveyed.	
ERROR	duplicate_definition	age question [OPMI:0000169]	IAO_0000115 [IAO:0000115]	A textual question about age	
ERROR	duplicate_definition	email question [OPMI:0000218]	IAO_0000115 [IAO:0000115]	A textual question about age	
ERROR	multiple_definitions	Early Phase 1 clinical trial [OPMI:0004508]	IAO_0000115 [IAO:0000115]	A clinical trial that is at Early Phase 1 or Phase 0	
ERROR	multiple_definitions	Early Phase 1 clinical trial [OPMI:0004508]	IAO_0000115 [IAO:0000115]	A clinical trial that is at an Early Phase i or Phase 0, which is designed to use an investigational agent that is available only in very limited quantities and which has never previously given to humans or for which there is extremely limited human experience. Phase 0 clinical trials are intended to enable researchers to understand the path of the drug in the body and its efficacy. Adverse event reporting in Phase 0 trials is expedited. [def-source: NCI]	
ERROR	multiple_definitions	Phase 3 clinical trial [OPMI:0004511]	IAO_0000115 [IAO:0000115]	A clinical trial that is at Phase 3	
ERROR	multiple_definitions	Phase 3 clinical trial [OPMI:0004511]	IAO_0000115 [IAO:0000115]	A clinical trial that is at Phase 3, which is designed to investigate the efficacy of the biomedical or behavioral intervention in large groups of human subjects (from several hundred to several thousand), to confirm efficacy, to monitor adverse reactions to the new medication or treatment regimen with respect to long-term use and by comparing the intervention to other standard or experimental interventions as well as to a placebo. [def-source: NCI]	
WARN	missing_definition	more than 5.5 pounds (2500 grams) birth weight [OPMI:0000004]	IAO_0000115 [IAO:0000115]		
WARN	missing_definition	less than 5.5 pounds (2500 grams) birth weight [OPMI:0000005]	IAO_0000115 [IAO:0000115]		
